 	autant	hier	j'	étais	heureux	autant	je	suis	triste	aujourd'	hui	</S>
n	0.816321	0.0881518	0.0521688	0.0114071	0.00158648	0.0141197	0.00519185	0.00500422	0.00218183	0.0031794	0.000657933	2.95224e-05
d	0.863628	0.00927365	0.0973524	0.00119319	0.000153797	0.00318383	0.0164124	0.000449516	0.00817967	0.000143288	2.43588e-05	5.62106e-06
é	0.414989	0.0459434	0.0991861	0.0198801	0.00375483	0.0134317	0.324678	0.00153904	0.0756301	0.000706124	0.000129205	0.00013272
n	0.215727	0.186404	0.26728	0.0338482	0.00398094	0.0194213	0.107219	0.00582851	0.15638	0.00187275	0.000118883	0.00191945
g	0.264833	0.365098	0.0277063	0.0415818	0.0548554	0.0289577	0.011413	0.0468258	0.0286543	0.0157331	0.0005966	0.113746
é	0.715801	0.0787674	0.0843584	0.0102846	0.00431435	0.0258526	0.0269283	0.00588796	0.0316828	0.00188544	6.63005e-05	0.0141705
y	0.353988	0.46894	0.0870443	0.0227555	0.00966066	0.00886806	0.00155479	0.0123068	0.00254218	0.0149515	0.00157972	0.0158094
é	0.527184	0.167148	0.187568	0.035145	0.0121063	0.0251686	0.0118247	0.0127561	0.00331955	0.00447879	0.00123686	0.0120638
é	0.284793	0.183623	0.267166	0.0777364	0.0188009	0.0339598	0.00997999	0.0222826	0.00875919	0.0185012	0.00576969	0.0686284
d	0.259587	0.087373	0.124879	0.30953	0.134947	0.0105488	0.00826115	0.025319	0.00676185	0.00828952	0.00232538	0.0221778
z	0.0118496	0.0231692	0.0346576	0.432167	0.322165	0.017481	0.000870619	0.0382207	0.00291719	0.0161629	0.000698426	0.0996404
e	0.0579655	0.0178191	0.0153284	0.841273	0.044823	0.0108725	0.000606991	0.00430138	0.000381206	0.000929681	0.000236757	0.00546288
n	0.0279082	0.0378989	0.440551	0.135346	0.124026	0.0557414	0.00658782	0.0412579	0.00617747	0.0379629	0.00752746	0.0790151
g	0.101369	0.00422524	0.419626	0.0513724	0.0159056	0.0618959	0.252866	0.0138761	0.050697	0.00605631	0.000788817	0.0213222
á	0.0188237	0.00185598	0.492946	0.171892	0.0770571	0.0375481	0.149175	0.00734042	0.0364141	0.00243643	9.4538e-05	0.00441723
l	0.0369003	0.00902454	0.153109	0.470675	0.0665402	0.131099	0.0202565	0.033038	0.00489062	0.0309214	0.0072108	0.0363351
a	0.0192386	0.0106238	0.172385	0.162111	0.14642	0.0731914	0.0511371	0.0802747	0.0357202	0.0643427	0.00250772	0.182047
ε	0.00669974	0.0156805	0.0420176	0.207856	0.51892	0.0830806	0.0108004	0.026179	0.00960265	0.0249614	0.00228063	0.0519215
s	0.000750723	0.00745302	0.0103675	0.175857	0.73938	0.0253768	0.00164611	0.0185244	0.00289173	0.00576442	0.00389227	0.00809669
ε	0.00158241	0.00275252	0.0175101	0.122094	0.785742	0.0259388	0.00138986	0.02058	0.00679585	0.00307414	0.000244124	0.0122966
l	0.000992178	0.0013966	0.00901432	0.136078	0.455391	0.135629	0.00497014	0.096571	0.0130016	0.0493206	0.000412712	0.0972223
a	0.00990639	0.00695483	0.0587339	0.0597877	0.134797	0.19017	0.0694529	0.181651	0.0572489	0.141545	0.00578967	0.0839636
a	0.00979866	0.00104911	0.0178765	0.0208153	0.142046	0.396466	0.205893	0.125609	0.0283607	0.0298397	0.00432803	0.0179177
p	0.00569119	0.00272622	0.014983	0.0174864	0.224595	0.134283	0.136298	0.300295	0.0664091	0.0554744	0.00502745	0.0367316
ó	0.000554833	0.00829768	0.00776389	0.00515397	0.110518	0.0998139	0.018903	0.342254	0.0667909	0.110429	0.0969016	0.132619
