 	sa	mère	l'	a	habitué	à	l'	argent	</S>
n	0.950463	0.026725	0.00679942	0.00623205	0.0044575	0.00330372	0.00195073	6.02371e-05	7.97603e-06
g	0.367735	0.618547	0.0102378	0.00162303	0.000123479	0.000682486	0.00102066	2.32659e-05	7.78495e-06
ó	0.0220392	0.973906	0.00239663	0.000575525	6.14887e-05	0.000224816	0.000298051	0.000482131	1.60556e-05
o	0.0192453	0.977715	0.00167735	0.000413653	8.81534e-05	0.000119082	0.00026706	0.000435094	3.92411e-05
á	0.242108	0.0106071	0.529094	0.19116	0.0121181	0.00435449	0.00368848	0.00107711	0.00579359
y	0.00427691	0.00457655	0.0748228	0.316564	0.580495	0.00669324	0.00300031	0.000335191	0.00923603
i	0.236622	0.0172669	0.0847369	0.315888	0.311048	0.00879602	0.00375261	0.000989934	0.0208994
s	0.133533	0.000733446	0.087732	0.413664	0.283619	0.0334303	0.00649122	0.000996349	0.0398002
á	0.243021	0.000720342	0.0910748	0.469649	0.150887	0.0211551	0.00896902	0.000827396	0.0136962
á	0.0587025	0.000927742	0.314074	0.289052	0.222684	0.0600112	0.0254381	0.00736251	0.0217481
w	0.0187707	0.00116195	0.248191	0.155663	0.0983834	0.299572	0.132972	0.0295926	0.0156934
a	0.0206422	0.000125347	0.102252	0.255387	0.0332177	0.270074	0.252774	0.0219722	0.0435549
m	0.065241	0.000557264	0.119353	0.0654243	0.0875366	0.448523	0.151158	0.0159037	0.0463037
ó	0.00468402	0.000216998	0.0702364	0.083726	0.0291202	0.435083	0.143923	0.031762	0.201248
m	0.00227186	0.00165369	0.0265336	0.0184133	0.0260133	0.35991	0.283495	0.169947	0.111761
b	0.000373797	0.000234856	0.0155808	0.00290811	1.38031e-05	0.0380871	0.119477	0.755784	0.0675405
ώ	0.000107413	1.61167e-06	0.000224819	7.26142e-05	7.32087e-06	0.00215707	0.0108865	0.98488	0.00166284
n	4.86297e-05	6.87453e-07	0.000835942	0.000846246	0.000229545	0.00707616	0.0315394	0.948731	0.0106925
g	0.00175058	0.000356353	0.0164009	0.015415	0.0027008	0.16117	0.405499	0.251807	0.1449
ω	0.0057085	0.000105659	0.0062565	0.00402823	0.000220768	0.0434114	0.147756	0.639388	0.153125
</S>	0.00134998	4.3001e-05	0.0185778	0.0109487	0.00211618	0.16616	0.19087	0.096757	0.513178
