 	sur	cette	bande	de	terrain	il	a	fait	une	belle	plantation	</S>
m	0.739518	0.20187	0.0226185	0.0181964	0.00195827	0.00232785	0.000580559	0.00136805	0.0027168	0.0079944	0.000401508	0.000449095
ó	0.396992	0.550015	0.0115882	0.00755385	0.000226275	0.000696844	0.000932146	0.00145387	0.00290789	0.0198483	0.00394425	0.00384101
e	0.464747	0.251378	0.251432	0.0103375	0.00209499	0.000384061	0.00140373	0.00194307	0.00320161	0.00301597	0.00652404	0.00353736
k	0.0394267	0.184151	0.310351	0.19073	0.0881974	0.0138231	0.0100115	0.0137108	0.00966249	0.00377745	0.000489787	0.135669
y	0.0338026	0.0620145	0.344872	0.204487	0.138236	0.0171072	0.0275938	0.03503	0.0235025	0.00867758	0.00241972	0.102257
é	0.0357075	0.0561167	0.301257	0.17542	0.311721	0.0244642	0.0234067	0.0230035	0.0147176	0.0118852	0.00395647	0.0183447
n	0.0143966	0.0587007	0.207546	0.192818	0.39671	0.0330411	0.0213641	0.0179337	0.0110999	0.00986252	0.00321376	0.0333146
i	0.0536316	0.151982	0.189127	0.206865	0.098866	0.0554654	0.0158981	0.0252841	0.0229323	0.0205712	0.0195997	0.139778
y	0.0414402	0.0669991	0.0491409	0.285414	0.1893	0.220515	0.073901	0.0331575	0.0148733	0.0150497	0.00096325	0.00924593
é	0.159285	0.113609	0.0849175	0.114515	0.165446	0.138966	0.112775	0.0385411	0.0156522	0.0104192	0.0165542	0.0293201
w	0.0779251	0.0230025	0.018414	0.13855	0.127438	0.37543	0.0793601	0.0376468	0.0183104	0.0353837	0.024446	0.0440931
a	0.0230285	0.0234271	0.0186403	0.161232	0.0879673	0.242883	0.158977	0.124117	0.0456412	0.0271329	0.0185017	0.0684522
á	0.0016921	0.00194406	0.00604382	0.0748655	0.249199	0.361471	0.0931013	0.0849029	0.0370015	0.0313205	0.0122786	0.0461793
k	0.00367976	0.00792933	0.0150536	0.00922513	0.00950644	0.020568	0.265267	0.37508	0.201718	0.0415492	0.00958675	0.0408368
y	0.000517373	0.000757806	0.0131973	0.00448666	0.0220724	0.00846973	0.100037	0.522497	0.239918	0.0295789	0.0104633	0.0480043
e	0.00425187	0.0023411	0.0118078	0.0178938	0.0754518	0.0463437	0.167863	0.393695	0.187208	0.0316792	0.0156063	0.0458582
n	0.000808779	0.00137421	0.00412141	0.0105946	0.0689833	0.109832	0.0972754	0.217304	0.243434	0.107918	0.028949	0.109405
g	0.00248023	0.00408759	0.00308519	0.00437179	0.00271552	0.0500734	0.029148	0.14991	0.287283	0.221084	0.150746	0.0950153
o	0.000501055	0.00142968	0.00337246	0.00125428	0.00057255	0.00989943	0.00679693	0.0470985	0.0908839	0.104777	0.670808	0.0626067
n	0.000449168	0.00063138	0.00320977	0.00134971	0.000491436	0.00386415	0.00725702	0.0409193	0.189527	0.214795	0.337992	0.199514
d	0.00542262	0.00789822	0.0077908	0.0024361	0.000146199	0.00271049	0.0042427	0.0429187	0.197457	0.188122	0.273864	0.266992
a	0.000612192	0.00106397	0.00175886	0.000343426	5.80267e-05	0.00098319	0.00139446	0.00847612	0.0498877	0.0579801	0.62399	0.253452
m	0.000163908	0.000481922	0.00162608	0.00105553	0.00029965	0.00575582	0.00540866	0.0264056	0.104756	0.145631	0.359859	0.348557
b	0.0280448	0.0220263	0.00410522	0.0127071	0.000657311	0.00289618	0.00495206	0.0256425	0.152988	0.354365	0.0195092	0.372106
v	0.0343762	0.00882902	0.0027564	0.0026082	4.17258e-05	0.000951974	0.00174673	0.0339186	0.159574	0.484077	0.0369971	0.234123
έ	0.00324303	0.00103175	0.00106997	0.000850033	3.48735e-05	0.00104983	0.0014077	0.0209521	0.0899876	0.403495	0.069652	0.407226
</S>	0.000344828	0.00014857	0.000353883	0.000613545	0.00018128	0.00185734	0.00166647	0.0179246	0.0973232	0.165374	0.0257469	0.688466
