 	les	enfants	d'	ossombo	sont	avides	de	nourriture	</S>
b	0.477025	0.36741	0.0764837	0.0558313	0.0161177	0.000817024	0.00603292	0.000215027	6.75036e-05
á	0.0850213	0.756218	0.0675856	0.064626	0.0153633	0.000267061	0.00931998	0.00136006	0.000239104
n	0.19384	0.569418	0.0367629	0.144421	0.0208152	0.00801039	0.00359129	0.0067843	0.0163576
a	0.191378	0.706229	0.0135846	0.0539699	0.00453749	0.000471429	0.00164813	0.00431261	0.0238688
b	0.466643	0.0620958	0.308073	0.0392931	0.035237	0.0106991	0.0291961	0.0085044	0.0402587
o	0.117647	0.0286594	0.379531	0.0615855	0.184691	0.0203662	0.111851	0.0366773	0.0589906
s	0.0476955	0.0202531	0.575436	0.225964	0.0577356	0.0221977	0.0122886	0.00171578	0.0367135
ω	0.310651	0.00375849	0.199705	0.387117	0.0437762	0.00900914	0.0184556	0.0146928	0.0128349
m	0.0678304	0.00190521	0.472723	0.211636	0.126531	0.0341487	0.0232494	0.00313044	0.0588458
b	0.0438607	0.00138075	0.11663	0.309354	0.406238	0.0308759	0.0351934	0.0151001	0.0413675
ω	0.0625783	0.00185041	0.186848	0.487224	0.196156	0.0145919	0.0255652	0.0152325	0.00995385
á	0.0224652	0.00633674	0.358382	0.174186	0.366195	0.0349526	0.0201285	0.00325657	0.0140977
d	0.0175392	0.000866087	0.108379	0.0147023	0.653403	0.0857135	0.0747148	0.0122204	0.0324618
í	0.00823536	8.66321e-05	0.0354943	0.0262968	0.190696	0.199675	0.0881327	0.0190138	0.432369
l	0.0183348	6.12309e-05	0.029455	0.00277361	0.149348	0.501458	0.111021	0.0236326	0.163917
a	0.0010879	5.89017e-05	0.00661946	0.000484793	0.11025	0.44001	0.1533	0.0311803	0.257008
k	0.00997604	0.00025888	0.010488	0.0180944	0.0680864	0.541285	0.150444	0.0951398	0.106227
a	0.00184475	0.00149415	0.00280822	0.00129566	0.00959661	0.915944	0.0153791	0.0423632	0.00927426
l	7.19903e-05	7.74266e-05	0.00134726	0.00171286	0.00611622	0.942115	0.00891563	0.00906145	0.0305817
á	0.000483973	1.98602e-05	0.00220021	0.000626162	0.00628598	0.86345	0.0445461	0.0125839	0.0698034
</S>	0.00126	3.02806e-05	0.00359878	0.000765648	0.0362081	0.261504	0.253701	0.0993353	0.343596
