 	pourquoi	t'	immisces-tu	dans	les	affaires	de	tes	petits	fils	au	moment	où	ils	ont	encore	un	père	</S>
n	0.605329	0.169539	0.00890113	0.0280026	0.04318	0.0413555	0.0417447	0.0225716	0.0189335	0.00279468	0.00290079	0.00133148	0.00608969	0.000981575	0.00181015	0.000201118	0.00384856	9.88061e-05	0.000385597
ω	0.567333	0.310484	0.000593953	0.0202688	0.0120753	0.0189542	0.00734611	0.0330246	0.0284248	0.000507329	0.000210297	0.00016172	0.000193609	7.67249e-05	7.23768e-05	1.34279e-05	0.000247859	4.67544e-06	6.674e-06
l	0.396741	0.379454	0.038482	0.0172657	0.0163582	0.0355984	0.023586	0.0333037	0.0237659	0.0115697	0.00489739	0.00396656	0.00741409	0.00029789	0.00165909	0.00126931	0.00257405	5.11808e-05	0.00174533
ó	0.0203206	0.0253215	0.0316079	0.030964	0.0225424	0.0322528	0.0397414	0.0426345	0.0156923	0.0417835	0.0664798	0.0480402	0.074967	0.00712642	0.0580624	0.0280073	0.0228835	0.0172258	0.374347
o	0.0594528	0.0619434	0.0727803	0.0547193	0.0400216	0.0788256	0.0958598	0.101743	0.0213091	0.0766517	0.0654483	0.0376012	0.0776897	0.00820992	0.0323149	0.0188093	0.0144566	0.00395814	0.0782052
y	0.00080082	0.00720532	0.980493	0.00467643	0.00184478	0.00035242	0.000280422	7.85105e-05	2.63214e-05	0.000300984	0.000412236	0.000758751	0.000141362	7.24026e-06	0.000249631	0.000962485	0.000109389	2.17703e-05	0.00127803
e	0.000862786	0.00950527	0.984589	0.0028524	0.000418982	0.000201374	0.000197366	0.000132912	1.95281e-05	6.08618e-05	8.38243e-05	0.000390819	2.8531e-05	9.93259e-07	1.8779e-05	0.000190114	2.3727e-05	1.31756e-05	0.000409764
e	0.00224483	0.00880328	0.945655	0.0213702	0.00866956	0.00264078	0.00125734	0.00052669	8.55271e-05	0.00022398	0.000765455	0.00192657	0.000329227	8.1581e-06	0.000230009	0.000887767	0.000326364	2.18348e-05	0.00402703
r	0.021813	0.159491	0.246288	0.320857	0.131933	0.0401388	0.0169355	0.0071852	0.00297573	0.00252012	0.0068097	0.00342605	0.00650503	0.00463407	0.00480832	0.00461022	0.00558551	0.00055786	0.0129269
á	0.0420131	0.102291	0.033585	0.291766	0.146095	0.186726	0.0729232	0.0288272	0.0136946	0.00783556	0.00654799	0.00462053	0.024733	0.0014257	0.00600836	0.0014051	0.013646	0.000184992	0.0156712
p	0.00552154	0.0579622	0.0265062	0.395843	0.186635	0.129643	0.0482943	0.042977	0.0323893	0.0178754	0.00510336	0.00346501	0.00922021	0.0160792	0.00626884	0.00329616	0.00529476	0.003589	0.00403584
f	0.00561067	0.00466953	0.00939281	0.0445412	0.252891	0.287564	0.166864	0.0247733	0.0201026	0.0175116	0.0165483	0.0387451	0.00958767	0.0256718	0.00700744	0.00232917	0.00171735	0.0424653	0.0220077
ú	0.000817645	0.00146385	0.00335447	0.0523804	0.269754	0.337557	0.211773	0.0250994	0.0109316	0.00625789	0.0130188	0.0188134	0.0202544	0.0122861	0.00532044	0.000841447	0.00196328	0.00218665	0.00592628
ω	0.00163287	0.00192753	0.00250217	0.075208	0.341648	0.390891	0.14544	0.0125033	0.00513062	0.00149213	0.0033419	0.00737375	0.00376925	0.00244075	0.000916	0.000211396	0.000945638	0.000384811	0.00224091
y	0.000234887	0.000379737	0.000604911	0.053817	0.253413	0.337769	0.289257	0.0329364	0.00721671	0.00340811	0.00716266	0.00292095	0.00438225	0.000542158	0.00258407	0.000531197	0.000613194	8.36272e-05	0.00214294
á	0.0154047	0.00584296	0.00244328	0.0457208	0.0578574	0.270582	0.370678	0.115475	0.0185889	0.0124373	0.018912	0.00907499	0.0183315	0.000413335	0.00668137	0.00133952	0.0049385	0.00214767	0.0231302
n	0.00301949	0.00421604	0.00235751	0.0240632	0.074948	0.19236	0.294744	0.229869	0.0981497	0.0253713	0.0171407	0.0108399	0.0063519	0.00500788	0.00468631	0.00117519	0.00105532	0.00280075	0.00184355
d	0.00328191	0.0165204	0.000666858	0.0481804	0.0251842	0.108326	0.166304	0.407844	0.164234	0.0136187	0.00865461	0.00933258	0.0146503	0.00169916	0.00308979	0.00112003	0.00192419	0.000194168	0.00517473
a	0.00149966	0.00353284	0.00131152	0.0592406	0.0335099	0.218002	0.221863	0.197083	0.185942	0.0229263	0.00624097	0.0135019	0.00532622	0.000341242	0.00256659	0.00211967	0.00197212	0.00101117	0.0220086
a	0.000483729	0.00315711	0.00282451	0.0593797	0.0418794	0.161345	0.259094	0.141603	0.0441118	0.0486109	0.0375728	0.0367444	0.0201391	0.0003833	0.0123201	0.0136333	0.0146644	0.00299159	0.0990618
t	0.00184	0.00588186	0.00644486	0.0324061	0.0806167	0.086243	0.148609	0.15528	0.0750773	0.139147	0.129792	0.025845	0.0221574	0.00349152	0.0443491	0.0179019	0.00628137	0.00317868	0.0154578
s	0.00179514	0.00244845	0.00214275	0.0113951	0.0852914	0.11866	0.130366	0.0587304	0.0271428	0.0285983	0.202994	0.0864849	0.0427279	0.0167889	0.0226368	0.0170674	0.0149711	0.0789591	0.0507988
í	0.000786923	0.00110705	0.00275831	0.0145101	0.1279	0.0630615	0.0976786	0.0745169	0.068664	0.0841199	0.134495	0.0726677	0.0636761	0.0370816	0.0238766	0.0176405	0.0475136	0.0154152	0.0525307
n	0.00174276	0.00582557	0.00354568	0.0185107	0.0673667	0.0522441	0.110164	0.311813	0.126881	0.0503512	0.0540449	0.0345642	0.0222972	0.0680404	0.00513235	0.00443825	0.00771911	0.0193958	0.0359227
a	0.0039639	0.0143552	0.00113181	0.011172	0.0101246	0.0384487	0.0410043	0.253804	0.428484	0.0587422	0.00752517	0.0103176	0.0198583	0.00393048	0.00595169	0.00124957	0.010703	0.00179651	0.0774373
n	0.000527589	0.00166563	0.00136646	0.00699358	0.0151038	0.0252816	0.0355184	0.109137	0.111172	0.193029	0.23327	0.0365241	0.0575814	0.0182277	0.0665827	0.0340502	0.016618	0.0140267	0.0233243
d	0.00373379	0.0109547	0.000427357	0.0196923	0.00692451	0.0300153	0.0324679	0.280681	0.415798	0.0738353	0.0179253	0.00962977	0.0375341	0.00219462	0.00716199	0.00200424	0.00962676	0.000278313	0.0391149
e	0.000407725	0.00157547	0.000842501	0.0114165	0.00555399	0.0437456	0.0503106	0.233729	0.418764	0.0730677	0.0373089	0.039497	0.0208078	0.00154071	0.00883249	0.00439593	0.00500373	0.00175394	0.0414461
b	0.000293139	0.00288234	0.00284256	0.0252676	0.020449	0.0633235	0.0919251	0.110218	0.0568687	0.0762045	0.171437	0.0980035	0.0702167	0.00194155	0.045645	0.0433258	0.0278833	0.0178036	0.0734689
á	0.000392286	0.000539116	0.000297426	0.00272238	0.0128281	0.0663771	0.116107	0.152616	0.0904069	0.0871632	0.109507	0.0634155	0.0970817	0.0248909	0.0190546	0.0133562	0.0131851	0.0127146	0.117345
a	0.000636082	0.000872272	0.000499957	0.00425599	0.0149882	0.0158596	0.0179608	0.0172429	0.0174582	0.0387136	0.282464	0.0812378	0.138545	0.029967	0.0983855	0.0614715	0.0444135	0.0677193	0.0673089
m	0.000460123	0.00136378	0.00222648	0.00524218	0.00684594	0.00324547	0.00464697	0.00919812	0.00999233	0.0625325	0.249308	0.0785701	0.0714866	0.0256745	0.224621	0.117632	0.0312572	0.0279531	0.0677434
b	0.000300826	0.0013505	0.000550055	0.000790833	0.00322731	0.00344891	0.0079765	0.0202285	0.00997697	0.151733	0.137601	0.357952	0.0340455	0.0207678	0.12336	0.0776231	0.0142694	0.00319544	0.0316016
í	5.93981e-05	0.000459283	0.000578042	0.000710044	0.00473466	0.00410288	0.0112461	0.00909678	0.00451307	0.176732	0.0524826	0.60533	0.0321383	0.013738	0.0240691	0.0240388	0.00606464	0.000578596	0.0293278
á	0.000237591	0.00139143	0.000211822	0.00155473	0.00970914	0.00629049	0.00754288	0.0090651	0.00674441	0.0863044	0.13443	0.301157	0.0578382	0.0249461	0.0895711	0.0784807	0.0640455	0.00453627	0.115943
s	0.000352936	0.000720555	0.000668134	0.00200181	0.00347776	0.00331131	0.00283492	0.00309297	0.00650592	0.0367037	0.0942743	0.0887844	0.108342	0.0360597	0.223996	0.153945	0.100467	0.0715417	0.0629189
á	0.000296444	0.00284925	0.00594215	0.0108331	0.00754808	0.00633047	0.0106736	0.0307212	0.0105175	0.0247601	0.113321	0.242295	0.094472	0.00469306	0.0391641	0.0835526	0.0459084	0.0667617	0.199361
a	0.000332313	0.00084792	0.000389677	0.00415759	0.00401718	0.00645551	0.00873781	0.066515	0.0333936	0.0155411	0.0607669	0.0586866	0.238048	0.183108	0.0716483	0.0166889	0.046066	0.138643	0.0459565
l	0.000120568	0.000787138	0.00248378	0.00279636	0.00373392	0.00173388	0.00303807	0.00346401	0.00200297	0.00910802	0.0660695	0.118797	0.0457454	0.0368502	0.0854985	0.268043	0.078151	0.112504	0.159073
a	0.000195945	0.00268305	0.00362291	0.00774166	0.00683858	0.00194911	0.00435115	0.00389484	0.0005354	0.00270683	0.0444212	0.142423	0.0274235	0.002481	0.0288417	0.361232	0.0941467	0.0584322	0.206079
