 	ngolo	a	planté	un	safoutier	dans	la	parcelle	</S>
n	0.868353	0.107535	0.00506169	0.0126084	0.00154382	0.00273649	0.00169206	0.000372263	9.701e-05
g	0.995621	0.00399932	0.000148063	0.000165142	7.97295e-06	2.7888e-05	2.258e-05	6.95455e-06	1.56186e-06
o	0.988849	0.00911793	0.00114988	0.000578031	3.80863e-05	0.000106222	0.000107209	4.28004e-05	1.09123e-05
l	0.992147	0.00316669	0.00196476	0.000803811	0.000233539	0.000116194	0.000239843	0.000625308	0.000702555
ó	0.59187	0.273788	0.0665127	0.0213922	0.00140742	0.00350469	0.00234004	0.00244908	0.0367364
á	0.00921054	0.682893	0.212948	0.0537383	0.00225208	0.00881545	0.00279137	0.00152677	0.0258247
s	0.0038934	0.0919285	0.520174	0.087285	0.278982	0.00812475	0.00238183	0.000834133	0.00639638
i	0.000661062	0.0301749	0.699198	0.0140839	0.252888	0.00169027	0.00035217	0.000150262	0.000801317
i	0.000807737	0.0141894	0.673243	0.0430006	0.251304	0.00971324	0.00213405	0.00114762	0.00446017
o	0.00269443	0.108141	0.128714	0.650259	0.025454	0.0477671	0.0163769	0.00748442	0.0131089
s	0.00155463	0.0109161	0.138012	0.214871	0.534949	0.0566989	0.0258096	0.0093287	0.00785979
á	0.00018788	0.00117505	0.0707069	0.0124337	0.900784	0.00473816	0.00244026	0.00336586	0.00416812
á	5.04955e-05	0.00742501	0.0816327	0.0370338	0.66563	0.0300068	0.0180251	0.0221396	0.138056
s	0.00118356	0.011634	0.03824	0.185511	0.141391	0.468307	0.122813	0.0208197	0.010101
é	0.000454414	0.00431702	0.0328822	0.0517993	0.0956251	0.143227	0.228888	0.283464	0.159342
f	0.00182031	0.0046559	0.011136	0.035993	0.0660479	0.116949	0.180407	0.526289	0.0567025
u	0.00068256	0.00477478	0.00935704	0.0186067	0.00881676	0.080252	0.360653	0.381753	0.135105
n	0.00020763	0.000248554	0.00402296	0.00399741	0.0889371	0.0847893	0.146537	0.471197	0.200063
d	0.000124725	0.000477769	0.00368622	0.00753254	0.0129213	0.0961088	0.264895	0.493506	0.120747
u	7.73424e-05	0.000279153	0.000900016	0.00498969	0.000798739	0.0650293	0.296887	0.588241	0.042798
</S>	0.00011228	0.000681073	0.000901829	0.00760925	0.00044507	0.138726	0.22978	0.258181	0.363563
