 	cette	femme	a	perdu	son	enfant	</S>
o	0.927039	0.0552004	0.00631405	0.0026423	0.0074794	0.000861867	0.000462853
y	0.227679	0.677352	0.0719661	0.0185287	0.00202159	0.000926262	0.00152646
ú	0.627614	0.338599	0.0140021	0.00724605	0.00722189	0.00317088	0.00214683
r	0.680774	0.127956	0.0507519	0.0302093	0.0487193	0.0170064	0.0445832
u	0.750265	0.136391	0.0317255	0.0198322	0.0213786	0.0168017	0.0236057
w	0.248944	0.100553	0.541796	0.0398214	0.0287167	0.0045493	0.0356191
ó	0.194306	0.162773	0.273674	0.10186	0.0805288	0.0286615	0.158196
á	0.0326595	0.0129728	0.780768	0.0724896	0.0338079	0.00280874	0.0644934
p	0.00221224	0.00224903	0.504553	0.418917	0.0211412	0.00102499	0.0499028
e	0.00210772	0.000912749	0.298748	0.651058	0.0110768	0.00135723	0.0347396
n	0.0245136	0.00389501	0.0986368	0.769556	0.0537073	0.00290836	0.0467829
i	0.0834659	0.00760818	0.105676	0.436298	0.306451	0.0194065	0.0410943
m	0.0142786	0.00653415	0.0224051	0.0147314	0.622741	0.298114	0.021195
w	0.00274147	0.000450197	0.000345052	0.00141891	0.0133282	0.975415	0.0063014
á	0.000286608	0.000137404	0.000298414	0.0119759	0.00583423	0.978483	0.00298458
n	0.00614528	0.00017823	9.63005e-05	0.000754171	0.00902801	0.978543	0.0052549
a	0.021511	0.00659375	0.00622233	0.0132873	0.144939	0.766893	0.0405536
</S>	0.0297126	0.00271332	0.0371035	0.0304642	0.443531	0.047224	0.409251
