 	quand	une	bataille	est	annulée	tout	le	monde	se	dit	grand	guerrier	</S>
b	0.369596	0.38007	0.191396	0.0432093	0.00362997	0.00389599	0.00236927	0.00226402	0.00143291	0.00019682	0.00158066	0.000335743	2.35584e-05
i	0.210061	0.316631	0.36913	0.0477725	0.012729	0.00422721	0.0037083	0.00270473	0.0039189	0.00160867	0.00396183	0.0220275	0.00151977
r	0.0625177	0.160022	0.693736	0.0380556	0.0167988	0.00452634	0.00355221	0.00146445	0.00323983	0.000477138	0.000704998	0.0125347	0.00237018
á	0.199794	0.440509	0.28008	0.00839809	0.0201132	0.00169174	0.00650095	0.00359124	0.00266666	0.000779585	0.00134305	0.0116717	0.0228604
w	0.239538	0.365454	0.138777	0.103651	0.0140975	0.0144571	0.00581981	0.00318626	0.00859336	0.01027	0.00609587	0.00111567	0.0889437
á	0.0917372	0.0829587	0.0236164	0.105977	0.0818664	0.176966	0.088074	0.0456715	0.100172	0.0402396	0.0374969	0.00395307	0.121271
á	0.0465497	0.0560419	0.148805	0.255821	0.103815	0.0679799	0.0319253	0.0187299	0.0425557	0.0225546	0.0154205	0.0192686	0.170533
í	0.083306	0.0570778	0.156904	0.169973	0.320688	0.032488	0.0246983	0.0158374	0.00572542	0.0177019	0.0123248	0.0164452	0.0868303
k	0.0393455	0.0468513	0.110921	0.0790806	0.423292	0.030572	0.0281473	0.0268432	0.0154161	0.0397718	0.0209956	0.0524008	0.0863629
w	0.00660858	0.0214044	0.074894	0.0685195	0.610646	0.0416031	0.0450633	0.0607552	0.0206234	0.0120841	0.0128558	0.00994282	0.0149998
ώ	0.0114366	0.0185264	0.161553	0.047614	0.39368	0.114684	0.088523	0.0581023	0.0355783	0.0163191	0.00720588	0.0172539	0.0295236
ώ	0.00979926	0.0170495	0.0571367	0.168718	0.416071	0.114808	0.054502	0.0415343	0.0284245	0.00921198	0.00487051	0.0172554	0.0606189
n	0.00827993	0.0117376	0.00773298	0.136636	0.265938	0.321912	0.11464	0.0638408	0.0315795	0.0107374	0.00902279	0.00914603	0.0087969
í	0.0107035	0.0106682	0.00797872	0.0132314	0.567015	0.0571766	0.123201	0.096872	0.0275315	0.0093091	0.00620669	0.00846891	0.0616382
á	0.00282267	0.00476844	0.0111708	0.0739302	0.121214	0.261192	0.183762	0.171736	0.0673627	0.0199323	0.00833769	0.0306389	0.0431308
t	0.0157105	0.0118316	0.0287689	0.0202968	0.0667798	0.0478382	0.226606	0.24992	0.0660196	0.0923797	0.0276316	0.114525	0.0316928
s	0.00112303	0.00311781	0.0104088	0.00640005	0.0696104	0.0336809	0.166068	0.407197	0.103611	0.0489677	0.0231061	0.0948786	0.0318304
ω	0.000594306	0.00180592	0.00539593	0.00629995	0.0777622	0.0492467	0.180153	0.427876	0.109902	0.0505812	0.0314056	0.0386124	0.0203649
a	0.000592589	0.0022075	0.00149571	0.0279989	0.0407627	0.123346	0.14603	0.143325	0.18677	0.120283	0.0551004	0.0271746	0.124914
m	0.00337955	0.00313784	0.00231012	0.0117619	0.0125874	0.0341868	0.0527004	0.0363479	0.104154	0.304545	0.181233	0.0558873	0.197769
a	0.00232634	0.0116241	0.0224011	0.0189085	0.00193736	0.00202302	0.0158582	0.0102145	0.0328568	0.0337167	0.0718408	0.595148	0.181145
n	0.00179354	0.00507082	0.00360414	0.0126412	0.0129713	0.0261074	0.058839	0.0636128	0.131575	0.0883642	0.161386	0.255279	0.178756
i	0.00427347	0.00729171	0.00254881	0.00292763	0.0989389	0.0134959	0.0539435	0.0637663	0.0355593	0.0372847	0.0504805	0.479739	0.14975
</S>	0.000311095	0.00126089	0.000474875	0.00226413	0.0112976	0.0219606	0.0496842	0.0671343	0.087522	0.1813	0.110073	0.0307635	0.435954
