 	son	camarade	lui	a	donné	un	coup	de	poing	à	la	pomme	d'	adam	</S>
o	0.689374	0.229239	0.0606385	0.0100382	0.00716439	0.00189952	6.28461e-05	0.000662016	0.000111616	0.000500414	0.000148036	4.97141e-06	0.000117428	1.56576e-05	2.32115e-05
b	0.0126498	0.982826	0.00235187	0.000677474	0.000326063	0.000204624	0.000177973	8.94588e-05	0.000212779	5.77848e-05	5.07574e-05	1.86947e-05	6.69189e-05	0.00021303	7.71155e-05
i	0.00524837	0.993674	0.000302117	0.000116741	0.000229133	6.81938e-05	1.63705e-05	2.33212e-05	0.000237572	1.1414e-05	8.49124e-06	1.41375e-05	8.61616e-06	3.30247e-05	8.63834e-06
a	0.00248454	0.994407	0.00139529	0.000362836	0.000489015	0.000273801	0.00012005	3.77321e-05	6.51998e-05	7.56639e-05	3.02967e-05	3.25124e-05	1.41887e-05	1.55819e-05	0.000196812
á	0.104748	0.0223661	0.239256	0.464821	0.127154	0.029138	0.0014986	0.00490916	8.21637e-05	0.00252285	0.000836346	0.000347407	0.000313901	1.36837e-05	0.0019929
b	0.00370403	0.00204185	0.0081329	0.0581797	0.155673	0.178124	0.481914	0.0206006	0.032202	0.00882395	0.0101114	0.0167775	0.00433353	0.00282907	0.0165529
έ	0.00245062	0.0106584	0.0153281	0.108473	0.334065	0.264821	0.10074	0.0761632	0.0182742	0.0227474	0.0133689	0.00685718	0.0088428	0.00139972	0.0158104
r	0.00731967	0.0170735	0.00742223	0.0530941	0.146167	0.261261	0.417728	0.0272985	0.0242718	0.00870256	0.00896346	0.0113296	0.00180757	0.00104901	0.00651176
í	0.0363056	0.00136878	0.0419359	0.0782156	0.178472	0.267533	0.209866	0.0928744	0.0384173	0.0198383	0.0131905	0.00357464	0.00536332	0.00136709	0.0116779
w	0.0321373	0.00275063	0.36074	0.179566	0.0696836	0.0745035	0.0711072	0.133131	0.0176903	0.0255321	0.00887515	0.00345419	0.00475967	0.00143985	0.0146304
a	0.0161341	0.00193632	0.0660399	0.0582123	0.182468	0.265702	0.0735053	0.0614933	0.141493	0.0538343	0.0438042	0.00694399	0.0110963	0.00370057	0.013636
o	0.0173674	0.000648206	0.286903	0.0907636	0.0593193	0.0464463	0.0776172	0.185556	0.0138382	0.139348	0.0364908	0.00770373	0.00913602	0.0036895	0.0251723
t	0.000417045	0.00119015	9.87241e-05	0.000284045	0.00196426	0.00597031	0.11299	0.0360173	0.582358	0.0391214	0.0840247	0.127083	0.0019644	0.00247446	0.00404292
s	8.04435e-05	0.000545273	2.13245e-05	9.71696e-05	0.000869147	0.00285076	0.0161848	0.0102097	0.904973	0.00650733	0.0210922	0.0298859	0.000814863	0.00196159	0.00390619
ω	0.000223818	0.000298391	0.000143416	0.000615033	0.00512253	0.00899173	0.00955171	0.0112278	0.878577	0.0135722	0.0388537	0.0177393	0.00246777	0.00669111	0.00592413
ώ	0.000371149	3.11833e-05	0.000593868	0.00077621	0.00735914	0.0188867	0.0064106	0.123511	0.190559	0.317306	0.229662	0.0405391	0.0239388	0.0152977	0.0247573
