 	la	maman	a	blâmé	son	enfant	</S>
n	0.890072	0.03899	0.0562	0.0100026	0.00315234	0.000492677	0.0010905
g	0.0385162	0.960439	0.000904517	3.80873e-06	0.000129053	2.1779e-06	5.53361e-06
ó	0.0196678	0.978371	0.00149821	8.33125e-05	0.000205729	0.000159928	1.41837e-05
o	0.0167627	0.98097	0.000976784	0.000123615	0.000970817	0.000185016	1.10511e-05
á	0.355395	0.0653999	0.48762	0.0361716	0.0470115	0.00209182	0.00630982
p	0.192768	0.065417	0.228596	0.345262	0.0192375	0.02082	0.127899
a	0.0518732	0.00315303	0.0722522	0.735628	0.0254008	0.0114792	0.100214
m	0.359384	0.0356278	0.166591	0.306855	0.0786993	0.00562258	0.0472205
i	0.0962618	0.00363406	0.0554006	0.456398	0.21231	0.0981273	0.0778687
m	0.103	0.00478991	0.117768	0.15334	0.51101	0.0562598	0.0538332
w	0.0152061	0.00031577	0.0740114	0.179741	0.132716	0.570864	0.027146
á	0.0257506	0.00081262	0.0853916	0.0846608	0.0432852	0.754549	0.00555025
n	0.327399	0.000531913	0.118112	0.0127622	0.31591	0.203931	0.0213529
a	0.0432903	0.00635567	0.190111	0.0862621	0.205152	0.384382	0.0844465
</S>	0.0255504	0.00264021	0.159283	0.11024	0.609906	0.0315402	0.0608398
