 	cette	saison	sèche	sera	très	froide	</S>
e	0.222905	0.542809	0.199346	0.0305306	0.00342971	9.30413e-05	0.000886479
b	0.0281673	0.351507	0.314856	0.213003	0.034824	0.0554875	0.00215545
h	0.0157572	0.138156	0.679481	0.153315	0.00477464	0.00715517	0.0013616
ó	0.0317523	0.268807	0.52513	0.161473	0.00595316	0.00306146	0.00382238
y	0.232074	0.210687	0.511068	0.0410673	0.00303041	0.000802183	0.00127095
á	0.160756	0.057524	0.193614	0.184696	0.092023	0.173858	0.137529
y	0.471447	0.152355	0.165257	0.108611	0.0705941	0.0118234	0.0199118
é	0.546862	0.0306757	0.0248518	0.181592	0.125924	0.0342354	0.0558591
y	0.594885	0.043802	0.0307031	0.116512	0.103866	0.0349214	0.0753108
é	0.30322	0.0282573	0.0101688	0.130337	0.283841	0.193272	0.0509042
e	0.315927	0.0355453	0.0314984	0.147255	0.291491	0.0911805	0.0871025
d	0.00949367	0.00284033	0.0173178	0.371135	0.466988	0.0632208	0.0690046
z	0.00854096	0.00162518	0.00441091	0.187354	0.287805	0.365347	0.144917
á	0.0671947	0.00102902	0.00179586	0.245709	0.36468	0.299481	0.0201111
l	0.0143025	0.00370606	0.0209324	0.0813141	0.264921	0.409127	0.205697
a	0.00537239	0.00195581	0.0106063	0.0865163	0.312313	0.271295	0.311941
p	0.0484656	0.00937688	0.0197123	0.0768207	0.294292	0.45567	0.0956619
y	0.00148558	0.00849862	0.0221197	0.0402748	0.0889901	0.813996	0.0246348
é	0.00198209	0.00598678	0.021183	0.0151931	0.0538011	0.832473	0.0693809
b	0.00024873	0.00198113	0.0106586	0.00628175	0.0387259	0.776667	0.165436
h	0.00298352	0.00457976	0.0236887	0.0381955	0.136508	0.550535	0.243509
i	0.0159554	0.0118631	0.0225019	0.0209484	0.0397489	0.284157	0.604826
n	0.0155576	0.010905	0.021614	0.03238	0.0837678	0.0769195	0.758856
d	0.158288	0.0934034	0.0137853	0.109383	0.13756	0.0502654	0.437315
z	0.0268224	0.0148315	0.00247284	0.0334217	0.0700076	0.0782322	0.774212
í	0.0010823	0.00124835	0.000458751	0.00581445	0.115709	0.258584	0.617104
í	0.00145662	0.00382617	0.00193249	0.0239283	0.0563164	0.137975	0.774565
</S>	0.0175684	0.00779227	0.00901531	0.0205618	0.0729011	0.0401259	0.832035
