 	je	n'	ai	pas	d'	argent	</S>
n	0.747597	0.0722599	0.0383876	0.0731905	0.052621	0.0122663	0.00367747
g	0.965795	0.00276835	0.00725841	0.00447145	0.0059111	0.0130361	0.000759968
á	0.959889	0.0041211	0.00899278	0.000781888	0.00151596	0.0245564	0.000142649
i	0.195272	0.300556	0.229462	0.0353856	0.11278	0.0384006	0.0881438
d	0.00996005	0.360885	0.242756	0.204213	0.0338784	0.00193086	0.146376
í	0.00793974	0.32564	0.212713	0.039309	0.0246608	0.00079397	0.388944
o	0.00795181	0.178393	0.329543	0.166916	0.136354	0.00084622	0.179996
d	0.000701157	0.0849803	0.189071	0.55354	0.0719391	0.00872874	0.0910395
z	0.000248525	0.0438057	0.069541	0.414349	0.0442971	0.00153441	0.426224
e	0.0184786	0.0781684	0.0683626	0.154573	0.109212	0.00671103	0.564494
e	0.000617762	0.0393111	0.0525372	0.107751	0.109094	0.00380319	0.686885
m	0.000170727	0.0419783	0.151065	0.229445	0.325664	0.0249064	0.22677
á	6.08088e-05	0.0119451	0.0162109	0.0216094	0.107527	0.13308	0.709567
l	0.00426588	0.038332	0.158772	0.137254	0.409228	0.0482111	0.203937
a	0.00567149	0.0249147	0.161051	0.0512326	0.197992	0.0333031	0.525836
m	0.00184836	0.0109454	0.0521648	0.0731246	0.458439	0.117832	0.285645
b	0.000120731	0.00291188	0.00512366	0.00929036	0.1706	0.686288	0.125666
ώ	3.42855e-05	0.000232918	0.00145241	0.0196023	0.0392715	0.90704	0.0323668
n	1.57948e-05	0.00229544	0.00544722	0.0216905	0.0827717	0.725668	0.162111
g	0.000673847	0.00547631	0.0442207	0.214281	0.3308	0.204901	0.199647
ω	0.00233897	0.00091735	0.00766429	0.0359883	0.12518	0.667724	0.160187
k	0.000441047	0.00878725	0.0338304	0.0607768	0.328879	0.00785681	0.559429
a	0.00446043	0.0208947	0.0606037	0.370458	0.266178	0.000573336	0.276832
á	0.000426199	0.00140566	0.0069127	0.0304852	0.0320766	0.0013133	0.92738
</S>	0.00334003	0.0240054	0.0448693	0.00892075	0.051158	0.00485148	0.862855
