 	les	ouvriers	boudent	leur	chef	</S>
a	0.854967	0.125893	0.00243302	0.0160614	0.000498403	0.000147873
s	0.0540147	0.929707	0.013671	0.000427778	0.00200621	0.00017282
á	0.134102	0.840153	0.0214197	0.00134056	0.000443983	0.00254147
l	0.0623145	0.813778	0.025022	0.0126326	0.0057255	0.0805278
i	0.261302	0.509405	0.0499418	0.0910037	0.00671726	0.0816304
b	0.44268	0.363848	0.0666567	0.0393975	0.000982647	0.0864354
á	0.530014	0.108397	0.0277331	0.196928	0.00314427	0.133784
a	0.439193	0.187038	0.104201	0.150374	0.0178298	0.101364
d	0.0263959	0.122801	0.788348	0.00348783	0.0127331	0.0462342
z	0.00304595	0.0479584	0.925861	0.000210107	0.00154832	0.0213766
ω	0.0510001	0.0628653	0.852259	0.000606192	0.00309677	0.0301731
r	0.00431935	0.0212084	0.930664	0.00588014	0.0071447	0.0307829
ώ	0.03773	0.0449833	0.554288	0.0401383	0.0721325	0.250728
ώ	0.13902	0.0119841	0.344037	0.330938	0.052714	0.121308
l	0.0871963	0.0711536	0.216726	0.207063	0.363133	0.054727
o	0.035861	0.066974	0.187465	0.0841902	0.260553	0.364957
k	0.0354332	0.0715699	0.058083	0.0879196	0.687803	0.0591913
o	0.000226964	0.00259741	0.0180008	0.00533926	0.965973	0.0078624
n	0.000448352	0.00170967	0.0544854	0.00461199	0.893491	0.0452537
d	0.00357114	0.00211181	0.033543	0.00346054	0.809497	0.147817
z	0.00478592	0.00510467	0.0383939	0.00859601	0.693755	0.249364
i	0.000825917	0.000522183	0.0103561	0.0103376	0.772573	0.205385
y	0.00764002	0.00629102	0.0211017	0.0525298	0.0270365	0.885401
a	0.0202148	0.042547	0.0519778	0.488866	0.136087	0.260307
b	0.0237653	0.0497399	0.0148813	0.727959	0.0950928	0.0885613
á	0.00201995	0.00182425	0.000773586	0.984936	0.00283381	0.00761202
a	0.00529706	0.0124999	0.000974	0.953238	0.00644995	0.0215414
</S>	0.0262777	0.0419573	0.0529336	0.105271	0.0654597	0.7081
