 	leur	père	est	un	grand	bagarreur	</S>
t	0.37039	0.576891	0.0242327	0.00981269	0.0155801	0.00109305	0.0019997
á	0.0223348	0.959562	0.00678831	0.00706764	0.00178875	0.00121152	0.00124684
á	0.00509463	0.833131	0.0847352	0.05143	0.00123166	0.00105113	0.0233267
y	0.699079	0.170048	0.109638	0.00646816	0.00473462	0.00045368	0.00957876
a	0.194689	0.422412	0.264302	0.0262906	0.00618319	0.00655857	0.0795643
b	0.919279	0.0556749	0.0155042	0.00311823	0.00222224	0.000436139	0.00376535
á	0.993361	0.00439111	0.00112455	0.000481925	0.000246202	0.000267638	0.000128047
a	0.958339	0.0345515	0.00231423	0.00218	0.000873292	0.000322131	0.0014193
a	0.0461272	0.0185974	0.685773	0.132693	0.0598637	0.00506588	0.0518793
d	0.00233383	0.0028283	0.424926	0.39438	0.0827802	0.035791	0.0569607
í	0.00200892	0.000489839	0.101283	0.302312	0.0361183	0.0425392	0.515249
o	0.0170363	0.000444484	0.143914	0.26383	0.322454	0.0410105	0.211311
m	0.000240233	1.88868e-05	0.00219441	0.0308696	0.0298963	0.91194	0.0248402
a	0.000115636	0.000615022	0.0107809	0.0625196	0.0570346	0.746953	0.121982
n	1.44969e-05	0.000180252	0.0228609	0.143742	0.262239	0.283404	0.287559
i	0.00350742	0.000507432	0.0211373	0.178897	0.126394	0.417349	0.252208
o	0.00287686	0.000618218	0.0268234	0.0938829	0.160174	0.0592024	0.656422
n	0.000347322	0.000114483	0.0112338	0.0467214	0.19848	0.536507	0.206595
έ	0.00245542	0.000140557	0.00844655	0.0625965	0.0708702	0.35016	0.50533
</S>	0.00118399	6.50752e-05	0.00453836	0.0257648	0.051633	0.0147532	0.902062
