 	cet	homme	a	un	ventre	velu	</S>
i	0.743066	0.240401	0.011137	0.00375651	0.00142958	0.000192549	1.77874e-05
b	0.0833036	0.860026	0.0479466	0.00666911	0.00137394	0.000493478	0.000187108
a	0.0153735	0.971388	0.00253809	0.00603774	0.00286442	0.00166389	0.000134627
a	0.126129	0.803062	0.0173834	0.0176885	0.0107165	0.00185654	0.023164
d	0.502744	0.127244	0.268353	0.019127	0.00647276	0.000207123	0.0758525
í	0.0467758	0.0171066	0.137647	0.0459934	0.00992488	0.00172698	0.740826
í	0.0445502	0.0197257	0.550675	0.166986	0.0236221	0.00106366	0.193377
d	0.0312206	0.0157944	0.468414	0.349255	0.0661806	0.0113569	0.0577784
í	0.0032124	0.00185919	0.107064	0.0937521	0.0242015	0.00250804	0.767403
l	0.00361358	0.00215173	0.145794	0.1471	0.110313	0.0860024	0.505025
ó	0.00180753	0.00148657	0.0314135	0.0840943	0.105791	0.0716922	0.703715
t	0.00649369	0.00341178	0.0514333	0.0804089	0.0663287	0.614354	0.17757
a	0.000867143	0.00266718	0.00728362	0.0893833	0.0394399	0.78974	0.0706189
r	0.000746167	0.00352079	0.00705826	0.132942	0.0668518	0.619273	0.169608
a	0.00450817	0.00516998	0.014403	0.144854	0.20737	0.418788	0.204908
</S>	0.00362254	0.00175222	0.0162544	0.0567435	0.181874	0.103176	0.636577
