 	les	éléphants	se	déplacent	en	bande	</S>
a	0.796358	0.184939	0.0169382	0.000637375	0.000997192	5.28384e-05	7.75295e-05
n	0.0317982	0.965311	0.00240486	0.000140544	6.67593e-05	0.000203193	7.54678e-05
d	0.0231518	0.959577	0.0103703	0.00122092	0.000711246	0.00199089	0.00297827
z	0.0444052	0.951756	0.000962638	0.000174881	6.11537e-05	0.000938552	0.00170194
ω	0.0360299	0.956566	0.00285351	0.000989664	8.1116e-05	0.00279572	0.000684446
i	0.20724	0.72397	0.0441258	0.00367458	0.00227958	0.00818188	0.0105281
b	0.0320672	0.0580449	0.806161	0.0206096	0.0313823	0.00176628	0.0499687
á	0.222957	0.0301579	0.496561	0.108206	0.0748219	0.00305594	0.0642397
a	0.375871	0.0107565	0.534012	0.0366514	0.0295534	0.00224619	0.0109088
b	0.00770635	0.0184473	0.151034	0.68897	0.0759166	0.0328936	0.0250323
h	0.0032639	0.00190105	0.0452447	0.932951	0.0104544	0.00317253	0.00301258
é	0.00394971	0.000514682	0.00488271	0.989594	0.000482934	0.000372153	0.000203314
m	0.048407	0.014472	0.111726	0.762174	0.018599	0.0157567	0.028865
b	0.0304893	0.0013221	0.123002	0.588123	0.117789	0.0192804	0.119994
á	0.0233962	0.00271328	0.135673	0.563277	0.0514704	0.0234683	0.200002
m	0.0201966	0.00124322	0.0643052	0.112614	0.660577	0.0872827	0.0537806
ó	0.014929	0.00160516	0.0547838	0.228804	0.217261	0.122899	0.359717
e	0.0310962	0.00559065	0.0191392	0.0137341	0.113584	0.768098	0.0487578
k	0.000612896	0.000706989	0.00256797	0.00801683	0.0327312	0.879093	0.0762708
u	0.000718593	0.000878487	0.00337319	0.00870387	0.0116868	0.908708	0.0659311
n	0.00128972	0.000110898	0.000646093	0.00620832	0.0040855	0.853916	0.133743
g	0.0144606	0.00070413	0.0124229	0.0391863	0.0196802	0.787286	0.12626
a	0.00802847	0.00192976	0.0320861	0.0101471	0.0413059	0.28386	0.622642
</S>	0.0598171	0.00296043	0.0283497	0.00525401	0.0983387	0.197748	0.607532
