 	l'	oiseau	ouvre	son	bec	</S>
n	0.403529	0.392952	0.179689	0.0216617	0.00203768	0.000130001
y	0.0426476	0.95682	0.000301662	0.000217058	1.64315e-06	1.23639e-05
ω	0.0334539	0.959423	0.00539423	0.00114642	0.000309473	0.00027261
s	0.0193881	0.97726	0.00115977	0.000151537	7.5063e-05	0.0019652
í	0.0620694	0.0546358	0.0835725	0.0474263	0.0341889	0.718107
a	0.339143	0.0651481	0.358988	0.216544	0.00337036	0.0168071
k	0.0747234	0.0559065	0.39949	0.385633	0.0210027	0.0632447
ú	0.0249198	0.0166183	0.398736	0.383478	0.0280927	0.148155
m	0.0833445	0.0144711	0.282723	0.371972	0.166579	0.0809103
ú	0.357061	0.0128377	0.0910589	0.517366	0.00499111	0.0166852
o	0.00850975	0.0011773	0.0488932	0.465561	0.111249	0.36461
t	0.000869991	0.00026686	0.0413216	0.28813	0.470102	0.19931
o	0.000160046	0.000109299	0.00921439	0.0233329	0.892752	0.0744317
b	0.00025572	0.000157596	0.0175962	0.0379247	0.729428	0.214638
h	0.00449796	0.000134058	0.0186059	0.0129733	0.767468	0.196321
o	0.00716322	0.00212792	0.0235708	0.115079	0.585648	0.26641
l	0.00331749	0.000359488	0.0405372	0.114403	0.0255881	0.815794
a	0.015771	0.00164302	0.00987562	0.192724	0.038756	0.741231
</S>	0.0209977	0.00210459	0.00761592	0.418668	0.00646213	0.544151
