 	il	prépare	son	voyage	</S>
w	0.997503	0.00104053	0.000861792	0.000570627	2.43483e-05
a	0.982911	0.000238267	0.0157128	0.00109874	3.90656e-05
a	0.865302	0.0438079	0.0770067	0.00628665	0.00759697
b	0.207856	0.454611	0.169528	0.0580237	0.109981
h	0.349772	0.279048	0.0859154	0.102076	0.183188
i	0.192019	0.485577	0.0676676	0.0655855	0.18915
l	0.059538	0.213065	0.214221	0.156881	0.356295
á	0.102322	0.0525779	0.528551	0.052692	0.263857
a	0.284218	0.0600873	0.415762	0.137242	0.102691
l	0.0170153	0.416517	0.0686528	0.407289	0.0905259
o	0.00357313	0.308161	0.065294	0.577251	0.0457204
n	0.000749114	0.0732584	0.0674628	0.714889	0.143641
d	0.012927	0.0357279	0.419334	0.167068	0.364942
á	0.070888	0.0658644	0.301973	0.260784	0.30049
o	0.0321443	0.00495976	0.494743	0.217363	0.25079
s	0.00374754	0.0317686	0.241945	0.511496	0.211043
í	0.00171738	0.0440873	0.134111	0.601004	0.21908
n	0.0020363	0.00301789	0.156982	0.102606	0.735358
á	0.00328315	0.00189989	0.274252	0.239949	0.480616
</S>	0.00740718	0.000901273	0.264362	0.080488	0.646842
