 	il	brave	le	danger	</S>
w	0.985891	0.00480371	0.0091431	0.000115808	4.62632e-05
a	0.966503	0.000833054	0.0325389	6.16322e-05	6.35455e-05
a	0.592803	0.233121	0.125882	0.00315528	0.0450389
d	0.0965263	0.453898	0.174287	0.0336768	0.241611
i	0.0486303	0.67073	0.0844763	0.00142038	0.194743
b	0.0176577	0.657658	0.163202	0.0206644	0.140818
ώ	0.0330851	0.100121	0.673517	0.0324588	0.160818
m	0.120199	0.0427923	0.629807	0.0393778	0.167824
ώ	0.0648874	0.0116358	0.537611	0.0327841	0.353081
b	0.048468	0.032325	0.449582	0.217702	0.251923
i	0.026573	0.00432894	0.273282	0.50227	0.193546
p	0.0162217	0.00255024	0.3098	0.374103	0.297326
έ	0.00828722	0.00881101	0.127322	0.793265	0.0623155
ε	0.00143946	0.0172457	0.165054	0.64089	0.175371
l	0.0058983	0.00542064	0.105274	0.343201	0.540206
á	0.0151987	0.00768356	0.123506	0.30909	0.544522
k	0.0525274	0.0192341	0.201746	0.327218	0.399275
í	0.000866149	0.00872046	0.0245285	0.901094	0.064791
n	0.000682623	0.00429853	0.0208809	0.57474	0.399398
g	0.00148771	0.0388069	0.115554	0.470406	0.373746
í	0.00100667	0.00935374	0.0641093	0.316608	0.608922
k	0.0079387	0.00944686	0.139878	0.066196	0.77654
a	0.000983814	0.00658638	0.0622749	0.230242	0.699913
á	0.00120698	0.00670678	0.0170395	0.0751582	0.899889
</S>	0.0140619	0.00393129	0.0488331	0.0288756	0.904298
