 	on	lui	a	fait	une	injection	à	l'	hôpital	du	fait	qu'	on	n'	a	pas	pu	le	faire	à	la	maison	</S>
á	0.725197	0.14012	0.0403633	0.00749835	0.0125948	0.0308401	0.0134624	0.00169657	1.45117e-05	0.00507291	0.00147925	0.00356962	0.00727297	0.00201559	0.000582626	0.00259496	0.00141634	0.00188509	0.000879006	0.000449911	0.000889243	4.63804e-05	5.92264e-05
m	0.088333	0.0931722	0.257581	0.398156	0.0893452	0.016839	0.00564642	0.0104513	0.00382819	0.0039646	0.00262433	0.000920862	0.00125074	0.00348046	0.00412971	0.00471812	0.00646113	0.00303613	0.00182407	0.00198129	0.00131051	0.000618032	0.000327938
a	0.00920707	0.123166	0.227472	0.396022	0.0532765	0.00758557	0.0260268	0.0261822	0.00102657	0.00396152	0.0129857	0.00591126	0.00410012	0.0158725	0.0137812	0.00201688	0.000928463	0.00344013	0.0023552	0.00700669	0.0022051	0.000433728	0.0550366
i	0.0171607	0.0576062	0.193925	0.200639	0.0192033	0.00768445	0.0124288	0.031018	0.00321536	0.0126543	0.0151878	0.0132587	0.0136546	0.0194658	0.0300661	0.0117235	0.01526	0.0117386	0.0155476	0.0282743	0.0129203	0.0015174	0.255851
w	0.010753	0.0541922	0.105716	0.41095	0.0539415	0.0332981	0.0149469	0.0200512	0.00206648	0.0105022	0.0111497	0.00674191	0.0036033	0.009131	0.0152691	0.0126014	0.0126405	0.0126727	0.013842	0.0304688	0.00878527	0.000921841	0.145755
á	0.0687513	0.156482	0.11592	0.131789	0.0703508	0.184888	0.0400013	0.024322	0.000324234	0.0138074	0.0275575	0.0184192	0.0112717	0.00690976	0.00781005	0.0137067	0.0149672	0.0210661	0.0166099	0.0194595	0.0125281	0.00504116	0.0180174
t	0.0449243	0.223601	0.107538	0.040988	0.04808	0.143989	0.0358094	0.016283	0.00357858	0.00932175	0.0276558	0.0397829	0.0455341	0.0182713	0.0120522	0.00518623	0.00370182	0.0175399	0.0111868	0.0165069	0.0147974	0.015624	0.098048
o	0.00818375	0.0202317	0.0520362	0.0716258	0.0409773	0.674064	0.0130198	0.0134153	0.0126158	0.00478252	0.00874972	0.00464176	0.00208457	0.00196961	0.00380574	0.00695489	0.0111686	0.00742743	0.0127889	0.00996766	0.00488713	0.00173859	0.0128638
n	0.00562505	0.0176578	0.0310793	0.103254	0.0991419	0.471958	0.0335778	0.029295	0.116288	0.00624868	0.00722359	0.00513625	0.00257101	0.00227761	0.00337166	0.0040891	0.0143441	0.00876422	0.0138407	0.0102764	0.00187794	0.000965491	0.0111354
g	0.0343997	0.0421485	0.032044	0.0774212	0.0459301	0.54219	0.0263271	0.00946437	0.00935828	0.00930373	0.0140813	0.0110393	0.00279744	0.00253551	0.00270187	0.0101923	0.0128099	0.00880167	0.0100644	0.0102195	0.00283392	0.00295553	0.0803807
a	0.156183	0.113299	0.045662	0.0381623	0.0645316	0.473563	0.0272792	0.00833649	0.00478777	0.0067132	0.00966613	0.00783619	0.00363437	0.00117278	0.000861985	0.00188452	0.00165878	0.00206625	0.0011542	0.00189543	0.00162605	0.0116851	0.0163409
s	0.0180556	0.062323	0.190782	0.0893924	0.0901666	0.0180025	0.338569	0.104356	0.00306738	0.0268032	0.00556632	0.00676092	0.00534863	0.00509641	0.00403289	0.00370024	0.00280178	0.00303246	0.00227101	0.00318113	0.00236357	0.000103904	0.0142236
á	0.00506922	0.0184068	0.0514206	0.119508	0.179444	0.0225822	0.157722	0.131052	0.0253683	0.110873	0.0480985	0.0200208	0.0147829	0.0129801	0.00867986	0.00393587	0.00304333	0.00869112	0.00489678	0.0077986	0.0112016	0.0098375	0.0245874
o	0.0182652	0.0295676	0.0372689	0.0199179	0.0912672	0.189371	0.130722	0.0744725	0.081634	0.0459802	0.0724786	0.0425673	0.050707	0.0269049	0.00828527	0.0029968	0.00602754	0.0129041	0.0090212	0.0080727	0.00939074	0.0244123	0.00776528
p	0.00108309	0.00114705	0.00364866	0.0340063	0.0417516	0.125527	0.0261701	0.0686712	0.615389	0.0271172	0.0160522	0.00583485	0.00257933	0.00280341	0.00246549	0.00222413	0.00630701	0.00203805	0.00284322	0.00360144	0.00109333	0.000798434	0.00684725
i	0.000156529	9.24393e-05	0.000506701	0.00656634	0.0109697	0.217211	0.00640283	0.0241129	0.686091	0.0123625	0.0101909	0.00432404	0.000685638	0.000948403	0.000955042	0.00180382	0.00601874	0.00148495	0.00419258	0.0018991	0.000617036	0.00018532	0.00222205
t	0.000116997	0.000348137	0.0022425	0.0140879	0.0270293	0.0936264	0.0316631	0.102643	0.585146	0.029313	0.0199854	0.00838177	0.00255182	0.00333681	0.00504473	0.00861656	0.0165479	0.00660153	0.0104136	0.00969718	0.00309672	0.000462657	0.0190462
á	0.00156925	0.00105515	0.00149626	0.00371175	0.0105026	0.170223	0.0212678	0.0334482	0.530867	0.0378162	0.0623033	0.0505647	0.0123324	0.00605551	0.00374185	0.00714774	0.00955689	0.00898839	0.0111827	0.00509897	0.00253733	0.00153137	0.00700187
á	0.00304853	0.00729529	0.0114265	0.00823119	0.0198409	0.0281046	0.0933923	0.0905704	0.148518	0.138945	0.108066	0.126501	0.0464635	0.0282531	0.0145853	0.0154059	0.0158772	0.013235	0.0131683	0.00989387	0.00746075	0.000448017	0.0512693
l	0.00361581	0.010277	0.017828	0.0096369	0.00863379	0.000456463	0.0333502	0.104941	0.0195805	0.136095	0.117704	0.0980006	0.138185	0.115105	0.0615453	0.0331506	0.032782	0.0222082	0.00873913	0.00764138	0.00696984	0.00192334	0.0116309
e	0.000999367	0.00211484	0.0065712	0.015153	0.00869911	0.000547102	0.00659084	0.0821315	0.065233	0.0897324	0.168721	0.0585633	0.0647356	0.0698662	0.0833059	0.0318505	0.0410422	0.0339442	0.0212709	0.0243852	0.0217233	0.00918673	0.0936328
t	0.000373949	0.00113707	0.00271748	0.00381908	0.0114111	0.00178735	0.011616	0.046179	0.0176617	0.122462	0.213036	0.0979836	0.10369	0.0772983	0.0546805	0.038245	0.0772337	0.0503056	0.025207	0.0120885	0.00910156	0.00582618	0.016139
s	0.000412445	0.000939674	0.00224362	0.00627631	0.00684022	0.00956511	0.00713255	0.0423455	0.23736	0.0411769	0.211869	0.0600371	0.0430349	0.0472118	0.0433016	0.0266974	0.0913123	0.0385942	0.0461614	0.0150179	0.00644006	0.00218902	0.0138403
í	4.32321e-05	0.000118864	0.000226603	0.00153811	0.00229546	0.00340737	0.00314606	0.0111918	0.0641558	0.0299942	0.162399	0.0708651	0.0463461	0.0173514	0.0174267	0.0514538	0.271312	0.0752292	0.0859794	0.0350948	0.0276665	0.00527966	0.0174786
n	0.000301043	0.00136991	0.000710078	0.00160225	0.00322751	0.00818255	0.0166301	0.0179235	0.0600931	0.0696902	0.239235	0.118496	0.0578107	0.0291519	0.0331952	0.0803766	0.0999454	0.052494	0.0347813	0.0127165	0.00819748	0.00157769	0.0522913
a	0.000639878	0.0024763	0.0023611	0.00228493	0.0032478	0.00236811	0.00888969	0.0174156	0.0323445	0.05058	0.211727	0.156266	0.131836	0.0573464	0.0492838	0.0468535	0.0325955	0.0371562	0.0137985	0.0132972	0.0132364	0.0254684	0.088527
á	0.000362161	0.00116882	0.00292356	0.00128112	0.00277497	0.000540435	0.0113187	0.0262476	0.00882983	0.037591	0.0644886	0.068678	0.133243	0.158877	0.144981	0.105523	0.0565485	0.0902512	0.0377116	0.0205499	0.0149844	0.00126954	0.00985573
d	0.000303616	0.000923388	0.00551774	0.0107577	0.00316569	0.000117191	0.00256284	0.0200647	0.00456023	0.00804851	0.0120095	0.0045141	0.021264	0.0615457	0.22072	0.168787	0.16509	0.103834	0.0797126	0.0581027	0.0218908	0.00375615	0.0227519
z	9.9406e-05	0.000780744	0.00276699	0.00494428	0.000961212	3.8281e-05	0.0010432	0.0071993	0.00333341	0.007057	0.028114	0.00693998	0.025531	0.0941411	0.290091	0.0980991	0.0517659	0.041874	0.032463	0.0466578	0.0299534	0.00183543	0.224311
e	0.000581492	0.00253947	0.00917999	0.011593	0.00725897	0.000660575	0.00383186	0.0230997	0.0119684	0.0299052	0.092619	0.0240665	0.0515853	0.24166	0.165027	0.0557267	0.0501338	0.0674461	0.0435151	0.0320735	0.0213281	0.0124006	0.0417998
o	8.75471e-05	0.000271206	0.000938578	0.000559369	0.00198022	0.000109159	0.0100296	0.0126952	0.0024387	0.0245129	0.0265091	0.0261158	0.0697476	0.0664781	0.100034	0.154832	0.0876312	0.130771	0.10544	0.0630332	0.062171	0.00250085	0.0511138
b	0.000110343	0.000380965	0.00129467	0.00954488	0.00481244	0.000428059	0.000759351	0.00271785	0.0219546	0.00389358	0.00370993	0.00120583	0.004088	0.00939836	0.0304581	0.0894112	0.204127	0.0989721	0.210382	0.200942	0.0445871	0.0268907	0.0299309
h	0.000129403	0.000445437	0.00149088	0.0123302	0.00476379	0.000588934	0.00255562	0.00670585	0.00102553	0.00650605	0.00798553	0.00251977	0.00465477	0.0141865	0.0395553	0.200423	0.141461	0.0756042	0.109994	0.225509	0.0531441	0.0020672	0.0863542
e	2.33253e-05	3.37235e-05	0.00018645	0.00479811	0.00202422	0.000122754	0.000340878	0.0033967	0.000957821	0.00330963	0.00535939	0.000833762	0.00101449	0.00426414	0.0141489	0.18982	0.380145	0.0644291	0.0970587	0.163649	0.0227877	0.00189694	0.0393999
r	0.000171909	0.000149056	0.000233258	0.000746894	0.000869098	0.000593479	0.000981597	0.00248205	0.00795834	0.0069358	0.0111035	0.00533307	0.00519509	0.0075191	0.0172753	0.13757	0.260295	0.113406	0.162945	0.146788	0.0374174	0.00189491	0.0721358
á	2.38835e-05	2.4212e-05	4.32411e-05	0.000312463	0.0010442	0.000421448	0.000487112	0.000949256	0.00178791	0.00730215	0.0219058	0.00680881	0.00717114	0.0102002	0.01496	0.0783285	0.0815849	0.111027	0.178451	0.190834	0.106596	0.0407271	0.13901
o	0.000256644	0.000829503	0.00148092	0.00129903	0.00345176	0.000595238	0.00336053	0.00326103	0.000828019	0.00663472	0.0116105	0.0147343	0.0360061	0.0330518	0.0216095	0.0215756	0.0158948	0.083527	0.0944257	0.158724	0.230251	0.171664	0.0849277
m	4.58252e-05	0.000239942	0.000715515	0.00269897	0.00275926	0.000145121	0.000504499	0.00206242	0.00231548	0.00184991	0.00180508	0.000461716	0.000828442	0.00255205	0.0104006	0.0145796	0.027972	0.0386951	0.117275	0.337242	0.156608	0.130287	0.147957
a	0.00018512	0.000988522	0.00216003	0.00418075	0.00726952	0.000266827	0.00641248	0.00969478	0.000126231	0.00665892	0.0147935	0.00450009	0.0111421	0.0371657	0.0432927	0.0172526	0.0161494	0.108978	0.0681651	0.287393	0.161418	0.0434816	0.148325
á	1.21274e-05	7.15049e-05	0.000396838	0.00188959	0.00208249	0.000128731	0.000701884	0.0028661	4.6413e-05	0.00247141	0.00313014	0.000641617	0.000875524	0.00489967	0.012874	0.0365728	0.0645335	0.0947603	0.138014	0.329112	0.097062	0.0174771	0.189379
w	0.000166611	0.000526807	0.00130311	0.000856107	0.00186567	0.000114799	0.00362222	0.00337387	0.000453209	0.00572322	0.00719768	0.0100185	0.0273764	0.0238196	0.0251905	0.0105588	0.00408077	0.031744	0.0325933	0.134078	0.2226	0.136048	0.316689
á	0.000891849	0.00128902	0.00229908	0.00325401	0.0032185	0.00354781	0.00572079	0.00613437	0.000200035	0.0108218	0.030728	0.0412272	0.0374001	0.0250711	0.0298646	0.0410321	0.0326629	0.0840971	0.119747	0.178417	0.206559	0.0470322	0.0887845
w	0.00280515	0.00460661	0.00577419	0.00160784	0.00393953	0.00100353	0.0110732	0.00234177	0.000339237	0.00803286	0.00990436	0.0195425	0.0298657	0.0133604	0.00841637	0.00700623	0.00284175	0.0193148	0.0284762	0.0659113	0.123	0.420261	0.210576
a	0.00510048	0.00296676	0.0027941	0.00323254	0.00307448	0.00557537	0.00336136	0.00398509	0.000136035	0.00831288	0.0301194	0.046691	0.0531892	0.0199291	0.0171773	0.0203022	0.0186433	0.0439882	0.0561442	0.107863	0.206651	0.187239	0.153524
ó	0.000284045	0.000419956	0.000410834	0.000260503	0.000706148	0.000378934	0.0007752	0.000504866	0.000177885	0.00312476	0.00501555	0.00832496	0.0119055	0.00302246	0.00317137	0.00399491	0.00746997	0.0261241	0.0488046	0.0902054	0.129	0.283434	0.372484
n	0.000320384	0.00124205	0.00830954	0.0232737	0.0147478	0.000263132	0.00604881	0.0176053	0.0012245	0.0202755	0.0103065	0.00287976	0.004401	0.0111296	0.0247409	0.0221966	0.0232906	0.0282043	0.0420712	0.153725	0.227044	0.135592	0.221108
d	2.62931e-05	0.000182705	0.00064757	0.000791139	0.00106617	7.5622e-05	0.000459735	0.00102102	0.000128358	0.00144218	0.00271422	0.000984834	0.00166262	0.00279406	0.00408631	0.0017113	0.000593113	0.00253095	0.00199603	0.010911	0.0283446	0.878585	0.0572456
é	1.08228e-05	3.8631e-05	0.000180855	0.000523276	0.00145991	0.000470525	0.000656123	0.0012365	0.000773333	0.00328383	0.00580369	0.00129589	0.00175189	0.0037758	0.00948809	0.00682336	0.00366179	0.0117227	0.0118677	0.050832	0.091455	0.629267	0.163621
e	1.04507e-05	2.63247e-05	5.04355e-05	0.000205401	0.000657665	0.000551023	0.000412185	0.00117857	0.00169507	0.00716512	0.0176997	0.00918283	0.0114454	0.00826623	0.0145242	0.020844	0.0362617	0.0480923	0.0432897	0.0848053	0.101336	0.342622	0.249679
k	0.000104437	0.000237297	0.000233245	0.000461777	0.00208142	0.00173057	0.00155737	0.00163516	0.000263543	0.00731049	0.00739641	0.00842349	0.0093954	0.0102577	0.0158901	0.0426502	0.0306787	0.0879792	0.11052	0.148657	0.182835	0.109126	0.220576
a	0.000381554	0.000539934	0.000493182	0.00182826	0.00184655	0.00126843	0.00251184	0.00164344	0.000245107	0.00688635	0.00717413	0.00607428	0.00517213	0.0036761	0.00892456	0.049182	0.0215457	0.0475295	0.0776696	0.192717	0.246045	0.0496954	0.26695
k	7.27048e-05	0.000363139	0.000469701	0.000604958	0.000821294	0.000205429	0.00286102	0.00107027	0.000353356	0.00437654	0.00463342	0.00410549	0.00684683	0.00573519	0.0112792	0.0143979	0.0131039	0.0352893	0.0577504	0.123769	0.138571	0.0695473	0.503773
á	9.29785e-05	9.48348e-05	0.000134938	0.000568911	0.000492777	0.000954398	0.000681519	0.000435922	0.000596469	0.00362697	0.00437169	0.00371346	0.0041575	0.00210727	0.00436598	0.0192667	0.0158873	0.0239617	0.061286	0.0987332	0.169042	0.0390144	0.546413
</S>	0.000259493	0.000546072	0.000530752	0.000577143	0.00030043	0.000380917	0.0013732	0.000666396	0.00139485	0.00326669	0.00742034	0.0110746	0.00985748	0.00423342	0.00543466	0.0060258	0.00994883	0.019534	0.0572023	0.0977341	0.102202	0.0331219	0.626915
