 	la	rivière	a	de	grosses	vagues	aujourd'	hui	</S>
e	0.603259	0.370329	0.00676072	0.00215966	0.00818223	0.00267387	0.00590098	0.000615069	0.00012006
b	0.134852	0.836998	0.0122272	0.00388775	0.00244512	0.00560093	0.00131981	0.00212913	0.000539636
a	0.0274182	0.946039	0.00984545	0.00519145	0.000980492	0.00520551	0.000537626	0.00349062	0.00129174
a	0.0262374	0.956115	0.00532083	0.00198391	0.00151199	0.00438302	0.000408657	0.000942733	0.00309656
y	0.395567	0.285891	0.259559	0.0133188	0.00505876	0.000373774	0.00645051	0.00085768	0.0329237
é	0.376915	0.166608	0.237196	0.0374406	0.0326925	0.00491929	0.0377768	0.00537999	0.101072
e	0.520591	0.0570634	0.191474	0.0477789	0.0774653	0.0236393	0.0189668	0.000968852	0.062052
k	0.0255549	0.0704747	0.359771	0.356329	0.0167077	0.121228	0.00526356	0.00347323	0.0411982
y	0.0289866	0.173179	0.259107	0.338396	0.0149126	0.126544	0.00890292	0.00713899	0.0428327
a	0.0893403	0.147288	0.0702773	0.24241	0.0527164	0.346011	0.0162315	0.00308683	0.0326379
m	0.0107825	0.0270503	0.296746	0.445036	0.0555027	0.0443798	0.0302014	0.0205096	0.0697914
b	0.0185928	0.00647556	0.0374692	0.213921	0.149502	0.372739	0.112848	0.00425226	0.0841997
v	0.0109101	0.00558749	0.00978566	0.111565	0.352955	0.450207	0.031383	0.000945402	0.0266612
é	0.0015387	0.0028136	0.00145655	0.0407967	0.155774	0.782335	0.00330914	0.000197965	0.0117786
n	0.00454092	0.00730414	0.0298708	0.322776	0.240161	0.293028	0.0378713	0.00422875	0.0602191
g	0.00786945	0.0073217	0.0124234	0.107117	0.249956	0.539582	0.0321247	0.00133181	0.0422739
é	0.00117822	0.000846873	0.0015994	0.0194654	0.141261	0.820664	0.00449188	0.000182935	0.0103098
o	0.00211808	0.00138304	0.0393707	0.0577119	0.238633	0.0570647	0.516696	0.0247739	0.0622486
y	0.00609464	0.0114885	0.0154533	0.0781375	0.175812	0.0860512	0.174745	0.332549	0.119669
í	0.00971756	0.00640129	0.0136645	0.077217	0.308498	0.0463942	0.207925	0.0423879	0.287795
í	0.00415423	0.0007993	0.0049786	0.0340548	0.181563	0.01112	0.154528	0.0664266	0.542375
p	0.00196558	0.000874783	0.0164972	0.0205348	0.0568214	0.00224074	0.267531	0.197115	0.43642
á	0.00293596	0.00186368	0.00471062	0.00944536	0.0153376	0.00287357	0.0181308	0.880795	0.063908
b	0.000396303	0.000229038	0.00135932	0.00174017	0.0015434	0.000178899	0.0075079	0.940656	0.0463893
h	0.000450133	0.00087973	0.0014653	0.00871596	0.0286227	0.00523134	0.0256447	0.708631	0.220359
a	0.000827122	0.00244675	0.0012075	0.00468873	0.0135572	0.0104842	0.013721	0.835411	0.117656
</S>	0.00229508	0.00160034	0.00469216	0.013525	0.0639456	0.00663174	0.14607	0.269474	0.491765
