 	les	ressortissants	de	mbesse	polluent	les	ruisseaux	avec	la	plante	lembáa	en	vue	de	tuer	du	poisson	</S>
a	0.829332	0.106815	0.0475808	0.0104051	0.000338244	0.000398581	0.000827076	0.00216792	0.00160553	0.00023793	5.56017e-05	0.000156655	6.7041e-06	2.72519e-05	3.27012e-06	3.72431e-05	3.24918e-06	2.18056e-06
s	0.257063	0.705961	0.0107905	0.0173922	0.003138	0.000818797	0.00218063	0.000541129	0.00044697	0.000628944	8.67339e-05	8.91362e-05	3.88296e-05	0.000119633	0.00015322	0.000242311	0.000125887	0.000183317
í	0.0642399	0.930363	0.002276	0.00205825	0.000179038	0.000151343	0.000297639	0.000180615	5.01531e-05	6.23545e-05	2.16092e-05	5.59281e-06	1.42842e-05	1.26128e-05	4.59036e-06	2.16852e-06	2.41469e-05	5.65305e-05
m	0.0907496	0.785295	0.0239265	0.0162458	0.000281112	0.00228306	0.00377379	0.00430163	0.00270446	0.00159045	0.00381761	0.000590309	0.00016572	0.000488471	9.93001e-05	0.000514933	0.00381126	0.0593616
b	0.180947	0.436376	0.0543678	0.309139	4.58147e-05	0.00255683	0.00059975	0.00161353	0.00114632	0.000300708	0.00897097	0.00160386	0.000571203	0.000195666	8.83726e-05	0.000310048	0.000151216	0.00101539
έ	0.16835	0.175969	0.138213	0.503212	0.00130901	0.00428261	0.000354721	0.00123169	0.000890451	0.000520513	0.00229663	0.000109861	0.00135848	0.000173725	0.000458677	7.28483e-05	2.95154e-05	0.0011666
s	0.113954	0.272786	0.274995	0.150251	0.00380594	0.0270686	0.0194458	0.0204559	0.0109534	0.00333796	0.00698195	0.00471875	0.00389604	0.0084695	0.00461066	0.00739531	0.000848535	0.066025
έ	0.0993574	0.464324	0.0754816	0.265595	0.000975904	0.00690915	0.00866385	0.00809643	0.00694665	0.00517811	0.00855346	0.000870175	0.00032929	0.000780686	0.000356087	0.00200583	0.00487019	0.0407069
b	0.132877	0.147934	0.483834	0.0593837	0.0188654	0.0423156	0.0273607	0.022846	0.0107496	0.00274019	0.00546952	0.00732862	0.00172562	0.00708902	0.00158981	0.00781096	0.0023834	0.0176965
á	0.23852	0.116687	0.0867917	0.0213813	0.0371403	0.163317	0.0829049	0.101014	0.0563266	0.00808959	0.0067552	0.00599228	0.0187931	0.0182331	0.00699285	0.0142669	0.0011416	0.0156521
a	0.262578	0.0751286	0.311518	0.0724721	0.0598672	0.0440325	0.0229749	0.0376001	0.0163584	0.00709239	0.018379	0.00547441	0.0268032	0.0134191	0.00247306	0.00295652	0.00126506	0.0196069
k	0.00734429	0.0273591	0.0376917	0.00308371	0.523334	0.137215	0.16892	0.0377259	0.01093	0.00667585	0.00309063	0.000932586	0.00489442	0.00380656	0.0097182	0.00131583	0.000646121	0.0153161
a	0.00241917	0.0210781	0.0070017	0.000910192	0.778275	0.0440422	0.0867753	0.0131855	0.005439	0.00768594	0.000345453	0.000358861	0.00502259	0.00313469	0.0189231	0.00103543	0.000419413	0.00394772
n	0.00905206	0.051147	0.0264373	0.0174714	0.57156	0.0553571	0.177549	0.0275306	0.00839584	0.00803017	0.000839238	0.000593801	0.00441964	0.00207162	0.0176066	0.00169075	0.00120302	0.0190448
á	0.0316487	0.0400118	0.0392596	0.00641976	0.310954	0.292002	0.100653	0.0804585	0.0345655	0.018656	0.00451771	0.00164739	0.00406676	0.00745921	0.00778797	0.00270036	0.000665561	0.0165261
i	0.00384866	0.00517737	0.0233644	0.00716085	0.0193233	0.252686	0.170081	0.255375	0.145309	0.0367857	0.0208809	0.0264631	0.0115777	0.00679723	0.00198667	0.00541799	0.0019854	0.00577917
k	0.00240804	0.00498667	0.00202418	0.00302292	0.057564	0.0818813	0.478045	0.157174	0.100078	0.0772087	0.01188	0.00218405	0.00637193	0.00362646	0.00610674	0.00103021	0.0008527	0.00355542
y	0.000323068	0.00146437	0.00153295	0.000249906	0.147746	0.0307295	0.432512	0.0688445	0.0595659	0.201757	0.00170017	0.0022746	0.0293374	0.00606597	0.0130607	0.000630362	0.000381934	0.00182319
ε	0.000192391	0.0035635	0.00118635	0.000382426	0.0506007	0.0367161	0.474957	0.132115	0.0885693	0.171411	0.00377696	0.003634	0.0095635	0.00910935	0.00257834	0.00156709	0.000722284	0.0093538
s	0.00011916	0.000535062	0.00294663	0.000100279	0.0186909	0.12269	0.213855	0.181853	0.204998	0.146583	0.00450466	0.0311938	0.00742883	0.0323809	0.0071738	0.0113161	0.000966325	0.0126649
í	0.000690169	0.00275719	0.00343456	0.00103893	0.00767912	0.0315808	0.37801	0.137508	0.109829	0.158771	0.0139127	0.00819278	0.0111701	0.0136017	0.00362739	0.00973487	0.0104208	0.0980412
m	0.00125125	0.000792786	0.00498424	0.000370416	0.00135059	0.0402893	0.0241841	0.120924	0.153371	0.100425	0.110907	0.327988	0.0212186	0.059056	0.00377033	0.0103783	0.00422552	0.0145142
b	0.002061	0.00162409	0.00315804	0.00232232	3.27284e-05	0.00857702	0.0128743	0.0259978	0.0549209	0.0432259	0.300609	0.26312	0.031751	0.0308415	0.0145311	0.0766463	0.0216363	0.106071
a	0.00135398	0.000530483	0.000969006	0.0217536	0.000141674	0.00156589	0.00151342	0.0071247	0.0226809	0.0724113	0.704131	0.0304439	0.11273	0.00360597	0.0103247	0.00168218	0.00281462	0.00422212
á	0.00125892	0.000798975	0.00478331	0.00362615	0.000492984	0.00896114	0.00383557	0.031142	0.0462437	0.0461162	0.329336	0.147182	0.254303	0.061995	0.0302532	0.0104513	0.00220301	0.0170167
