 	le	féticheur	a	besoin	d'	un	poil	d'	éléphant	</S>
n	0.624857	0.347525	0.0101458	0.00158119	0.010976	0.00346155	0.000105851	0.00126838	4.9667e-05	2.87049e-05
g	0.0762276	0.923178	0.000250384	3.14558e-05	0.000170899	2.68061e-05	4.00755e-06	3.37972e-05	7.27147e-05	3.88962e-06
a	0.00380604	0.995502	0.00014978	2.09343e-05	6.49688e-05	2.26294e-05	2.64895e-06	9.28008e-06	0.000420276	1.02629e-06
n	0.156023	0.800065	0.0180494	0.00450547	0.00415056	0.00187907	0.000319234	0.00100083	0.00811733	0.00588969
g	0.193229	0.633906	0.0583282	0.0170355	0.0137338	0.00996475	0.00691152	0.00224907	0.00277784	0.0618641
a	0.103879	0.747576	0.0614059	0.0166643	0.0105646	0.00774722	0.00485694	0.00247351	0.00823662	0.0365957
á	0.0614255	0.00632514	0.826714	0.0389576	0.0156192	0.0114864	0.00746936	0.00978647	0.00147665	0.0207393
m	0.0268788	0.0140517	0.403972	0.49446	0.0240189	0.00927015	0.0111642	0.00270215	0.000945208	0.0125365
i	0.0125411	0.00109917	0.301151	0.408459	0.146073	0.0735533	0.0163842	0.0111623	0.00161414	0.0279621
k	0.00130274	0.000843659	0.04742	0.919204	0.0186274	0.00402037	0.00500386	0.000491666	0.000225272	0.00286076
á	0.000211197	3.30469e-05	0.00876324	0.95137	0.0190786	0.00759711	0.00818136	0.000411384	0.000131458	0.00422238
m	0.00137045	0.000230914	0.0401628	0.666055	0.0592005	0.0343683	0.141007	0.0137464	0.00464758	0.0392112
b	0.00218931	7.81475e-05	0.00665272	0.0798456	0.599757	0.260988	0.0318608	0.00462943	0.000802848	0.013196
á	0.0441974	0.000161905	0.0117126	0.0634302	0.524981	0.271981	0.0138932	0.0106954	0.00234601	0.0566016
m	0.0234815	0.00117861	0.0473487	0.0318395	0.325076	0.452178	0.0505148	0.0615413	0.00235762	0.00448455
ó	0.00362726	3.38332e-05	0.0038038	0.00922621	0.268689	0.494224	0.149634	0.0156693	0.00508199	0.0500103
l	0.00699449	0.00051117	0.00557662	0.0153774	0.162979	0.382112	0.364381	0.0145357	0.0350874	0.0124447
e	0.000948748	7.7405e-05	0.00587684	0.0608556	0.131173	0.353533	0.292421	0.0396471	0.0598165	0.0556513
t	0.000469482	1.71779e-05	0.00146735	0.035631	0.10343	0.243922	0.508698	0.0386225	0.043098	0.0246444
s	0.000410353	1.32496e-05	0.00133599	0.0141698	0.0294742	0.0715125	0.838223	0.0100544	0.00459437	0.030212
í	0.000141207	1.76825e-06	0.000233652	0.0497719	0.0527438	0.0589063	0.802308	0.00657366	0.0036693	0.02565
b	0.00048483	2.58728e-05	0.000604725	0.00782407	0.0205855	0.0659848	0.686824	0.0362447	0.00906159	0.17236
h	0.00112915	5.59176e-05	0.00146668	0.0109707	0.0146134	0.0543254	0.494549	0.0875284	0.0210493	0.314312
i	0.0138856	0.000200913	0.00105361	0.0418473	0.0356457	0.0642289	0.211797	0.0718638	0.0363567	0.52312
</S>	0.000771271	3.26536e-05	0.00147201	0.0208386	0.0373858	0.0857389	0.263058	0.128198	0.0836125	0.378893
