 	on	m'	a	volé	toute	la	richesse	</S>
a	0.622075	0.342805	0.0305046	0.000422272	0.000381824	0.00348919	0.000269478	5.33001e-05
m	0.0261167	0.0699464	0.132279	0.330193	0.399025	0.0355339	0.00158824	0.00531803
i	0.0567028	0.0907705	0.10603	0.164156	0.080569	0.0245971	0.214723	0.262452
y	0.0118641	0.0216711	0.0496685	0.499064	0.0241209	0.00942638	0.00467188	0.379513
í	0.00163236	0.0350364	0.0345979	0.862799	0.0202004	0.00982716	0.00762788	0.0282786
b	0.0120343	0.065189	0.108214	0.465301	0.0162869	0.0160209	0.00846674	0.308488
h	0.12515	0.216527	0.253742	0.130945	0.169554	0.0809374	0.00464157	0.0185024
á	0.229628	0.12911	0.0481215	0.087353	0.274562	0.112328	0.0297977	0.0891001
n	0.0900777	0.445201	0.137548	0.00471269	0.0566672	0.180382	0.0710357	0.0143759
g	0.0214679	0.685215	0.017389	0.00891054	0.0685035	0.0559162	0.09934	0.0432575
á	0.0104813	0.565048	0.031272	0.013249	0.123973	0.123486	0.0749663	0.0575241
o	0.0108595	0.0246026	0.0317527	0.00442729	0.23969	0.564982	0.0292031	0.0944827
k	6.24785e-05	0.000164019	0.000783307	0.0269656	0.739989	0.160709	0.00733643	0.0639908
u	5.13014e-05	2.97672e-05	8.36923e-05	0.00583224	0.820728	0.0922444	0.000358347	0.0806726
l	0.000475643	0.000818915	0.00378719	0.00657617	0.559514	0.179796	0.000816434	0.248216
u	0.00104348	0.00248025	0.00290809	0.00536837	0.639919	0.10155	0.00115291	0.245577
ó	0.000761155	0.00335602	0.0123419	0.00218057	0.115682	0.378074	0.0251498	0.462455
t	0.00158713	0.00632074	0.0287278	0.0262697	0.136479	0.442115	0.0259678	0.332533
s	0.000196356	0.000332839	0.00156993	0.00573291	0.41108	0.296463	0.00423943	0.280386
ω	0.000418182	0.000457295	0.000672484	0.0176632	0.56221	0.274765	0.0079725	0.135841
</S>	7.7929e-05	0.000344003	0.00101441	0.000398707	0.0712289	0.150575	0.0334329	0.742929
