 	aujourd'	hui	l'	école	est	calme	</S>
l	0.369365	0.311938	0.166482	0.114014	0.0355239	0.000574114	0.00210301
e	0.751108	0.0130036	0.0507876	0.102972	0.0248481	0.0350402	0.0222407
k	0.228175	0.0339606	0.119263	0.261323	0.0184664	0.0771237	0.261689
ώ	0.0294829	0.0229928	0.0965402	0.365153	0.0308454	0.197916	0.25707
ώ	0.132478	0.354516	0.133708	0.171084	0.0199027	0.110505	0.0778073
l	0.373116	0.0419372	0.285226	0.172496	0.0865642	0.00660852	0.0340516
i	0.335705	0.0931117	0.189408	0.159168	0.0248089	0.0337336	0.164065
p	0.241477	0.0530481	0.376138	0.172145	0.065573	0.0248449	0.0667731
á	0.133026	0.172559	0.127179	0.230977	0.050804	0.213725	0.0717293
b	0.0551361	0.441504	0.167064	0.236179	0.0200885	0.0507951	0.0292327
h	0.0859451	0.204733	0.163591	0.206512	0.0314981	0.214198	0.0935235
a	0.14501	0.25775	0.240126	0.232096	0.027841	0.0502424	0.046934
i	0.0256203	0.00483455	0.109359	0.0933794	0.506212	0.0978492	0.162745
d	0.00691952	0.00606752	0.0177722	0.0504683	0.268864	0.365548	0.28436
i	0.000436335	2.69802e-05	0.00130938	0.00594578	0.107503	0.169135	0.715644
f	0.00359579	0.000195612	0.00852924	0.0142643	0.255473	0.357198	0.360744
έ	0.00661554	0.013403	0.0200146	0.0428532	0.106459	0.624195	0.18646
l	0.000830251	0.00317128	0.00648365	0.0159837	0.0506378	0.464843	0.45805
έ	0.00504285	0.010232	0.01753	0.0303075	0.0807401	0.519555	0.336592
l	0.00422409	0.000972296	0.0120135	0.0105821	0.145242	0.282875	0.544091
έ	0.00485986	0.0018039	0.0238774	0.0441598	0.107483	0.339213	0.478603
</S>	0.00724071	0.000402395	0.0151897	0.0105282	0.0419457	0.522962	0.401731
