 	entre	dans	la	maison	</S>
k	0.662221	0.291075	0.0446665	0.00186244	0.000175057
ó	0.789636	0.152909	0.0442299	0.0116186	0.00160647
á	0.362537	0.526926	0.0187243	0.00463617	0.0871765
s	0.132197	0.390083	0.370003	0.0238697	0.0838477
á	0.0576044	0.309522	0.168157	0.0210192	0.443698
n	0.0687506	0.0480469	0.243535	0.60977	0.0298983
d	0.00831715	0.0167966	0.0599831	0.910947	0.00395593
é	0.00339186	0.00452387	0.0160132	0.96858	0.00749139
e	0.0246519	0.0826931	0.13961	0.448483	0.304562
</S>	0.0261024	0.087136	0.408011	0.0681536	0.410597
