 	celle-ci	est	la	chemise	de	mon	père	celle-là	à	leur	oncle	quelle	est	la	votre	</S>
m	0.748985	0.0581063	0.0728963	0.00838711	0.0217776	0.0221546	0.020541	0.00747316	0.00347472	0.0320817	0.000564085	0.00160666	0.00019196	0.000871987	0.000848704	3.868e-05
ú	0.295255	0.171014	0.146276	0.323555	0.0144769	0.00347825	0.00220495	0.00906464	0.012037	0.00110463	0.00309684	0.00264793	0.00203949	0.00437065	0.000658552	0.00871981
o	0.288893	0.409783	0.0993655	0.0539482	0.0391884	0.00319816	0.0106361	0.0208196	0.0413202	0.000592699	0.00167209	0.00400921	0.00416336	0.00388727	0.000397526	0.0181257
k	0.11987	0.202342	0.245599	0.282159	0.0475489	0.00667576	0.0143578	0.00872011	0.00930162	0.00327097	0.00357008	0.0107055	0.00561467	0.00382032	0.00447172	0.0319725
á	0.02137	0.0815047	0.0283618	0.640774	0.0441826	0.00185666	0.0443823	0.0143103	0.0231447	0.00353113	0.00393233	0.0132299	0.0121511	0.00506901	0.00937027	0.0528297
n	0.0247908	0.116497	0.0573059	0.225212	0.024158	0.00534744	0.268495	0.0428571	0.0471038	0.00716449	0.0024843	0.0102321	0.0171056	0.00393585	0.0178083	0.129501
d	0.138142	0.049626	0.0684373	0.490493	0.023537	0.0382867	0.0468153	0.0130718	0.0157096	0.0195379	0.00905213	0.00855514	0.00279704	0.00282588	0.0150005	0.0581134
á	0.0985523	0.0450577	0.0382679	0.363135	0.0545151	0.034416	0.0941839	0.017981	0.0398101	0.0142092	0.0414605	0.0166032	0.00365641	0.00467537	0.00491834	0.128558
m	0.0552381	0.0538762	0.354603	0.0893019	0.257376	0.0713889	0.0368123	0.0135793	0.0105504	0.0100477	0.00344785	0.00992882	0.00613841	0.00735254	0.002258	0.0181003
á	0.191316	0.0413751	0.14315	0.00480893	0.315586	0.0751401	0.0311135	0.131716	0.04054	0.00199486	0.00165301	0.00442073	0.00456075	0.003541	0.000170296	0.00891335
t	0.0631765	0.0146325	0.100451	0.0141416	0.0856955	0.173215	0.37527	0.0490669	0.0312553	0.0174677	0.0126832	0.0102967	0.00717788	0.00712713	0.0176154	0.020728
á	0.00139401	0.00332696	0.00645	0.0386163	0.0326537	0.00824367	0.83819	0.0345771	0.0161275	0.00238867	0.00112651	0.00289916	0.00392202	0.00125063	0.00164388	0.00718954
á	0.000419839	0.00175087	0.00634856	0.00859225	0.0164579	0.0184054	0.807739	0.0320525	0.0218863	0.0047643	0.000755288	0.00291691	0.0112231	0.00335457	0.00660496	0.056728
y	0.00540526	0.00539231	0.026487	0.00188099	0.101434	0.340552	0.224421	0.149633	0.0535772	0.0360967	0.0182573	0.011442	0.00577399	0.00632474	0.00249881	0.0108242
a	0.00651664	0.00723215	0.0328077	0.000949385	0.158658	0.405247	0.130742	0.10052	0.0677095	0.0183137	0.0365283	0.0142822	0.00308573	0.00546421	0.000753487	0.0111898
n	0.00258728	0.000988841	0.0201792	0.00177502	0.0795782	0.393264	0.151741	0.12488	0.0860621	0.0884574	0.0189447	0.0111833	0.00217039	0.00571333	0.00227207	0.0102028
g	0.000653199	0.000338728	0.00238734	0.000259922	0.022253	0.63746	0.00615613	0.0180708	0.0190298	0.00498894	0.270909	0.00541599	0.000884176	0.00201174	0.00220133	0.00697984
á	0.00069486	0.000326951	0.00245035	0.00245836	0.0277248	0.203396	0.10457	0.0178448	0.0384444	0.00653362	0.570141	0.00659765	0.000910498	0.0025533	0.00333933	0.0120131
m	0.00189928	0.00148544	0.0125691	0.000859325	0.0529173	0.110146	0.0738831	0.17217	0.132288	0.269797	0.074467	0.0533019	0.0146218	0.014522	0.00554357	0.00952897
ú	0.0134258	0.0085304	0.0179962	7.84155e-05	0.0416085	0.0475813	0.00608974	0.421185	0.314454	0.0134084	0.013795	0.027298	0.0284096	0.0212808	0.000255815	0.0246023
u	0.000219562	0.00382553	0.00470116	0.000397924	0.0242697	0.00622242	0.00472634	0.603622	0.269351	0.0130488	0.00401063	0.0114418	0.0301114	0.0151165	7.22397e-05	0.00886273
m	0.00171333	0.00186336	0.010886	0.00611572	0.0165722	0.0113625	0.0122038	0.10317	0.239789	0.0982992	0.116132	0.135046	0.123787	0.0662347	0.00991276	0.0469126
