 	j'	aime	manger	les	légumes	kyekyeli	aux	poissons	</S>
n	0.751559	0.0793535	0.020897	0.0320513	0.0607816	0.0400151	0.0146114	0.000354335	0.000376568
g	0.987279	0.00176313	0.00172075	0.00495565	0.00386862	2.14812e-05	0.000295677	3.72859e-05	5.87327e-05
á	0.986023	0.00509239	0.00162242	0.00222889	0.00452267	0.000166688	0.000101077	0.000218926	2.37569e-05
l	0.135451	0.504472	0.05642	0.0990252	0.0552414	0.01433	0.0393121	0.0115783	0.0841696
í	0.623942	0.0893278	0.0934256	0.0630568	0.0144726	0.00326909	0.0121549	0.0240895	0.0762621
i	0.199247	0.293733	0.110652	0.0665396	0.0632928	0.030822	0.0221926	0.0411767	0.172345
d	0.0115121	0.913932	0.0401304	0.003989	0.00127039	0.00149698	0.00124417	0.0082993	0.0181257
í	0.00223582	0.881623	0.0983581	0.00255277	0.000760451	0.00117187	0.000139004	0.0101354	0.00302318
n	0.18965	0.243645	0.318878	0.0477947	0.0237351	0.00596742	0.00965077	0.0391946	0.121484
g	0.0812229	0.0701471	0.253534	0.281464	0.198111	0.0131565	0.0549528	0.0141341	0.033277
á	0.113682	0.0674967	0.219549	0.143927	0.331014	0.0526041	0.0214366	0.00424797	0.0460425
o	0.00420798	0.0412018	0.151209	0.240835	0.265691	0.201042	0.078633	0.00802744	0.00915228
d	0.00074214	0.0392094	0.727599	0.0776296	0.0486623	0.0792156	0.00564405	0.0148859	0.00641214
z	0.00107565	0.0219686	0.754411	0.0348739	0.0225331	0.0424373	0.00507109	0.0707612	0.0468684
á	0.00821819	0.0499245	0.587261	0.0286496	0.0421549	0.19368	0.00991312	0.0589076	0.0212913
k	0.0016975	0.0065279	0.108447	0.191485	0.198372	0.16031	0.105523	0.0248574	0.202778
y	1.37004e-05	0.00125059	0.00332629	0.00516816	0.0816671	0.898977	0.000698094	0.00173471	0.00716474
ε	3.47814e-05	0.00275362	0.00305665	0.00467984	0.0749278	0.91147	0.000334877	0.000391086	0.00235112
k	5.38954e-05	0.00120627	0.00563379	0.0186029	0.215355	0.701811	0.0118778	0.000690127	0.0447692
y	0.00122002	0.00200402	0.00345675	0.0193817	0.276626	0.647138	0.028705	0.000599194	0.0208689
ε	0.000152141	0.00260107	0.00224842	0.00575641	0.108477	0.852648	0.00902513	0.000744271	0.0183476
l	0.000173013	0.000945368	0.00961947	0.131383	0.26958	0.108768	0.357342	0.00323482	0.118954
i	0.00174663	0.00551951	0.0219592	0.141357	0.273339	0.163097	0.262012	0.0115406	0.119429
s	0.00466246	0.00149721	0.0109213	0.0574455	0.0333168	0.0168522	0.655421	0.0449836	0.1749
á	0.00153103	0.00362964	0.0400183	0.0167918	0.016886	0.00578565	0.0960495	0.677446	0.141862
a	0.00227099	0.00210094	0.00379353	0.0122824	0.0134223	0.0180263	0.289289	0.604159	0.0546548
s	0.00813517	0.00322807	0.0143868	0.0192791	0.00449611	0.00481147	0.163835	0.606753	0.175076
w	0.000265735	0.00128408	0.0102929	0.00293089	0.00104096	0.000340906	0.0342336	0.856956	0.0926552
é	0.00449296	0.00053708	0.00244199	0.00411069	0.00640571	0.00324428	0.0525899	0.856513	0.0696646
</S>	4.69313e-05	0.000481188	0.00242361	0.00878573	0.00986258	0.00493296	0.128567	0.306003	0.538896
