 	la	manière	dont	elle	manque	de	mari	m'	est	incompréhensible	</S>
e	0.407128	0.332283	0.113063	0.0916307	0.0190209	0.0213005	0.000679232	0.00791003	0.00389387	0.000679556	0.0024111
k	0.00266905	0.00152094	0.00456495	0.0276669	0.691852	0.0062498	0.208003	0.00645693	0.0170663	0.032868	0.00108184
á	0.00386388	0.000215555	0.00136612	0.0345253	0.594029	0.00512729	0.342283	0.000981068	0.002417	0.0137359	0.00145575
m	0.000401742	0.00100898	0.00976989	0.0839265	0.769573	0.0167693	0.0749552	0.00500012	0.0157746	0.0128934	0.00992715
b	0.00433781	0.00192518	0.00101654	0.116559	0.65478	0.0422933	0.0221095	0.0329274	0.0296735	0.0193256	0.0750516
í	0.0267257	0.0268802	0.0021642	0.048969	0.625522	0.0123979	0.0874589	0.0273892	0.027041	0.0122632	0.103188
l	0.0169602	0.0325278	0.0585815	0.0795588	0.0720786	0.14405	0.034887	0.0774863	0.0417256	0.00783623	0.434308
i	0.0179189	0.0121561	0.037441	0.0409961	0.0695278	0.0611565	0.133724	0.101305	0.0459845	0.00766447	0.472125
y	0.392088	0.0928243	0.19663	0.0572289	0.0482903	0.0793511	0.0359696	0.0196298	0.0161089	0.00190865	0.0599699
é	0.120584	0.0912793	0.408367	0.0265805	0.0409083	0.0390411	0.0763651	0.0313339	0.0303456	0.00262839	0.132566
é	0.0645496	0.115252	0.364082	0.0628542	0.133841	0.154055	0.0453264	0.0167336	0.0136503	0.00269253	0.0269643
k	0.00250347	0.000522265	0.0130686	0.0358344	0.201448	0.0507397	0.650252	0.00525863	0.0152985	0.00809184	0.0169825
á	0.000522116	0.000161536	0.000843741	0.0368241	0.473336	0.0825097	0.352505	0.0111215	0.0120272	0.0169626	0.0131865
m	0.000144421	0.000364386	0.0136329	0.123953	0.38989	0.120862	0.300644	0.0115422	0.0112531	0.00783573	0.0198772
b	0.00296972	0.00141608	0.0093814	0.100487	0.220579	0.28841	0.227509	0.0724115	0.032873	0.0159049	0.0280592
í	0.00467901	0.0115726	0.0215015	0.226759	0.281898	0.104444	0.0566581	0.0777456	0.00981081	0.0177007	0.18723
w	0.00177513	0.0069802	0.175664	0.200179	0.0624531	0.331856	0.0411897	0.120898	0.0278897	0.00472194	0.0263932
a	0.00606776	0.0139666	0.0309767	0.338514	0.0864948	0.386859	0.0212753	0.0569745	0.0239094	0.00651413	0.0284478
o	0.00410657	0.00431463	0.0618012	0.082533	0.026552	0.367143	0.109751	0.210865	0.067667	0.0140268	0.0512393
l	0.00106731	0.000738918	0.00161727	0.00657738	0.0326073	0.042719	0.86158	0.020253	0.0187734	0.00968199	0.00438432
ó	0.000512716	0.000172346	0.000932879	0.00297296	0.0361221	0.0440629	0.827328	0.00796006	0.0272277	0.0348743	0.0178338
m	0.00032393	0.000400491	0.00427722	0.00763136	0.0170015	0.100736	0.776953	0.0114844	0.0188112	0.0251835	0.0371971
i	0.00341991	0.000934443	0.00642299	0.0137905	0.0559408	0.174037	0.315375	0.115099	0.19743	0.0373789	0.0801722
n	0.00372385	0.00341753	0.0208807	0.0688254	0.015146	0.129008	0.0075297	0.309687	0.234337	0.0393146	0.168131
g	0.0295552	0.0078792	0.0387884	0.0155891	0.028348	0.0648126	0.00308569	0.406297	0.124893	0.0914825	0.18927
á	0.00205879	0.0028202	0.0477068	0.00425164	0.0107309	0.0579448	0.00503143	0.559357	0.0706398	0.169571	0.0698883
í	0.00172372	0.000739265	0.00497616	0.00967787	0.00752087	0.0363716	0.00313827	0.343887	0.363396	0.171322	0.0572474
m	0.00223507	0.00043339	0.003648	0.00860715	0.0192646	0.0402221	0.026541	0.129384	0.575844	0.137072	0.0567486
i	0.0214174	0.0347644	0.00214467	0.00708444	0.00479126	0.0474524	0.00636326	0.0733883	0.489305	0.190762	0.122526
k	0.000647633	8.58995e-05	0.000105949	0.000720199	0.00380895	0.00671114	0.00791364	0.0322622	0.448286	0.441171	0.0582875
ώ	9.46643e-05	1.65347e-05	3.53452e-05	0.000400226	0.00472281	0.00145181	0.016887	0.00295812	0.0215801	0.868331	0.0835222
n	0.000257184	0.000127269	0.000715338	0.00132249	0.00259612	0.00820798	0.012807	0.0217553	0.0384575	0.857319	0.0564348
d	0.00102613	0.000484095	0.00100016	0.00485472	0.0297483	0.0143915	0.0078818	0.0921063	0.0950624	0.571951	0.181494
ώ	0.0182179	0.00426323	0.00426331	0.00828165	0.0319154	0.0332728	0.0142811	0.134382	0.0616794	0.506831	0.182613
o	0.00113594	0.00102783	0.00470754	0.00438527	0.00219686	0.0194357	0.000225285	0.244388	0.0881788	0.147982	0.486338
b	0.00728883	0.00132105	0.00693229	0.00651647	0.0191883	0.0662743	0.00931388	0.0813954	0.446406	0.196677	0.158687
ó	0.00245858	0.0021669	0.00110131	0.0358551	0.0300217	0.0844459	0.00324334	0.0633707	0.157971	0.550634	0.0687313
n	0.000491183	0.000371742	0.000630899	0.00236631	0.00300029	0.0111823	0.0147456	0.0345585	0.0791297	0.471958	0.381566
d	0.00380621	0.000342383	0.000693357	0.00253893	0.0158961	0.00666818	0.014091	0.0581208	0.139086	0.497396	0.261362
a	0.016235	0.00135343	0.000851986	0.000776593	0.00848046	0.00265972	0.00536533	0.0303034	0.0381664	0.431595	0.464212
</S>	0.00950807	0.00194763	0.005805	0.00497815	0.00524381	0.0166337	0.00328746	0.203729	0.186557	0.206827	0.355483
