 	ils	sont	devenus	vieux	</S>
b	0.930806	0.0475203	0.0106836	0.00956922	0.00142077
á	0.865539	0.0871083	0.0306897	0.0105774	0.00608557
a	0.928488	0.0429891	0.0163364	0.00413453	0.0080519
á	0.40613	0.413053	0.0946181	0.0153803	0.0708193
b	0.00423701	0.191702	0.775765	0.0168848	0.0114116
h	0.0396742	0.149322	0.696095	0.025217	0.0896917
i	0.0120189	0.124266	0.83279	0.0112171	0.0197074
á	0.0693607	0.125286	0.229059	0.155418	0.420876
i	0.0674655	0.131472	0.210945	0.473913	0.116204
d	0.0219928	0.047156	0.142504	0.608398	0.179949
u	5.71826e-05	0.00559267	0.0429841	0.835763	0.115603
n	0.000425598	0.00727502	0.0201036	0.794187	0.178009
ú	0.00707738	0.0477885	0.0337011	0.610444	0.300988
</S>	0.0099205	0.0550938	0.122467	0.0953749	0.717144
