 	sa	mère	lui	a	administré	une	bonne	fessée	car	il	est	trop	têtu	</S>
n	0.898898	0.0799805	0.0120933	0.00121773	0.00107187	0.00110254	0.0012707	0.00186149	0.0016122	0.000711416	6.50027e-05	4.39414e-05	6.72537e-05	4.46181e-06
g	0.0932168	0.901165	0.000532062	0.00011213	0.00456844	0.000190054	0.000129551	1.38442e-05	2.49715e-05	1.43761e-05	9.33222e-06	9.24167e-06	1.07547e-05	3.61908e-06
ó	0.00980599	0.98284	0.00177408	0.000356157	0.00390923	0.000403447	0.000216848	0.000160594	0.000113904	0.000123606	5.67902e-05	5.48179e-05	0.000172817	1.23076e-05
o	0.0931136	0.851849	0.0101006	0.00949414	0.0284438	0.00119803	0.00093306	0.000256253	0.000509979	0.000514667	0.000441336	0.000442402	0.00104279	0.00166043
á	0.0512516	0.0630024	0.672323	0.10388	0.018308	0.00647759	0.00685495	0.00408716	0.00985145	0.0179408	0.0145673	0.0121953	0.00476509	0.0144956
d	0.0117761	0.120909	0.0709279	0.596106	0.110247	0.0215835	0.00441761	0.00731201	0.00134614	0.00135999	0.00585731	0.022109	0.00535527	0.0206932
z	0.00895045	0.00129134	0.0153241	0.602296	0.246293	0.0301901	0.00278067	0.00135711	0.000898064	0.000517641	0.00450075	0.0152842	0.00301242	0.0673037
a	0.178393	0.00651227	0.0876816	0.441197	0.243857	0.0245555	0.00442723	0.000416393	0.00116346	0.00153905	0.00324067	0.00468087	0.000357064	0.00197906
r	0.0442964	0.000587887	0.324748	0.414328	0.0702826	0.0261749	0.0249349	0.00439226	0.00926892	0.00738198	0.00932443	0.0103511	0.0117397	0.0421889
i	0.033575	0.00817284	0.088867	0.274629	0.378385	0.0674102	0.0260312	0.00495099	0.0236384	0.017282	0.0137834	0.0120479	0.018054	0.0331733
w	0.00689393	0.00296275	0.314349	0.303308	0.19508	0.0740201	0.021691	0.00846383	0.0107606	0.0132401	0.0108442	0.00948341	0.004457	0.0244459
á	0.118608	0.00107912	0.143335	0.137849	0.0584129	0.112528	0.0870376	0.0684263	0.0737544	0.0836285	0.0462381	0.02846	0.0162271	0.0244169
a	0.0302018	0.00132499	0.30857	0.108552	0.159052	0.155826	0.0901736	0.0219706	0.0357371	0.0492498	0.0120937	0.00605708	0.00496594	0.0162253
n	0.000397908	0.00040087	0.00959959	0.0728504	0.336315	0.407358	0.0425631	0.0914331	0.0106777	0.00658746	0.00531882	0.00476231	0.00384698	0.00788899
g	0.000576787	0.000219101	0.0014824	0.0170572	0.718419	0.195934	0.0164719	0.00807663	0.00492784	0.00207031	0.00167867	0.000895873	0.00140625	0.030784
u	0.00051668	0.000940945	0.00315843	0.0349529	0.548565	0.317078	0.0286186	0.0229566	0.009686	0.0026619	0.0030333	0.00296604	0.00337999	0.0214852
n	0.00133103	9.805e-05	0.00145117	0.0116489	0.303489	0.415858	0.120331	0.0130401	0.0452422	0.00892218	0.0086018	0.00497641	0.00923866	0.0557719
d	0.00222235	5.66032e-05	0.00473381	0.0110862	0.261135	0.367319	0.156394	0.0676359	0.0590456	0.0182564	0.00631832	0.00230081	0.00776741	0.0357282
á	0.000724066	1.63463e-05	0.00280806	0.0126757	0.232354	0.418703	0.0682213	0.0631265	0.072787	0.0189923	0.0103887	0.00602491	0.0167511	0.0764265
o	0.00259552	0.00014479	0.00877277	0.0226652	0.0836232	0.143171	0.211487	0.135447	0.150525	0.137702	0.0542541	0.0237899	0.00594991	0.0198726
b	1.64157e-05	6.17896e-05	0.000751156	0.00929047	0.03953	0.13196	0.1061	0.223583	0.150773	0.0796556	0.142862	0.0800488	0.0186622	0.0167059
v	1.86116e-05	5.31182e-06	0.00105655	0.00577299	0.00521982	0.0510974	0.0672123	0.611165	0.108639	0.0267626	0.0261738	0.00869876	0.0693761	0.0188015
