 	autrefois	la	plupart	des	hommes	riches	avaient	des	esclaves	</S>
l	0.87123	0.0912158	0.0194935	0.0118151	0.00185538	0.00117458	0.000626618	0.00254476	1.41236e-05	3.05847e-05
a	0.869069	0.0857049	0.0193774	0.00368925	0.000344011	0.00777925	0.00838078	0.00413656	0.000591837	0.000926879
k	0.719743	0.17016	0.0325367	0.0134578	0.000884732	0.0160014	0.0319037	0.00404851	0.00553352	0.00573124
a	0.959771	0.0264691	0.00625158	0.00110639	0.000244613	0.000421564	0.000543934	0.000296382	0.00276752	0.00212818
l	0.961983	0.0262543	0.00357798	0.000968152	0.000350738	0.000670278	0.0008009	0.000865422	0.00107699	0.00345206
a	0.973899	0.0156021	0.00221379	0.00114441	0.000363779	0.000960271	0.00083492	0.000760347	0.000452516	0.00376853
i	0.136948	0.592662	0.0246841	0.0416173	0.0284001	0.0583285	0.00851012	0.0394882	0.00223904	0.0671223
n	0.172253	0.462575	0.151188	0.0349775	0.0141736	0.0261768	0.0330083	0.0170294	0.0167627	0.0718557
a	0.0162633	0.593612	0.212392	0.0752938	0.00726501	0.0259627	0.0302868	0.00592269	0.00225841	0.0307432
n	0.0101543	0.371348	0.241179	0.21287	0.0424493	0.0382347	0.0125064	0.0283288	0.00677706	0.0361531
g	0.0116106	0.407477	0.245963	0.127141	0.00841851	0.0243462	0.0624609	0.017071	0.00532977	0.090182
a	0.0167357	0.337791	0.376199	0.144372	0.00745896	0.0127981	0.0680227	0.0057273	0.00316061	0.0277348
i	0.00166247	0.153883	0.142408	0.378601	0.019637	0.123408	0.0441869	0.0619683	0.0210796	0.0531665
y	0.00224747	0.0594144	0.216481	0.246194	0.0902733	0.244681	0.0362258	0.0300246	0.00925185	0.0652061
í	0.000595097	0.0187219	0.053456	0.35894	0.069101	0.238782	0.156036	0.0421559	0.0245528	0.0376597
í	0.000370892	0.00735142	0.0445148	0.29431	0.133126	0.219028	0.0876195	0.0541233	0.075023	0.0845333
á	0.000332223	0.00403543	0.0101893	0.0418137	0.164095	0.507177	0.201317	0.0343087	0.0167431	0.0199898
d	0.00176187	0.00874021	0.00643283	0.00735326	0.0552175	0.224198	0.259655	0.111093	0.293313	0.032236
z	0.000185338	0.00440963	0.00487452	0.00727928	0.0367849	0.174379	0.376251	0.0842733	0.191193	0.12037
á	0.000121433	0.00566417	0.0237986	0.0391286	0.0131286	0.339481	0.37776	0.0472496	0.0816708	0.0719965
l	7.25436e-05	0.000551628	0.00377897	0.0213358	0.134183	0.152019	0.132571	0.203681	0.22683	0.124977
i	9.17872e-05	0.00157698	0.00295993	0.00647557	0.0267337	0.119182	0.164092	0.0997858	0.401056	0.178046
l	0.000650165	0.00144682	0.00273057	0.00388207	0.0131898	0.044553	0.036499	0.0504532	0.803185	0.0434102
ε	0.000138189	0.000589446	0.000876242	0.000638974	0.00200745	0.0105875	0.035111	0.031025	0.886407	0.0326195
n	0.000164957	0.000156742	0.000388508	0.00102436	0.00119392	0.0115348	0.00743198	0.0261961	0.927942	0.0239663
g	0.000966494	0.00141382	0.00829568	0.00974276	0.0100573	0.0422044	0.0441453	0.116313	0.683793	0.0830684
έ	0.00129697	0.00371996	0.00886667	0.0335303	0.016787	0.0636547	0.177072	0.274158	0.318565	0.102349
</S>	0.000210971	0.00623925	0.0113416	0.0187718	0.00868389	0.0399233	0.0618099	0.131715	0.0813696	0.639935
