 	cet	enfant	a	quitté	le	groupe	des	fumeurs	</S>
m	0.809612	0.183917	0.00251661	0.000721583	0.00109297	0.00139675	0.000418057	0.000263614	6.05104e-05
w	0.043547	0.954167	0.0015972	0.000159717	0.000163829	6.58534e-05	3.69754e-05	2.9365e-05	0.000233124
á	0.0208147	0.977439	0.000699821	0.000639104	0.00027917	8.53556e-05	1.07992e-05	1.3596e-05	1.84438e-05
n	0.25044	0.746963	0.00139669	0.000165043	0.000213507	0.000143765	5.91429e-05	2.52769e-05	0.000593877
a	0.0787228	0.621899	0.161802	0.0247991	0.0257482	0.0133125	0.0145259	0.000680746	0.0585103
w	0.726412	0.159336	0.0540981	0.0221953	0.00851648	0.0040289	0.00719689	0.00564317	0.0125733
ó	0.156963	0.0785242	0.273375	0.112697	0.10381	0.0523063	0.0842681	0.0221097	0.115946
á	0.0804958	0.031259	0.584073	0.0804013	0.0606852	0.0132142	0.0270168	0.00273302	0.120122
m	0.00089083	0.000218842	0.163531	0.71612	0.0485423	0.0278687	0.0132317	0.0103598	0.0192375
i	0.0168367	0.00768448	0.453964	0.315004	0.147629	0.0398933	0.0133703	0.000220682	0.00539783
s	0.0035044	0.000468199	0.033441	0.826495	0.0609841	0.060493	0.00720911	0.00309828	0.00430718
á	0.00208489	0.000218818	0.0145311	0.867572	0.0492092	0.0469917	0.0066048	0.00132513	0.0114627
á	0.00465872	0.00340837	0.0767423	0.228851	0.229775	0.169646	0.0656369	0.0185427	0.202739
o	0.00991326	0.00829768	0.0400933	0.0795035	0.387804	0.328939	0.11768	0.0180124	0.00975584
p	0.0029057	0.000348587	0.00364083	0.162309	0.125595	0.547073	0.0581511	0.0892287	0.0107487
f	0.000463314	4.37796e-05	0.00186513	0.111734	0.0470421	0.702921	0.0330152	0.0853541	0.0175623
ú	0.000334304	1.23136e-05	0.000712512	0.0239435	0.0226821	0.851226	0.0362312	0.0466867	0.0181711
á	0.0210073	0.000896235	0.0119461	0.0484469	0.163163	0.494506	0.134897	0.114925	0.0102127
s	0.00464675	0.00132171	0.0202226	0.00608334	0.098771	0.139711	0.558608	0.0642722	0.106363
é	0.00376507	0.000217035	0.00196578	0.00549436	0.0212512	0.0680414	0.125453	0.145729	0.628083
k	0.0175121	0.000747605	0.00525213	0.00381993	0.0264398	0.0407938	0.232683	0.450383	0.222369
ó	6.98576e-05	9.53258e-06	0.000178893	0.000713334	0.0010952	0.0201528	0.0220093	0.936651	0.0191203
r	0.000143162	5.17908e-05	0.00131	0.0127713	0.0107503	0.0822991	0.0635312	0.654569	0.174574
í	0.001627	0.000212434	0.00226913	0.011849	0.0212183	0.107286	0.136045	0.538965	0.180528
y	0.0047254	0.00101774	0.00473838	0.0020808	0.0184739	0.0267811	0.133171	0.193641	0.61537
á	0.0376723	0.000759958	0.018139	0.0109053	0.0476674	0.048406	0.160643	0.452386	0.223421
n	0.0703579	0.00369981	0.0186562	0.00742908	0.0280172	0.0159976	0.087038	0.50991	0.258895
y	0.0105624	0.00662218	0.00261215	0.00163139	0.0137482	0.0122325	0.0484721	0.201624	0.702495
w	0.0365636	0.033168	0.00748201	0.00762129	0.0150974	0.0272072	0.0754551	0.460915	0.33649
é	0.00265564	0.00663806	0.0036746	0.00538546	0.0211817	0.0309467	0.123558	0.262588	0.543371
e	0.000132757	0.000110223	0.00146494	0.0019857	0.00971835	0.0343688	0.119953	0.343087	0.489179
a	0.000295092	2.02407e-05	0.00380761	0.00205817	0.0143742	0.0198954	0.1053	0.121608	0.732641
k	0.00218351	8.98358e-05	0.0192473	0.0130271	0.0280936	0.0221278	0.0836825	0.176895	0.654653
έ	0.000820405	9.24531e-05	0.00507577	0.00881951	0.01282	0.0387497	0.0539024	0.622124	0.257595
έ	0.00330978	0.000171304	0.000885332	0.00219074	0.00802458	0.0146472	0.0379103	0.389129	0.543732
</S>	0.0041277	8.62508e-05	0.0100396	0.00582675	0.0336425	0.0292323	0.0999853	0.147129	0.669931
