 	avez-vous	déjà	cuisiné	</S>
b	0.974236	0.013684	0.00324123	0.00883833
í	0.928208	0.0652472	0.00364637	0.00289811
n	0.958829	0.00587669	0.0255039	0.00979049
í	0.875938	0.00227313	0.0404147	0.0813745
l	0.589452	0.172891	0.076834	0.160823
é	0.0320783	0.0990076	0.0697984	0.799116
m	0.0240983	0.789458	0.138346	0.0480981
o	0.00493596	0.900391	0.0763243	0.0183489
s	0.000331574	0.971422	0.0226201	0.00562592
á	3.17317e-05	0.978541	0.0175506	0.00387635
á	0.000433932	0.576527	0.0885374	0.334501
o	0.00244776	0.313439	0.557723	0.126391
l	3.40635e-05	0.0249741	0.964906	0.0100863
á	2.06489e-05	0.0664891	0.909234	0.0242561
m	0.000225478	0.225318	0.590025	0.184432
b	9.67852e-05	0.0574223	0.422751	0.51973
á	0.00167351	0.00620484	0.0771269	0.914995
</S>	0.00485796	0.0229627	0.0700823	0.902097
