 	avant	de	sortir	cette	femme	a	l'	habitude	de	se	regarder	dans	le	miroir	</S>
o	0.949401	0.0334445	0.00546405	0.00679827	0.00111939	0.00113351	0.00107761	0.000584083	0.000561346	0.000180825	4.48632e-06	4.45918e-05	0.00017726	4.69635e-06	3.95841e-06
b	0.991086	0.00326319	0.00330692	0.000227474	9.61183e-05	0.000150547	0.000163041	0.000276501	0.000104336	2.92083e-05	0.000304897	0.000136765	5.05007e-05	0.000174321	0.000629763
o	0.996387	0.00104965	0.00179133	0.00011409	7.07618e-05	0.000132124	9.84215e-05	6.63718e-05	5.49751e-05	1.72281e-05	1.11563e-05	1.92295e-05	4.18413e-05	5.69711e-05	8.8892e-05
s	0.995788	0.000618501	0.000831838	0.00051196	1.73399e-05	0.000114955	0.000182317	0.000160622	0.000206702	5.61683e-05	0.000121927	7.77346e-05	0.000144965	4.61114e-05	0.00112115
ó	0.797476	0.0657141	0.0226494	0.0116083	0.000169575	0.00439064	0.00831641	0.00697041	0.00739672	0.00740898	0.00526454	0.0196319	0.0154871	0.00200783	0.0255078
b	0.0301602	0.628813	0.0669561	0.0737503	0.00704954	0.0295873	0.016225	0.0139229	0.0304104	0.0355208	0.00689111	0.0115235	0.00792272	0.00281836	0.0384487
í	0.00517995	0.229687	0.300552	0.0388935	0.0017176	0.0356917	0.0408321	0.0477807	0.0288543	0.0267181	0.01663	0.0443534	0.0272972	0.00954099	0.146272
p	0.00127532	0.29771	0.195708	0.125113	0.0525292	0.0347262	0.0229253	0.0299384	0.0568079	0.0440456	0.0132906	0.0254513	0.0194372	0.0162325	0.0648094
f	0.000283929	0.056405	0.716062	0.0443736	0.00297476	0.0137919	0.0145156	0.0202832	0.0126567	0.0124043	0.033717	0.0106541	0.00691521	0.0161239	0.0388392
ú	0.0180224	0.0638167	0.755046	0.0284496	0.00104773	0.00772918	0.0118052	0.0108813	0.013338	0.0175996	0.0242556	0.011991	0.00274272	0.00599107	0.0272838
a	0.0173376	0.0214899	0.684168	0.123171	0.000456233	0.00232545	0.00875937	0.00977624	0.00975717	0.00577609	0.00950588	0.0077657	0.00402298	0.00501358	0.0906748
o	0.000133681	0.167489	0.105039	0.541889	0.0299521	0.0339277	0.0263618	0.0191398	0.022317	0.0154008	0.00195781	0.00872962	0.00844337	0.000869516	0.0183498
y	0.0117312	0.100334	0.291798	0.0997908	0.0501769	0.0805175	0.114103	0.0318035	0.0149811	0.0324903	0.0803097	0.0378878	0.00754068	0.00548782	0.0410477
ú	0.000754102	0.0158769	0.0276421	0.63654	0.105396	0.0117749	0.0527519	0.0374462	0.00696049	0.00214611	0.0204464	0.0126884	0.00621027	0.0326678	0.0306984
r	0.000197819	0.0120902	0.0266691	0.355244	0.00982524	0.0134218	0.0863229	0.0723005	0.0175102	0.00517733	0.0418763	0.032968	0.0149966	0.0242281	0.287171
u	0.000809499	0.0262152	0.104744	0.397836	0.0200319	0.0366374	0.103581	0.150348	0.0785563	0.0147557	0.00625913	0.0104857	0.0145465	0.0100295	0.0251633
w	1.09332e-05	0.0348229	0.00778795	0.307072	0.0950552	0.154768	0.12735	0.112676	0.0974095	0.0353702	0.00341254	0.00866691	0.00853805	0.00106825	0.00599123
ó	0.000578031	0.0427918	0.0699483	0.0923507	0.0294655	0.0846802	0.0863744	0.132251	0.256026	0.128501	0.0123311	0.00944371	0.0151684	0.00378339	0.036306
a	7.6661e-05	0.0113695	0.00533539	0.054506	0.0243282	0.124552	0.118672	0.158469	0.20375	0.195014	0.0327864	0.0155221	0.0111815	0.00677281	0.0376652
d	0.00495314	0.0375466	0.00581424	0.0117539	0.0113571	0.140166	0.143066	0.0677142	0.0601298	0.198135	0.128128	0.121841	0.0279645	0.00970438	0.0317264
i	0.00102521	0.00314219	0.00123395	0.00439443	0.0271521	0.0796887	0.217247	0.0708162	0.0204604	0.0319761	0.183107	0.208239	0.0376248	0.023781	0.0901117
í	0.000321182	0.00478308	0.00253672	0.02189	0.00925951	0.0503334	0.275514	0.085614	0.0757552	0.100133	0.0763953	0.220964	0.0524102	0.00358297	0.0205072
l	0.00089988	0.00528567	0.00310011	0.00830283	0.00181084	0.0172254	0.0316372	0.0188523	0.0359781	0.0919476	0.244956	0.379859	0.109628	0.0269227	0.0235939
á	0.000863638	0.00314537	0.00248096	0.00143221	0.0012698	0.00661168	0.0126225	0.00746115	0.00613292	0.0215077	0.380936	0.271737	0.0518882	0.0560108	0.1759
a	0.000197872	0.00484804	0.0021488	0.010975	0.00394559	0.0390823	0.0340622	0.0608812	0.0655854	0.0594111	0.211067	0.194236	0.168591	0.0890654	0.0559037
t	0.00101956	0.00337271	0.00474707	0.000583708	0.000820796	0.00380936	0.00458443	0.00253295	0.00385655	0.0211895	0.488994	0.316912	0.051466	0.0687824	0.0273292
á	0.00015054	0.000353078	0.0109882	0.000280071	2.48403e-05	0.000978556	0.00289964	0.00162498	0.00159507	0.0121976	0.819136	0.0688577	0.0104206	0.032223	0.0382702
á	6.98215e-05	0.00030222	0.00456862	0.000502476	5.43044e-05	0.00308005	0.00586213	0.00544848	0.00510611	0.0225951	0.581317	0.15893	0.0272739	0.0971883	0.0877013
e	1.451e-05	0.00430814	0.000683893	0.00633337	0.00841091	0.0245914	0.0130315	0.0136318	0.0251157	0.0268243	0.0353753	0.241346	0.459302	0.082432	0.0585993
t	0.000672606	0.00562087	0.00306099	0.00161182	0.00050186	0.00260318	0.00387309	0.0015143	0.00188254	0.00615916	0.0682094	0.309656	0.214626	0.165895	0.214113
á	0.000211669	0.00107449	0.00786048	0.00223765	0.000124912	0.00364823	0.00855349	0.00554207	0.00525163	0.00892884	0.201308	0.182959	0.114743	0.241373	0.216184
l	0.000553524	0.000339763	0.00177713	0.00111976	0.000167647	0.00249566	0.00260936	0.00286473	0.00219896	0.00346667	0.0786187	0.105365	0.0546038	0.592535	0.151284
a	2.32056e-05	0.000182175	0.0010228	0.000960107	0.000198992	0.00532386	0.00429688	0.00821529	0.0117363	0.0115557	0.0547718	0.117871	0.145436	0.487121	0.151285
</S>	4.51372e-06	0.00227892	0.00103235	0.00400576	0.000852133	0.00865211	0.00776534	0.00716687	0.0128506	0.015205	0.029851	0.148872	0.245245	0.180849	0.335369
