 	l'	enfant	n'	a	pas	pu	faire	un	plongeon	car	il	a	peur	de	l'	eau	</S>
m	0.676414	0.245303	0.00493017	0.00151767	0.00402769	0.00791464	0.0197605	0.0140056	0.0117657	0.00771045	0.00369593	0.000766256	0.000942275	0.000374404	0.000795165	1.57702e-05	5.98833e-05
w	0.0358139	0.946	0.0061832	0.00137689	0.000773601	0.000429397	0.000427022	0.000412908	0.000323234	0.000627086	0.000781353	0.00107619	0.00249323	0.000822225	0.00112293	0.000260183	0.00107661
á	0.010011	0.988723	0.000425057	6.59864e-05	2.79599e-05	0.000127949	5.74115e-05	9.25462e-05	0.000202714	0.000109419	4.37602e-05	1.51059e-05	5.64343e-05	5.37552e-06	8.25888e-06	2.39276e-05	3.79753e-06
n	0.120146	0.871959	0.000971983	0.000245502	0.000141882	0.000245462	0.000321066	0.000390955	0.00115181	0.000905951	0.000787513	0.000354262	0.00140015	0.000108518	9.08431e-05	0.000271181	0.000508644
a	0.124208	0.753308	0.0291788	0.0164108	0.00375404	0.00113626	0.00308441	0.00443098	0.00482408	0.00656687	0.0101806	0.00688118	0.00373925	0.00107217	0.000970187	0.00348664	0.0267685
á	0.441537	0.0689359	0.196626	0.0683018	0.0389308	0.0146021	0.0247124	0.0249003	0.0162323	0.0172599	0.0164289	0.0160536	0.010593	0.0130791	0.0142884	0.00542046	0.0120975
k	0.0656346	0.0250143	0.362243	0.208547	0.0819442	0.0515908	0.0190505	0.015828	0.0236938	0.00884426	0.0123305	0.0252053	0.0113881	0.0232414	0.00603001	0.00356805	0.0558464
ω	0.00395728	0.00379154	0.134728	0.280189	0.202264	0.16867	0.0348898	0.0319889	0.0656626	0.01269	0.0121756	0.0146282	0.00845112	0.00913908	0.00192883	0.000969405	0.013877
n	0.0191866	0.00560808	0.115296	0.235022	0.216199	0.150851	0.0664085	0.0482958	0.036816	0.0075291	0.0102802	0.018579	0.0180023	0.0166758	0.00553978	0.0026706	0.0270408
d	0.0459995	0.00767786	0.0832534	0.178064	0.133828	0.0628937	0.0935296	0.0678355	0.0484059	0.0447612	0.0353744	0.0384201	0.0353852	0.0381837	0.0260063	0.0102842	0.0500968
i	0.0365748	0.0153543	0.274804	0.304145	0.111692	0.0365223	0.022652	0.0274983	0.0127834	0.0244248	0.0294783	0.0242396	0.00870427	0.0112368	0.019571	0.0123819	0.0279378
o	0.00972197	0.0074886	0.0541039	0.109713	0.150694	0.0930674	0.212716	0.137126	0.0547817	0.0417002	0.0277452	0.0178211	0.0248166	0.010364	0.0110357	0.012293	0.0248118
k	0.00250317	0.000506736	0.0189815	0.0565679	0.0771762	0.413569	0.111912	0.186331	0.102978	0.00777452	0.00373437	0.00450349	0.00294839	0.00236774	0.000744396	0.0044772	0.00292405
y	0.000200835	1.79974e-05	0.000700254	0.00445459	0.0271996	0.641637	0.0898574	0.106706	0.105345	0.0053077	0.00224941	0.00259697	0.00247115	0.00388242	0.000731618	0.000787944	0.00585313
á	0.000815264	0.000266866	0.00587951	0.0134735	0.0330248	0.623725	0.0883578	0.106924	0.0996058	0.00577542	0.00290031	0.00296012	0.00192463	0.00406415	0.0010548	0.000195095	0.00905255
e	0.001596	0.000457753	0.0289341	0.055727	0.125759	0.124482	0.225114	0.17888	0.123352	0.0308177	0.015068	0.0101756	0.0104883	0.012795	0.00336776	0.00409268	0.0488919
b	0.00097579	0.000256026	0.00278266	0.00608604	0.034002	0.133333	0.193047	0.243632	0.240582	0.0722571	0.0238313	0.00988847	0.00717294	0.00992118	0.00176971	0.000920057	0.0195429
v	0.00148616	0.000227715	0.00121724	0.00580659	0.0205686	0.0424156	0.0747258	0.127064	0.557035	0.0367028	0.0198066	0.018406	0.036524	0.0203168	0.00257381	0.0039347	0.0311893
é	0.00221716	6.63744e-05	0.00106273	0.00633575	0.0285433	0.0664317	0.0771597	0.115098	0.607783	0.0272523	0.00890796	0.00651116	0.0268514	0.0119852	0.00304818	0.00285534	0.00789126
b	0.000571021	7.20377e-05	0.00158141	0.00621815	0.0287253	0.0756505	0.225357	0.219017	0.323897	0.0556354	0.0203463	0.0064223	0.00944763	0.0075867	0.00190307	0.00167839	0.0158908
v	0.000305447	1.18154e-05	0.000959742	0.00428907	0.0180608	0.0316689	0.0661844	0.0726552	0.655416	0.0768016	0.0205958	0.0141457	0.0183084	0.00982095	0.00179048	0.000675294	0.00831003
e	0.00180744	4.9492e-05	0.000855536	0.00428932	0.0104701	0.0193141	0.048721	0.0767342	0.541548	0.0560927	0.0239698	0.0242783	0.081922	0.0287373	0.0169134	0.0106856	0.0536118
é	0.000316738	1.78561e-05	0.000479276	0.00213618	0.0152494	0.0604977	0.137669	0.19785	0.423346	0.0767348	0.033038	0.00955347	0.0107896	0.0112275	0.00311088	0.00249456	0.015489
t	0.000844206	3.30559e-05	0.00322907	0.00730976	0.0246731	0.0160167	0.0700644	0.0833837	0.162129	0.161684	0.232787	0.133326	0.035076	0.0304985	0.00892334	0.00476878	0.0252529
s	0.00302319	0.000125783	0.00201433	0.0021284	0.00699418	0.0202216	0.0892744	0.121748	0.175149	0.200469	0.177485	0.0660231	0.0263734	0.0588998	0.00901176	0.0059158	0.035144
í	0.000185312	1.33846e-05	0.000270037	0.000892472	0.0026219	0.0117097	0.0327013	0.0891275	0.356521	0.182703	0.109767	0.0482927	0.0471947	0.06242	0.0138311	0.0073053	0.0344432
n	0.00133469	0.000281624	0.000564007	0.00175019	0.00767432	0.0139268	0.0734503	0.104063	0.364635	0.173227	0.126922	0.0367156	0.0337612	0.0148427	0.00397782	0.00209555	0.0407781
a	0.00360365	0.0004943	0.00161489	0.0026653	0.00221864	0.00317356	0.00924224	0.0231755	0.128015	0.176058	0.153839	0.0300732	0.0332152	0.029756	0.00881327	0.0104169	0.383625
a	0.000927937	3.0796e-05	0.00189525	0.00320354	0.00536902	0.00400532	0.0260415	0.0413676	0.0636379	0.161196	0.332122	0.194896	0.0550071	0.0428415	0.0250173	0.00755787	0.0348831
d	0.00391715	0.000257899	0.00885833	0.019134	0.0252409	0.0222221	0.0206008	0.021676	0.0540689	0.0341463	0.0967217	0.359336	0.103864	0.113994	0.037544	0.0157778	0.06264
í	0.000634042	5.7965e-05	0.00270089	0.00597921	0.0126928	0.00650606	0.00588897	0.0118591	0.0276364	0.0114618	0.0334025	0.190836	0.0365325	0.150057	0.0400536	0.0286865	0.435015
l	0.000629696	8.70336e-05	0.00181075	0.00548442	0.0194697	0.00579769	0.0141914	0.0155701	0.0301233	0.0581424	0.0615888	0.180708	0.118582	0.165823	0.127027	0.0172678	0.177697
a	0.000298366	5.79799e-05	0.00111564	0.0016649	0.00140322	0.00232882	0.00249046	0.00436355	0.00888048	0.0477624	0.0701313	0.175415	0.0755768	0.141129	0.0678139	0.0218577	0.377711
b	0.000250093	6.64909e-05	0.00111082	0.00180206	0.00262626	0.00126693	0.00507893	0.00909614	0.0110975	0.0962465	0.114008	0.13959	0.147197	0.152505	0.106856	0.128046	0.0831564
ώ	0.000794947	0.00143505	0.00214345	0.0046558	0.00770901	0.00189468	0.0243684	0.0264748	0.117815	0.0703585	0.0759584	0.106871	0.306634	0.0641596	0.0370657	0.133261	0.0184007
m	0.000385353	0.000174325	0.000281188	0.000761365	0.00318582	0.00430627	0.0236935	0.0226265	0.0486241	0.0731002	0.0844948	0.0927881	0.289327	0.155477	0.065822	0.0565517	0.0784015
ώ	0.000540936	9.31657e-05	0.000157619	0.000136952	0.000507715	0.000908582	0.0217348	0.0212647	0.0114094	0.0502717	0.0642291	0.0974166	0.159873	0.152553	0.105864	0.186699	0.126339
b	0.000315752	2.76517e-05	0.00122535	0.0013232	0.00229975	0.00105324	0.00557959	0.00519384	0.0044478	0.0292816	0.041077	0.0859899	0.118683	0.190404	0.201134	0.0847772	0.227187
á	0.000218154	4.11056e-05	0.000437885	0.000814642	0.00250494	0.00162188	0.0129241	0.00971451	0.0427772	0.0304776	0.0308994	0.089285	0.347445	0.169976	0.100889	0.0635017	0.0964723
m	0.000306853	0.00022663	0.000460867	0.000538463	0.000747488	0.000286395	0.00492315	0.00616842	0.0100284	0.072716	0.0658627	0.0811691	0.252381	0.11904	0.132064	0.153786	0.0992954
á	8.39215e-05	4.73799e-05	9.98301e-05	8.26663e-05	0.000168094	0.000137083	0.00161665	0.00200834	0.00143577	0.0059178	0.00920022	0.0405476	0.150146	0.0579157	0.108464	0.571689	0.0504404
