 	il	a	payé	cinq	cabris	au	chef	pour	l'	adultère	</S>
w	0.945838	0.0340965	0.00307289	0.0132857	0.000185113	0.00199517	0.000776823	6.88875e-05	0.000558408	9.12204e-05	3.12279e-05
a	0.825867	0.136535	0.00176187	0.0150911	0.00191706	0.0038341	0.000102525	0.000128826	0.00305155	0.0117037	7.87724e-06
á	0.0803589	0.842353	0.06469	0.00396579	0.00342347	0.00270967	0.00026358	0.000548582	0.000843081	0.000615317	0.000228359
f	0.0104114	0.427364	0.528359	0.00865794	0.0107266	0.0024773	0.00168563	0.00227815	0.0021404	0.000519322	0.00537984
u	0.00225254	0.0594941	0.577966	0.261336	0.0186978	0.0102004	0.0156663	0.0154456	0.00724162	0.00190042	0.0297988
r	0.0015491	0.0135756	0.769102	0.202805	0.00467861	0.00230797	0.00332631	0.00133647	0.000439649	0.000339342	0.000540203
u	0.0151212	0.0511034	0.690845	0.216219	0.00278831	0.00964536	0.000350218	0.00405271	0.00560256	0.000384473	0.00388797
o	0.0169758	0.0614045	0.0683902	0.772947	0.0128339	0.029375	0.00204246	0.00796325	0.00828781	0.0107015	0.00907825
k	0.00250254	0.00311968	0.265707	0.503536	0.203078	0.00198952	0.0143592	0.00226578	0.000876765	0.000779327	0.00178591
o	0.0028485	0.00149313	0.0668664	0.52931	0.0833614	0.00454159	0.260281	0.0194842	0.0046716	0.0082256	0.0189162
n	0.00106612	0.00278773	0.154626	0.545177	0.0460842	0.0105214	0.190217	0.0167807	0.00986221	0.00229506	0.0205821
d	0.0127351	0.0164869	0.306764	0.440972	0.0142996	0.00533677	0.11589	0.0160729	0.00402608	0.00229998	0.0651161
z	0.017727	0.0175664	0.108396	0.69906	0.0123286	0.00370216	0.0645634	0.00476386	0.00141611	0.0014851	0.0689919
i	0.0281092	0.0170308	0.151538	0.548521	0.024261	0.00769542	0.0872338	0.0110599	0.00371657	0.0110946	0.10974
b	0.0336427	0.057725	0.107985	0.528001	0.107356	0.0835411	0.0102635	0.0191263	0.00882219	0.00165178	0.0418864
ώ	0.0123922	0.0243076	0.0129281	0.105969	0.139236	0.347014	0.0373676	0.106623	0.0618967	0.0250096	0.127257
s	0.00232628	0.00241608	0.000993715	0.0256884	0.0661715	0.220249	0.0432687	0.115016	0.0840482	0.222452	0.217371
i	0.00319361	0.00111251	0.00321572	0.10776	0.228066	0.255616	0.0480831	0.103098	0.0783669	0.0783278	0.0931603
a	0.00360016	0.00726832	0.00296813	0.0559409	0.0692096	0.744413	0.0300113	0.0377518	0.0247739	0.00654126	0.0175215
m	0.00110026	0.0131495	0.0698632	0.037021	0.356577	0.252411	0.180301	0.0576705	0.0128669	0.00452345	0.0145153
b	0.00350225	0.00576028	0.000755971	0.000944042	0.707926	0.17338	0.0100336	0.0312059	0.0394615	0.00824588	0.0187838
ó	8.64769e-05	9.22754e-05	0.000232209	0.000816805	0.963162	0.00585586	0.0191834	0.00634029	0.00119794	0.00203129	0.00100147
s	0.000250056	0.000413194	0.00121566	0.00168504	0.863581	0.0449257	0.0425929	0.0187343	0.00616166	0.00309119	0.0173488
i	0.00153595	0.00110141	0.00762671	0.0183851	0.398415	0.0951196	0.295343	0.0779994	0.013248	0.0045209	0.0867047
á	0.000878322	0.00373119	0.00377629	0.0113382	0.0274195	0.553329	0.0430502	0.243446	0.0762715	0.0114758	0.0252847
t	0.00105675	0.00787221	0.0478121	0.011011	0.0506894	0.0551922	0.0728019	0.432698	0.171241	0.0595385	0.0900872
á	0.000219184	0.00180613	0.00593498	0.0071729	0.00997883	0.0410807	0.0629767	0.513243	0.163457	0.105199	0.0889309
á	0.000102468	0.000183089	0.00171697	0.00786437	0.00823918	0.0556523	0.0840113	0.366303	0.174358	0.0853609	0.216208
n	0.00215013	0.000872867	0.00152273	0.0041539	0.00310404	0.0413365	0.0045597	0.263875	0.478785	0.112183	0.0874571
i	0.00281478	0.000167438	0.000218282	0.00169017	0.00164708	0.00712601	0.0107887	0.208577	0.221882	0.44838	0.0967086
</S>	0.000299741	0.000177571	0.000144802	0.000754964	0.00141816	0.0287942	0.00633465	0.420402	0.240957	0.186085	0.114631
