 	il	est	brûlant	de	fièvre	</S>
w	0.397668	0.228416	0.218316	0.13397	0.0200949	0.00153572
a	0.320052	0.212843	0.171031	0.231378	0.0634536	0.00124253
n	0.128747	0.210264	0.51285	0.0819179	0.0071708	0.0590511
d	0.037389	0.0256223	0.444234	0.0161784	0.0132191	0.463357
z	0.0105727	0.00926671	0.97382	0.00127467	0.00121757	0.00384835
ó	0.0463644	0.0150362	0.920217	0.00510662	0.00640167	0.00687467
r	0.110525	0.0684398	0.453882	0.0890794	0.0899006	0.188173
o	0.0648658	0.0776483	0.689835	0.0667384	0.0135812	0.0873313
é	0.136581	0.144003	0.140898	0.520486	0.0272788	0.0307528
d	0.110471	0.243945	0.0262073	0.452649	0.0256787	0.141049
í	0.00247526	0.0165324	0.00138832	0.184305	0.0260853	0.769213
l	0.0176745	0.0469855	0.00387199	0.308152	0.102411	0.520906
a	0.00975079	0.0195856	0.00381046	0.332577	0.21872	0.415557
m	0.00637274	0.0117375	0.0081436	0.152873	0.736396	0.0844771
í	0.00256671	0.00311628	0.00831392	0.0740772	0.773578	0.138348
á	0.00266631	0.0211786	0.00362239	0.172605	0.624854	0.175074
</S>	0.00770767	0.0111037	0.00484164	0.130238	0.595247	0.250862
