 	j'	aime	bien	cet	enfant	car	il	est	toujours	prêt	à	faire	des	commissions	</S>
n	0.867935	0.0139496	0.0457316	0.0249196	0.0099318	0.0102656	0.0124167	0.00422056	0.00684114	0.000379364	0.000789696	0.000333038	0.00209947	0.000174224	1.20563e-05
g	0.987048	0.000954767	0.0022187	0.00462136	0.00483699	7.4298e-05	0.000147005	3.45679e-05	2.25109e-05	2.22517e-06	1.02706e-05	4.73325e-06	2.1325e-05	1.43436e-06	1.8364e-06
á	0.920914	0.0133449	0.00795692	0.0156739	0.036739	0.00163412	0.00116935	0.000954103	0.000525977	0.000486989	0.000197743	0.000127443	9.1901e-05	0.000172618	1.15194e-05
l	0.339049	0.0660106	0.0846082	0.0992114	0.0530788	0.0330205	0.0575619	0.0362715	0.0295242	0.0170071	0.0317828	0.0203945	0.0264688	0.0104457	0.0955651
í	0.526084	0.0339772	0.0564238	0.040871	0.0502274	0.0218219	0.041114	0.0397022	0.014457	0.00394351	0.0314072	0.0242905	0.0322744	0.00228489	0.0811209
i	0.136803	0.136082	0.155638	0.159869	0.0514051	0.0268395	0.0640266	0.0409299	0.0251013	0.00628018	0.0423794	0.021208	0.0338655	0.00277917	0.0967933
d	0.00642368	0.919898	0.0139866	0.00438895	0.00105491	0.00198606	0.00143602	0.00316385	0.00109547	0.0238848	0.00138301	0.00405315	0.000681131	0.00500899	0.0115557
i	0.00205782	0.972463	0.009621	0.00222312	6.64263e-05	0.000499392	0.000137597	0.000769144	0.000150327	0.00850886	0.000229576	0.000635034	2.04733e-05	0.000247702	0.00237077
n	0.184326	0.630009	0.101941	0.0254458	0.00384586	0.00396837	0.00389889	0.00859587	0.00272009	0.00360996	0.00367419	0.00477643	0.000821202	0.000272214	0.0220951
g	0.083901	0.35865	0.273909	0.137132	0.0185292	0.0138429	0.019589	0.0197232	0.0132003	0.00393406	0.0211035	0.00805069	0.00634273	0.000265726	0.0218266
á	0.103779	0.211955	0.227773	0.188912	0.035535	0.0183436	0.0285237	0.0251782	0.0142291	0.00624256	0.0377894	0.00824058	0.00961571	0.00052654	0.0833561
m	0.0802151	0.0964415	0.382721	0.241895	0.0577539	0.0262435	0.0221614	0.0105202	0.0183316	0.0063711	0.0183239	0.00987813	0.0196905	0.00337615	0.00607749
w	0.000561063	0.0097584	0.0214857	0.0713287	0.882877	0.0035128	0.00155105	0.000852254	0.000636779	0.000912359	0.000516706	0.000177793	0.000201665	7.08105e-05	0.00555679
