 	mon	épouse	aime	la	propreté	</S>
m	0.91401	0.0785657	0.00163835	0.00527776	0.000429986	7.79477e-05
w	0.243093	0.74708	0.000365198	0.00644869	0.000388001	0.00262489
á	0.137683	0.860473	0.000685229	6.86286e-05	0.00102678	6.38803e-05
s	0.992674	0.00645932	8.58123e-05	0.000100124	5.23498e-06	0.000675907
í	0.822185	0.0769413	0.0153313	0.0118387	0.00513239	0.0685713
y	0.751372	0.122768	0.0249108	0.0453394	0.000922126	0.0546884
a	0.159061	0.366369	0.314129	0.0319741	0.0605941	0.0678726
n	0.957745	0.0241046	0.0116628	0.00103531	0.000259036	0.00519343
g	0.963043	0.0304034	0.00135379	0.00193229	0.000922407	0.00234471
á	0.503827	0.167638	0.0565387	0.0540488	0.085396	0.132551
a	0.0821277	0.0418896	0.591436	0.242809	0.0118325	0.0299055
d	0.00536073	0.00904176	0.83587	0.130659	0.00506502	0.0140036
í	0.0339419	0.128419	0.466096	0.118999	0.0119621	0.240582
l	0.0673428	0.00937803	0.579392	0.17589	0.0137047	0.154293
o	0.00923989	0.00434322	0.661447	0.16086	0.0134178	0.150691
s	0.00148983	0.00646199	0.62472	0.0607959	0.271675	0.0348563
y	0.000428344	0.0090137	0.215657	0.0145161	0.752038	0.00834674
ε	0.000253689	0.00194612	0.238516	0.0437089	0.693823	0.0217518
l	0.000536559	0.000682277	0.0991763	0.35053	0.318464	0.230611
ε	0.000591752	0.000161067	0.0960888	0.341931	0.0859086	0.475319
</S>	0.00129604	0.00014112	0.0334292	0.321833	0.185377	0.457924
