 	vous	avez	perdu	la	bataille	faute	de	solidarité	</S>
b	0.486777	0.417015	0.0214156	0.0241381	0.0381498	0.00162163	0.00944236	0.000945502	0.000495615
í	0.215303	0.28808	0.0176872	0.0188222	0.405813	0.00716	0.0396365	0.00611416	0.0013847
n	0.856334	0.0721926	0.00895476	0.00391461	0.0465712	0.00556976	0.00201387	0.00227324	0.00217618
í	0.448524	0.281211	0.0871508	0.0527267	0.0470358	0.0260846	0.0027334	0.00440298	0.0501302
l	0.153625	0.358821	0.154304	0.0550685	0.0114845	0.0180425	0.0591322	0.0158039	0.173718
é	0.103742	0.149032	0.141799	0.104827	0.0140499	0.0276914	0.0590618	0.0255123	0.374285
k	0.0194007	0.293469	0.524645	0.113963	0.00187249	0.01145	0.00436404	0.00638275	0.0244537
ώ	0.000956636	0.110991	0.80697	0.0463698	0.00304029	0.0193528	0.00119225	0.00670114	0.0044268
n	0.0181695	0.209661	0.533913	0.158567	0.0184508	0.0290286	0.00507731	0.0127826	0.0143511
d	0.015892	0.245524	0.44504	0.229768	0.0166775	0.00714127	0.00898366	0.00433221	0.026641
i	0.00202535	0.0666877	0.423025	0.357224	0.0131789	0.020681	0.0199971	0.0147853	0.0823962
b	0.0030853	0.0163268	0.0815491	0.699238	0.138567	0.0100791	0.0369564	0.00171561	0.0124824
i	0.0867077	0.0130066	0.0404355	0.10653	0.575769	0.0917345	0.0406825	0.0301102	0.015024
r	0.00120402	0.00193549	0.00141738	0.0205753	0.949323	0.0171597	0.00370864	0.00155755	0.00311903
á	0.00206982	0.000980461	0.0239402	0.485968	0.362238	0.0585745	0.010899	0.00969768	0.0456323
m	0.000922412	0.0100431	0.0296671	0.278687	0.432196	0.091699	0.114258	0.00889446	0.0336323
í	0.000424027	0.00257195	0.00625201	0.0418063	0.105326	0.305739	0.381825	0.0076419	0.148413
k	0.000654588	0.00293848	0.00628436	0.0395209	0.363978	0.478173	0.0246429	0.068797	0.0150111
á	3.05409e-05	0.000603284	0.00403458	0.00874759	0.0448791	0.75088	0.00488011	0.165065	0.0208796
m	7.52907e-05	0.00132017	0.00490503	0.0133676	0.0707546	0.780821	0.0145088	0.0884049	0.0258428
b	4.94612e-05	0.000143396	0.00200193	0.0113347	0.0257197	0.836675	0.0650374	0.0270703	0.0319677
í	0.000159683	0.000287866	0.00168113	0.0152707	0.0698969	0.661096	0.0415414	0.0940775	0.115989
l	5.52688e-05	0.00083994	0.00345804	0.0108189	0.0149381	0.331912	0.346282	0.160063	0.131633
é	0.000931671	0.00290146	0.0146087	0.0503126	0.0209978	0.145018	0.242011	0.296137	0.227082
b	0.00363119	0.00185399	0.00430954	0.0135023	0.00864864	0.0385936	0.464828	0.309641	0.154991
v	0.00221408	0.00253333	0.00303156	0.0171323	0.0162737	0.0966383	0.0855762	0.743273	0.0333271
w	0.000301299	0.000545039	0.00109342	0.00391414	0.035164	0.1448	0.104345	0.674006	0.0358307
ω	0.000154312	0.00143156	0.00786968	0.0134258	0.0160483	0.241715	0.18465	0.377174	0.157531
</S>	1.54562e-06	1.78709e-05	0.000381243	0.00269768	0.00248265	0.157286	0.205606	0.354534	0.276993
