 	elle	a	mis	ses	plus	beaux	atours	pour	aller	à	la	ville	</S>
w	0.90065	0.0726764	0.0135733	0.00354685	0.00300633	0.00211822	0.000291483	0.00369942	5.6809e-05	0.000130319	0.000212553	3.04589e-05	7.93601e-06
a	0.859978	0.0848632	0.0222058	0.0210934	0.00332566	0.00230333	0.000173504	0.00353004	8.05304e-05	0.00079406	0.0015131	0.000128278	1.10843e-05
á	0.135549	0.743251	0.0790234	0.0139182	0.00564988	0.00947418	0.000796969	0.00305736	0.00331514	0.0029488	0.00194313	0.000114587	0.000957976
m	0.0418269	0.527834	0.326023	0.0329006	0.0123543	0.0100136	0.00455393	0.0116496	0.00348733	0.00915722	0.00866032	0.000802703	0.0107363
i	0.0122875	0.353204	0.427204	0.120594	0.0197297	0.00899671	0.00392171	0.00464104	0.0117559	0.0118358	0.0059145	8.32738e-05	0.0198318
k	0.0104394	0.12915	0.693618	0.095473	0.0166395	0.00838011	0.0130792	0.00194874	0.0163669	0.00323287	0.00193077	0.000106926	0.00963483
y	0.00251166	0.0384676	0.737573	0.11895	0.037518	0.0126503	0.0142159	0.00166265	0.0100138	0.00536602	0.00318009	0.000441079	0.0174496
á	0.00913982	0.111047	0.45897	0.20372	0.0880147	0.0615219	0.0375811	0.00220102	0.0108986	0.006367	0.00159673	0.00110473	0.00783711
ω	0.0720518	0.089982	0.0857599	0.481332	0.0871738	0.0227538	0.0469952	0.0123898	0.00406114	0.0184464	0.0242179	0.000842643	0.0539939
n	0.00131087	0.00769689	0.0872594	0.295243	0.30573	0.110932	0.141416	0.0212066	0.0031118	0.00946623	0.00695985	0.00237215	0.00729519
d	0.000168062	0.00528759	0.0279312	0.0900587	0.0598018	0.0166318	0.694625	0.00980721	0.00713346	0.0181943	0.00266363	0.0340521	0.0336452
z	5.37846e-05	0.00111748	0.00419664	0.0242612	0.0409019	0.014175	0.88333	0.00232666	0.00525255	0.00380848	0.000820462	0.008729	0.0110267
ε	0.00122619	0.00292414	0.00491093	0.0267475	0.0201426	0.0105841	0.638101	0.00724407	0.0730756	0.0168125	0.00482692	0.130675	0.0627294
l	0.00214425	0.00283471	0.0130579	0.0154703	0.0455906	0.0719538	0.370161	0.0278593	0.026706	0.0511991	0.0156314	0.165225	0.192166
ε	0.00202625	0.0037802	0.0119669	0.0818409	0.260248	0.143723	0.263106	0.0262489	0.0139997	0.0364224	0.0275389	0.00789966	0.121199
m	0.000683249	0.00790434	0.0128094	0.0609669	0.208352	0.286715	0.0671834	0.274748	0.0121878	0.0268461	0.00861148	0.000363282	0.0326294
ó	0.00284375	0.00404345	0.00460481	0.0215684	0.0349838	0.0726549	0.0289977	0.440589	0.0355047	0.149578	0.0602767	0.00229012	0.142065
ó	0.02143	0.00927866	0.00856264	0.0519429	0.0547016	0.101971	0.106574	0.508777	0.0784107	0.0225857	0.00912596	0.00681743	0.0198226
p	0.00142734	0.0147318	0.0136407	0.0200503	0.0277633	0.067269	0.0805937	0.151412	0.56472	0.0437478	0.00418487	0.0014629	0.00899653
é	0.000135432	0.00188629	0.0124881	0.0280419	0.131191	0.232034	0.395048	0.0427315	0.120815	0.0187304	0.0066386	0.0013141	0.00894559
n	7.06736e-05	0.00118378	0.00681174	0.0202572	0.122877	0.309984	0.381252	0.035369	0.0520253	0.0288428	0.0130173	0.00141986	0.0268888
d	0.000493335	0.00284428	0.00991617	0.0200998	0.0671769	0.191142	0.346795	0.0715625	0.0533508	0.0619412	0.0462599	0.0158409	0.112577
í	0.000484889	0.000878246	0.00316299	0.0119485	0.0221466	0.0530468	0.585332	0.066705	0.0455221	0.0314746	0.0197342	0.022488	0.137076
m	0.0015519	0.00263498	0.00385639	0.00998091	0.0203882	0.0817683	0.0266505	0.345697	0.0681612	0.273288	0.0956627	0.0161381	0.0542219
ó	0.00425265	0.00170423	0.00112299	0.00294122	0.00209613	0.0084208	0.00135213	0.151701	0.168937	0.294375	0.151308	0.00534653	0.206444
i	0.00217637	0.0020697	0.00329813	0.0104088	0.00957656	0.0290712	0.00600179	0.142745	0.104123	0.175568	0.139761	0.312915	0.0622858
d	0.000391278	0.00305868	0.0088754	0.00911488	0.0139503	0.0206248	0.0112362	0.0202055	0.277559	0.3833	0.104129	0.0468053	0.10075
z	1.90784e-05	0.000184185	0.000294296	0.000754136	0.000463445	0.00105979	0.00062383	0.00376736	0.764548	0.120187	0.0632874	0.0250352	0.0197764
w	3.37009e-05	5.44581e-05	4.86536e-05	0.000414336	0.000207783	0.000401417	0.000390311	0.00110256	0.976773	0.0118361	0.00439557	0.00210579	0.00223641
a	0.000517586	0.00067977	0.000663884	0.00147072	0.000789625	0.00527369	0.00067092	0.0170395	0.653369	0.125338	0.10637	0.0159081	0.0719085
l	1.24505e-05	0.000113383	0.000149819	0.000287601	0.000249638	0.00163297	0.000323271	0.00880885	0.0698609	0.283256	0.32074	0.0790328	0.235532
á	0.00029126	0.000656882	0.001573	0.00277246	0.00424956	0.004493	0.00234847	0.00558083	0.0378917	0.13722	0.192424	0.162546	0.447953
n	0.00158751	0.00191473	0.00231117	0.00472909	0.0024434	0.00454309	0.00181762	0.0113274	0.012439	0.0630073	0.211194	0.519771	0.162915
g	3.64703e-06	1.10542e-05	2.33005e-05	5.96729e-05	3.68035e-05	5.43914e-05	0.00061604	0.000212083	0.000439877	0.00252948	0.00535761	0.983793	0.00686349
y	1.00994e-05	3.30433e-05	3.51174e-05	0.000109729	7.71954e-05	0.000135332	0.00157278	0.000481952	0.000917065	0.00445683	0.00875573	0.965913	0.0175017
ε	1.12263e-06	4.1665e-06	6.31277e-06	5.58717e-05	5.76997e-05	0.000262579	0.00189584	0.000336104	0.00631051	0.0139224	0.0313057	0.875722	0.0701198
l	7.45918e-06	1.62962e-05	3.98969e-05	0.000116297	0.000139155	0.00241036	0.00197479	0.00617322	0.00287975	0.032373	0.037522	0.689084	0.227264
έ	6.66118e-06	1.00011e-05	4.4124e-05	0.000141045	0.000482858	0.0031795	0.000532325	0.00301314	0.0022364	0.0483055	0.124964	0.262319	0.554766
</S>	7.83779e-05	0.000180416	0.000267748	0.000500606	0.000951836	0.00385838	0.000351916	0.0100066	0.0029823	0.0628828	0.194423	0.10214	0.621376
