 	j'	ai	mis	mes	affaires	dans	le	sac	</S>
n	0.953659	0.0319035	0.00405062	0.00311938	0.0023823	0.00102628	0.00252008	0.00117102	0.000168035
g	0.974439	0.0154388	0.000548282	0.00843622	0.000274214	0.00014632	0.000209882	0.000502223	5.48463e-06
á	0.966339	0.0283975	0.00172443	0.00198013	0.000367694	0.000290769	0.000431061	0.000443584	2.6014e-05
í	0.0454384	0.322111	0.0766934	0.102069	0.0389139	0.0479824	0.063884	0.00466081	0.298247
k	0.00550976	0.20978	0.754875	0.0145821	0.00329283	0.00470166	0.00145201	5.77861e-05	0.0057492
a	0.00014198	0.0180837	0.965945	0.0055275	0.00396321	0.00263563	0.000653298	5.03528e-05	0.00299967
n	0.00153803	0.0429317	0.844544	0.045326	0.0392856	0.0183116	0.00460818	0.000102188	0.00335287
i	0.0412952	0.10818	0.626978	0.129822	0.0612686	0.0128744	0.00566351	0.00283696	0.0110822
m	0.0255172	0.0905577	0.0526578	0.515709	0.231606	0.0408511	0.0219058	0.00438997	0.0168062
y	0.00221005	0.0247915	0.0185814	0.577897	0.105744	0.191538	0.0324279	0.00861289	0.0381971
e	0.00183201	0.0118307	0.0401539	0.627712	0.158973	0.132916	0.00939809	0.00208659	0.0150985
r	0.0112315	0.0172144	0.048039	0.295579	0.380117	0.186806	0.0277526	0.000564013	0.0326958
é	0.0184067	0.0402984	0.0841455	0.329407	0.238057	0.129322	0.0197457	0.003502	0.137115
m	0.0010655	0.026784	0.0239249	0.134347	0.25627	0.3827	0.122385	0.0050298	0.0474945
á	0.000107799	0.00300245	0.00512023	0.10111	0.128259	0.243972	0.146367	0.00838176	0.36368
n	0.00145163	0.00534312	0.00351856	0.0674577	0.170086	0.374434	0.249531	0.10111	0.0270681
g	0.0163626	0.00462401	0.0010118	0.271973	0.109293	0.263392	0.222627	0.0595451	0.0511718
á	0.0165684	0.00483638	0.00112318	0.169472	0.126104	0.147045	0.197333	0.295927	0.0415908
s	1.64567e-05	0.000444828	0.00087039	0.0188844	0.0793251	0.336905	0.459489	0.0337381	0.0703266
á	0.000614116	0.00300597	0.00431227	0.043314	0.0522808	0.269784	0.288982	0.074039	0.263668
p	0.000247176	0.00154299	0.000590618	0.00908554	0.0275852	0.070579	0.162143	0.6951	0.0331266
ε	5.5851e-05	9.54545e-05	0.000303539	0.000569767	0.0096992	0.0130296	0.0348265	0.933266	0.00815384
n	5.23575e-05	5.60363e-05	0.00101528	0.00193933	0.0301578	0.0508927	0.108892	0.759763	0.0472315
g	2.71616e-05	0.000102715	0.00115886	0.00627014	0.0451258	0.104721	0.2806	0.424851	0.137143
ε	0.000197892	3.1216e-05	0.000146072	0.00682753	0.0297976	0.0234585	0.0766413	0.806428	0.0564715
</S>	0.000102271	0.000204608	0.000261331	0.00947479	0.0282297	0.0951751	0.285661	0.0529619	0.52793
