 	le	féticheur	confectionna	un	breuvage	</S>
n	0.562364	0.419815	0.00542011	0.00357615	0.00832195	0.000503295
g	0.0441669	0.955719	3.41846e-05	7.41752e-05	3.37913e-06	2.4166e-06
a	0.00622926	0.99364	9.24311e-05	2.63106e-05	9.91735e-06	1.99531e-06
n	0.0292627	0.962352	0.00607607	0.00170444	0.000209818	0.000395039
g	0.22263	0.631903	0.0920484	0.0103317	0.000526615	0.0425603
a	0.18843	0.713641	0.0811021	0.00410144	0.000286344	0.0124398
l	0.051222	0.0161644	0.79223	0.115086	0.00274701	0.0225504
á	0.154645	0.0244343	0.550887	0.0670551	0.00287344	0.200105
a	0.526105	0.0122784	0.171364	0.230177	0.015782	0.0442937
b	0.00888184	0.00577608	0.941607	0.0338233	0.00380953	0.00610254
ω	0.00369614	9.62756e-05	0.944764	0.0253498	0.0164125	0.00968077
n	0.000785087	0.00023937	0.904591	0.0568417	0.0107693	0.0267739
g	0.0158283	0.00196751	0.774394	0.145234	0.0156501	0.0469263
ώ	0.102537	0.00236299	0.209822	0.404876	0.0886123	0.191789
b	0.0105049	0.000710992	0.0241394	0.585121	0.317362	0.0621624
v	0.0028031	0.000112791	0.00789781	0.0360334	0.924739	0.0284138
e	0.00177781	1.94129e-05	0.00776688	0.0746983	0.891752	0.0239852
r	0.00526475	8.768e-05	0.0146003	0.210351	0.584147	0.185549
é	0.0118397	0.00266152	0.0186221	0.0941047	0.0318219	0.84095
b	0.0152435	0.000311901	0.0575654	0.222995	0.0680286	0.635856
i	0.00160648	3.47344e-05	0.00827889	0.0878423	0.820693	0.081545
n	0.011052	0.000164329	0.0164149	0.13532	0.662713	0.174336
y	0.0168914	0.00214385	0.0392798	0.244027	0.159776	0.537882
w	0.0138884	0.00189004	0.0260523	0.0981437	0.0265673	0.833458
á	0.00587067	0.00150632	0.0269915	0.121917	0.0278535	0.815861
a	0.00302775	2.62367e-05	0.00674321	0.0578134	0.0233191	0.90907
</S>	0.00329396	7.43427e-05	0.0615075	0.138066	0.0308314	0.766227
