 	hier	nous	avons	mangé	du	poisson	salé	</S>
l	0.846669	0.136184	0.0107052	0.0019682	0.00203991	0.0017823	0.000542594	0.000108492
a	0.913265	0.0242878	0.0198031	0.0300063	0.00551477	0.00588321	0.000533736	0.000705646
p	0.967594	0.0119453	0.00416997	0.00786074	0.00361633	0.00152158	0.00304614	0.000246157
ó	0.706008	0.0522858	0.0919814	0.0185607	0.0371734	0.00179758	0.0286541	0.0635389
a	0.839867	0.00926608	0.0674696	0.0226893	0.0154987	0.00292009	0.00379249	0.0384964
b	0.160893	0.153478	0.61873	0.0359769	0.00622816	0.0123057	0.000745291	0.011643
í	0.00788466	0.370238	0.508155	0.0193579	0.0216135	0.0335587	0.00240879	0.0367836
s	0.0148971	0.459942	0.345601	0.0184879	0.00760625	0.00848689	0.00402675	0.140952
í	0.0140688	0.0438227	0.584254	0.275891	0.0145354	0.0432973	0.00317133	0.0209597
l	0.00479847	0.0152715	0.36242	0.202585	0.0409399	0.0330096	0.00414772	0.336828
é	0.00884228	0.0232747	0.229804	0.174823	0.0914855	0.117777	0.0170521	0.33694
d	0.000889431	0.0031228	0.181891	0.751054	0.0386753	0.0184556	0.000253259	0.00565955
z	9.31818e-05	0.000627834	0.0468498	0.903387	0.0314488	0.0112012	0.00106547	0.00532653
é	0.00206514	0.00177878	0.0150951	0.932613	0.0333295	0.00732936	0.00613527	0.00165376
e	0.0031968	0.00742302	0.0701444	0.140434	0.389704	0.165454	0.0181342	0.20551
a	0.000958623	0.00290272	0.00709757	0.035216	0.429703	0.383208	0.105075	0.0358385
k	0.000361146	0.000372965	0.00472681	0.0250716	0.322493	0.384809	0.209871	0.0522938
a	0.000405635	0.000897214	0.00344562	0.00478669	0.53198	0.0600852	0.320698	0.0777017
á	0.000998551	0.00094304	0.00722156	0.00941401	0.416217	0.112521	0.207962	0.244723
b	0.00227582	0.000929562	0.013307	0.0120347	0.0745209	0.599726	0.158635	0.13857
o	0.00277418	0.0562829	0.0425777	0.00706817	0.0923677	0.297868	0.185433	0.315628
</S>	0.000650645	0.000541621	0.00457965	0.00478264	0.120697	0.236497	0.247545	0.384707
