 	il	tomba	en	bas	de	l'	arbre	</S>
w	0.807654	0.13274	0.031255	0.0117359	0.00808929	0.00544621	0.00256492	0.000515237
a	0.803451	0.102797	0.0223606	0.0225762	0.0193282	0.0213361	0.00790248	0.000247785
a	0.40171	0.377003	0.144997	0.0245166	0.0190994	0.0180401	0.00244702	0.0121868
b	0.0531162	0.452579	0.324888	0.0907775	0.025737	0.0187807	0.00291159	0.0312099
v	0.0468542	0.536206	0.243234	0.111968	0.0207523	0.00697369	0.00356899	0.0304419
e	0.029638	0.788017	0.138143	0.0389822	0.00277882	0.000687144	0.000804693	0.000948207
m	0.00519763	0.145372	0.267658	0.228537	0.100354	0.0289282	0.0280954	0.195858
ó	0.0287119	0.0755839	0.271077	0.397695	0.149427	0.0557831	0.00442978	0.0172932
t	0.0235792	0.0958024	0.188913	0.360356	0.233316	0.0609486	0.0136563	0.0234279
s	0.0245678	0.05521	0.131188	0.463117	0.256866	0.0259749	0.0197842	0.023293
í	0.00176695	0.0142588	0.0760331	0.461998	0.327548	0.0378913	0.0599875	0.0205166
n	0.00834816	0.0219486	0.0597026	0.291562	0.30223	0.072442	0.0478171	0.19595
a	0.0174285	0.0554102	0.0947027	0.204619	0.302072	0.0698662	0.0420485	0.213852
y	0.0151824	0.0278244	0.102601	0.18193	0.291888	0.218679	0.0357858	0.126109
á	0.0384207	0.0133735	0.0336711	0.0841413	0.371408	0.355821	0.0518259	0.0513378
i	0.019823	0.0168144	0.0119824	0.033126	0.146776	0.367753	0.372659	0.0310657
b	0.00375539	0.00664698	0.00689267	0.00973524	0.0374783	0.0678651	0.826147	0.0414791
v	0.00412396	0.0152211	0.0187263	0.0271341	0.037911	0.0662388	0.815249	0.015396
ú	0.000331742	0.00275426	0.00701217	0.022389	0.0263381	0.0316264	0.895439	0.014109
a	0.000226615	0.000390106	0.0011944	0.008499	0.0375206	0.0815063	0.670192	0.200471
</S>	0.000236192	0.000645096	0.00843318	0.0147734	0.0466371	0.177908	0.291342	0.460024
