 	sa	co-épouse	la	traitait	tout	le	temps	de	stérile	</S>
m	0.83459	0.149412	0.00550136	0.000720801	0.00450591	0.00265593	0.00155686	0.00101233	3.16482e-05	1.38408e-05
b	0.252363	0.652629	0.0187807	0.00337988	0.0108567	0.00978697	0.0166431	0.00923653	0.00334682	0.0229773
á	0.074901	0.896007	0.015607	0.00485248	0.000893807	0.0010785	0.00138669	0.000348618	0.00446074	0.000464238
é	0.364401	0.543802	0.00913032	0.0038345	0.00534987	0.00507995	0.00516554	0.00470624	0.00609703	0.0524336
á	0.276086	0.370502	0.1616	0.0122516	0.0375094	0.0131545	0.0112135	0.0186636	0.000943648	0.0980756
d	0.154367	0.26269	0.334862	0.0742746	0.0358046	0.0302429	0.0240173	0.0280526	0.00481166	0.0508778
z	0.0435924	0.372444	0.423556	0.021773	0.0181047	0.0257621	0.0186209	0.00937526	0.00356259	0.0632098
a	0.162946	0.140557	0.452475	0.104336	0.0254481	0.0327634	0.0335373	0.0148201	0.00493904	0.0281764
l	0.0556702	0.107492	0.370713	0.0648249	0.0464041	0.0400587	0.0377324	0.0667637	0.0234114	0.18693
á	0.0224246	0.0294141	0.235968	0.124828	0.0978668	0.0714233	0.049735	0.0520556	0.014763	0.301522
a	0.0478795	0.0680102	0.266151	0.235525	0.0648992	0.0356992	0.0283207	0.0296562	0.050224	0.173635
t	0.004554	0.0367532	0.128085	0.713249	0.0234133	0.0165814	0.00638501	0.00460159	0.0130888	0.0532888
έ	0.00176526	0.0137476	0.103937	0.792332	0.0107763	0.014288	0.0061699	0.0026348	0.00742969	0.0469192
w	0.023714	0.0234231	0.191862	0.192972	0.0305466	0.0744854	0.0559625	0.0312881	0.0421917	0.333555
a	0.0676554	0.0115503	0.289305	0.276056	0.0709118	0.0467284	0.056229	0.0363011	0.00619962	0.139063
e	0.0345464	0.0191243	0.181274	0.416858	0.134618	0.0299358	0.0170901	0.0309933	0.00474723	0.130812
b	0.00469889	0.00807727	0.0582427	0.605092	0.156695	0.0519299	0.0176315	0.0118051	0.00903485	0.0767931
é	0.00708075	0.0893832	0.0541373	0.43221	0.187567	0.0860086	0.0284293	0.0157148	0.0382326	0.0612364
l	0.00344722	0.00610909	0.0448476	0.206287	0.133669	0.0780181	0.0377211	0.021977	0.0195495	0.448375
á	0.00146386	0.00197487	0.0577453	0.206342	0.241905	0.150079	0.0827111	0.0431283	0.018566	0.196085
i	0.00699497	0.0027396	0.0245679	0.0333407	0.482866	0.20714	0.0767997	0.0926136	0.00891343	0.0640245
n	0.00958077	0.00597131	0.0217382	0.0551177	0.285769	0.307821	0.115418	0.0579712	0.0240803	0.116533
d	0.0482978	0.0367014	0.0688577	0.0325879	0.115359	0.181964	0.164955	0.0432495	0.146049	0.161979
i	0.00287912	0.00230275	0.016798	0.0244215	0.107643	0.294176	0.210696	0.0281	0.1394	0.173584
e	0.00020553	0.000320641	0.0162971	0.0405316	0.164437	0.276098	0.240749	0.0516608	0.087105	0.122595
í	0.00124606	0.000674475	0.00711317	0.00881216	0.229125	0.227076	0.229954	0.205205	0.0167558	0.0740381
t	0.00526779	0.00552289	0.0193411	0.00933149	0.099333	0.11473	0.19881	0.425845	0.0707446	0.0510737
s	0.000313024	0.000464931	0.0140127	0.0240252	0.0899677	0.277376	0.21243	0.174977	0.0768233	0.12961
ω	0.000972954	0.000364469	0.00835901	0.0157528	0.112762	0.278502	0.222885	0.219761	0.0505576	0.0900832
w	0.00111256	0.000418401	0.00442517	0.00491098	0.0786301	0.11664	0.215456	0.325219	0.0342683	0.21892
á	0.0021298	0.000342447	0.0140877	0.0320193	0.228336	0.198514	0.176066	0.148009	0.0526174	0.147879
r	0.0089956	0.00148682	0.00650698	0.00591657	0.0656971	0.0729018	0.178199	0.331665	0.144325	0.184306
e	0.0060047	0.00115146	0.00815653	0.00346948	0.0293895	0.0526111	0.19712	0.108447	0.448164	0.145487
e	0.00205247	0.000395142	0.00184015	0.00172591	0.0808854	0.116074	0.295258	0.206961	0.112078	0.18273
n	0.00248903	0.00134546	0.00680221	0.00695008	0.039364	0.0714722	0.122812	0.279	0.328676	0.141089
g	0.00271273	0.00152218	0.00908395	0.00364326	0.0100804	0.0198789	0.0704612	0.05776	0.693366	0.131491
o	0.000101106	0.000122701	0.00144709	0.00148971	0.00754556	0.024702	0.072252	0.0351128	0.688962	0.168265
m	9.14668e-05	6.68394e-05	0.000409604	0.00169423	0.00586466	0.028028	0.0455327	0.0089975	0.755685	0.15363
b	0.00288337	0.00235415	0.00139525	0.00197077	0.0144076	0.0270795	0.0613715	0.0446393	0.552192	0.291706
a	0.00416507	0.00331321	0.00171771	0.00237418	0.00718922	0.0373452	0.0606623	0.0244072	0.41934	0.439486
</S>	0.00653208	0.000861011	0.00305333	0.00289141	0.0351674	0.0673125	0.156213	0.168996	0.107911	0.451062
