 	le	boy	prépare	le	repas	</S>
m	0.378798	0.619752	0.000284742	0.000902137	0.000242073	2.09942e-05
w	0.320121	0.49298	0.0621411	0.0430944	0.0141035	0.0675606
á	0.86202	0.0710869	0.0331964	0.00453087	0.0274285	0.00173731
n	0.766487	0.22	0.00416379	0.000722697	0.00419326	0.00443277
a	0.408053	0.0877023	0.176266	0.00889206	0.0140304	0.305056
i	0.568956	0.33685	0.0427099	0.0284086	0.00536068	0.0177148
s	0.26356	0.0994586	0.423297	0.0794455	0.0207242	0.113514
á	0.0693266	0.0112626	0.860148	0.0232835	0.00202512	0.0339541
l	0.290972	0.0410218	0.57428	0.0186942	0.00671681	0.0683157
a	0.569769	0.0936701	0.154266	0.0760677	0.0125172	0.0937097
b	0.114644	0.0837438	0.280629	0.388643	0.0399808	0.0923593
ó	0.0707359	0.82348	0.0105496	0.0160477	0.0748883	0.00429868
l	0.0882321	0.399222	0.12966	0.333177	0.023915	0.0257943
á	0.0256879	0.0112307	0.259701	0.14126	0.0312216	0.530898
a	0.310455	0.145772	0.0477144	0.230551	0.186069	0.0794395
l	0.0195515	0.0190457	0.522775	0.287315	0.0393418	0.111971
á	0.00443579	0.0189721	0.502281	0.258152	0.064874	0.151285
m	0.00473898	0.0047382	0.0644947	0.64776	0.0406208	0.237647
b	0.0231071	0.00247099	0.0143532	0.613607	0.0882612	0.2582
á	0.00946717	0.00211004	0.00235496	0.150542	0.313652	0.521873
b	0.00631061	0.00384697	0.00150958	0.235195	0.557436	0.195702
e	0.00276252	0.0136038	0.000448254	0.0125592	0.957853	0.0127732
a	0.00163593	0.00817503	0.00149994	0.0520844	0.382357	0.554248
</S>	0.0145561	0.0115323	0.00558384	0.20203	0.314284	0.452014
