 	de	vous	tous	personne	n'	a	dit	au-revoir	à	l'	oncle	</S>
s	0.61828	0.115975	0.0714438	0.0526043	0.022033	0.0169211	0.010926	0.0235777	0.0423752	0.0184913	0.00179466	0.00557852
á	0.060562	0.030029	0.0635414	0.060553	0.0444194	0.0322897	0.0540172	0.113681	0.177319	0.0553958	0.181461	0.126732
b	0.166602	0.322674	0.0677801	0.06607	0.0361637	0.0247621	0.0528882	0.10353	0.0515844	0.078267	0.0234205	0.00625758
í	0.0363458	0.747954	0.0151811	0.012644	0.00641466	0.00351649	0.00106153	0.00960965	0.0332283	0.0681407	0.0338542	0.0320499
n	0.0264556	0.870532	0.0161994	0.00648181	0.00304482	0.00129902	0.000260708	0.0011281	0.0029044	0.0114617	0.0140441	0.0461882
í	0.233838	0.292503	0.0188279	0.0124657	0.00682276	0.0101913	0.0135554	0.0449776	0.0393208	0.0544261	0.0221297	0.250942
á	0.0355559	0.0490438	0.388119	0.18349	0.0461628	0.0433654	0.05773	0.0537911	0.0357149	0.0683261	0.0178844	0.0208161
t	0.00372105	0.00532325	0.112021	0.12347	0.0671662	0.054856	0.075927	0.307217	0.0500798	0.121425	0.0317792	0.0470141
s	0.00206898	0.00414334	0.163017	0.133337	0.116273	0.0557912	0.0863829	0.161411	0.0676487	0.168762	0.0173345	0.0238299
ω	0.0115509	0.00833795	0.113001	0.0735985	0.0657128	0.0498844	0.078187	0.125709	0.0940178	0.369246	0.00682859	0.00392583
o	0.00270961	0.0306041	0.0993714	0.0696637	0.103447	0.104193	0.120915	0.136132	0.130308	0.138804	0.0190617	0.044791
l	0.000407134	0.000871869	0.0031608	0.00832034	0.0157628	0.0198933	0.0381698	0.472363	0.0791724	0.109123	0.20073	0.052025
a	0.000351929	0.00164572	0.00960816	0.0148614	0.0178337	0.0131835	0.0302827	0.338978	0.0858253	0.286282	0.118442	0.0827053
s	0.000221726	0.0012729	0.0132904	0.0220487	0.0395255	0.0241799	0.0455672	0.112759	0.114033	0.253616	0.267429	0.106058
i	0.00123159	0.000496621	0.0163543	0.0297594	0.0420781	0.0332534	0.0735343	0.240904	0.208172	0.249522	0.0380594	0.0666344
n	0.00143425	0.00355493	0.0258331	0.0523547	0.051837	0.0965571	0.133237	0.0706764	0.215711	0.227101	0.0714748	0.0502279
i	0.0017873	0.00521038	0.0025395	0.00574817	0.00391899	0.0117707	0.0289482	0.340261	0.16877	0.16495	0.151657	0.114438
l	0.000414184	0.0006878	0.00596815	0.0190785	0.0144767	0.0321941	0.0666116	0.0522796	0.214235	0.0746937	0.130886	0.388474
a	0.0116787	0.00342337	0.0113455	0.0122343	0.0167064	0.0355022	0.0670585	0.0675047	0.154329	0.0900718	0.123813	0.406332
n	0.00911774	0.00298543	0.0101093	0.0214772	0.0376251	0.0664925	0.133716	0.0355341	0.19314	0.200015	0.068069	0.221719
g	0.000468388	0.00607626	0.000548608	0.000813456	0.00107398	0.00354854	0.0125425	0.453829	0.0933818	0.100211	0.131161	0.196345
ó	0.000127878	0.00375146	0.000627642	0.00209246	0.00158943	0.00447254	0.0112477	0.213529	0.0305287	0.0389731	0.382594	0.310467
l	7.34619e-05	0.00113661	0.00136743	0.00519578	0.00893061	0.00922511	0.0208944	0.0510587	0.0836271	0.0701504	0.285474	0.462866
ó	0.00106745	0.00115093	0.0143969	0.01867	0.0287793	0.0428083	0.070806	0.0581768	0.157292	0.088196	0.114783	0.403873
m	0.000442457	0.000466257	0.0033413	0.00526653	0.0129888	0.0186871	0.0316956	0.0184667	0.0743191	0.03867	0.268778	0.526878
i	0.011829	0.00097809	0.00548189	0.0109739	0.0641918	0.0851856	0.164507	0.00566437	0.188918	0.145101	0.0209495	0.29622
á	0.000653077	0.0002969	0.00656014	0.00924677	0.0202184	0.031083	0.052123	0.00459446	0.111197	0.0740308	0.0094496	0.680547
d	0.00203656	0.00137987	0.0177345	0.00964852	0.00979495	0.0143585	0.0275325	0.0141286	0.0756123	0.0891634	0.0161418	0.722469
z	0.000619434	0.000329721	0.00741669	0.00487541	0.00747856	0.0134774	0.0260318	0.0155287	0.0915842	0.0866458	0.000979432	0.745033
e	0.00348757	0.00167848	0.006747	0.0137168	0.0288049	0.0336439	0.0793493	0.0100307	0.215497	0.20721	0.00213154	0.397702
k	0.0062354	0.000658394	0.00562708	0.0119708	0.0277568	0.0632624	0.165944	0.050128	0.138118	0.14758	0.00702497	0.375694
a	0.000698597	0.00500474	0.022305	0.0063349	0.0114529	0.0164272	0.0247846	0.0283727	0.148441	0.238366	0.00874871	0.489063
á	0.00029722	0.00112215	0.00567375	0.00470489	0.00850428	0.0078796	0.0122339	0.00775847	0.0729579	0.0793224	0.0212213	0.778324
</S>	0.00291231	0.000761435	0.0410043	0.033476	0.0280879	0.053657	0.0464131	0.014502	0.0866788	0.0192473	0.0078669	0.665393
