 	le	trou	de	son	pantalon	s'	agrandit	</S>
i	0.529787	0.342578	0.0967923	0.0213384	0.00671238	0.00244552	0.000149787	0.00019596
b	0.245252	0.649435	0.0691558	0.0132339	0.0133565	0.00272539	0.00181584	0.00502551
h	0.0781222	0.818686	0.065102	0.0204678	0.0128086	0.00111132	0.00104511	0.00265664
ó	0.352975	0.414333	0.127064	0.0447892	0.0530908	0.00186029	0.00165748	0.00423051
l	0.584145	0.278805	0.101319	0.0233568	0.00753207	0.00128951	0.000865695	0.0026863
á	0.342128	0.182059	0.108744	0.0542102	0.0820814	0.0402126	0.00946384	0.181101
m	0.256136	0.0700123	0.197972	0.373739	0.0669198	0.0220885	0.00305962	0.0100727
ó	0.192587	0.0585496	0.205168	0.313157	0.19079	0.022945	0.000838433	0.0159653
ω	0.264267	0.11994	0.180103	0.217619	0.174849	0.0114688	0.0130209	0.0187328
k	0.018604	0.0538117	0.17872	0.13688	0.51688	0.0678552	0.00490397	0.0223449
á	0.0071818	0.0359415	0.0698539	0.0517301	0.775157	0.0253576	0.00383399	0.0309442
n	0.0121202	0.111122	0.197648	0.12697	0.417998	0.0260642	0.00375945	0.104318
d	0.0287676	0.0263839	0.326252	0.240656	0.342664	0.0156119	0.0020062	0.0176579
á	0.0447123	0.0384624	0.197693	0.182008	0.342964	0.0310983	0.0252772	0.137785
m	0.0264256	0.010581	0.222606	0.307778	0.101372	0.274212	0.0264586	0.0305669
á	0.0490085	0.0449003	0.0956903	0.160345	0.268099	0.173804	0.0144315	0.19372
w	0.0413177	0.0193852	0.122269	0.381171	0.0842832	0.168693	0.150796	0.0320852
a	0.00730991	0.02133	0.10805	0.303919	0.175669	0.249707	0.0586971	0.0753174
l	0.0031173	0.0033089	0.0399504	0.107628	0.0501413	0.457595	0.0776449	0.260614
í	0.0117001	0.0166704	0.0621869	0.044188	0.0445525	0.239312	0.131424	0.449966
i	0.00676389	0.00295447	0.0227846	0.0328223	0.0203336	0.154734	0.554489	0.205118
n	0.00365234	0.0167528	0.0242086	0.0181945	0.0509925	0.127217	0.56289	0.196093
y	0.00129549	0.000192374	0.00151413	0.0034299	0.00371891	0.0124792	0.919358	0.058012
ε	0.00238708	0.000805542	0.00358506	0.00904612	0.0029452	0.0130931	0.925885	0.0422528
n	0.000482766	0.000298206	0.00239051	0.00790398	0.00942088	0.0295973	0.772651	0.177256
g	0.000271785	0.000345209	0.000725085	0.00101405	0.0012206	0.00703544	0.927174	0.0622135
ε	0.00635125	0.00200721	0.00986735	0.0132277	0.0437739	0.0219228	0.844156	0.0586934
</S>	0.00222497	0.000822843	0.0103436	0.00750884	0.0062311	0.0571442	0.318407	0.597318
