 	l'	aigle	mange	beaucoup	de	crapauds	</S>
i	0.620159	0.371147	0.00111112	0.00166311	0.00400364	0.00183697	7.93163e-05
b	0.118922	0.855819	0.0141579	0.0043888	0.0029244	0.00325447	0.000533218
é	0.0123362	0.984096	0.00231423	0.000491336	0.00026283	0.000355628	0.00014416
é	0.0359383	0.806223	0.0575796	0.0145811	0.00772872	0.00388507	0.0740643
l	0.358193	0.0759161	0.404874	0.0879836	0.036706	0.000337048	0.0359896
í	0.0681985	0.0149307	0.228066	0.0804444	0.0358714	0.000370195	0.572119
i	0.670219	0.0315879	0.148236	0.0540714	0.0282709	0.000787771	0.0668265
d	0.0139549	0.0504832	0.664973	0.146813	0.0219991	0.0675176	0.0342588
z	0.00199693	0.00400348	0.887573	0.0887926	0.00595008	0.00139388	0.0102903
á	0.0133297	0.0073068	0.863747	0.0809599	0.00365863	0.000842039	0.030156
á	0.00457896	0.00193	0.242045	0.237078	0.1382	0.0257883	0.35038
i	0.0169079	0.00460361	0.0775554	0.462096	0.350824	0.0377978	0.0502151
p	0.00558304	0.00716883	0.0137177	0.0856304	0.0864009	0.695979	0.105521
o	0.000335443	0.000916177	0.00579649	0.0232297	0.0132693	0.942782	0.0136708
p	0.000210217	0.000374407	0.00185993	0.0137406	0.0149816	0.941247	0.0275866
o	0.00657929	0.00223004	0.00569129	0.0318601	0.0541269	0.811938	0.0875746
r	0.0199258	0.00289835	0.00885077	0.0983139	0.200997	0.14259	0.526424
o	0.041328	0.028915	0.0212208	0.187505	0.318664	0.137434	0.264934
w	0.036952	0.00210069	0.0112195	0.0991422	0.19601	0.00388799	0.650687
a	0.0301019	0.0116755	0.0228313	0.170243	0.33337	0.227625	0.204154
m	0.0155814	0.00130568	0.0214922	0.0963744	0.203024	0.0465776	0.615645
έ	0.0230379	0.0392797	0.0520509	0.210926	0.415936	0.0335956	0.225174
n	0.0165956	0.00172879	0.0211822	0.131758	0.332103	0.0174185	0.479214
d	0.0233174	0.0036675	0.0330457	0.198235	0.133424	0.000614683	0.607695
e	0.0096042	0.00201598	0.0130831	0.0687171	0.0452479	0.00291518	0.858416
</S>	0.000369422	0.000392486	0.00379951	0.0294816	0.0170696	0.00102014	0.947867
