 	l'	amour	de	la	patrie	est	plus	fort	de	celui	de	la	femme	</S>
l	0.325367	0.201862	0.114597	0.151872	0.0356033	0.0948554	0.0248582	0.00927273	0.012861	0.00387921	0.0141494	0.0104344	7.0768e-05	0.000317768
e	0.218995	0.46206	0.0615226	0.0947864	0.00201164	0.0110137	0.0185458	0.00511711	0.00916484	0.0203573	0.0584582	0.0288871	0.0071519	0.00192762
s	0.0818607	0.474131	0.0997602	0.133259	0.012495	0.014273	0.02038	0.00783835	0.0110312	0.0161132	0.0343918	0.0194283	0.0364429	0.038595
ώ	0.0619919	0.521087	0.0724415	0.0741689	0.0179893	0.0131862	0.0130996	0.0204514	0.00974214	0.0189996	0.0298836	0.00525209	0.0147157	0.126991
m	0.0417147	0.121708	0.324818	0.199669	0.0239244	0.0117258	0.0118583	0.0079088	0.0176016	0.0188909	0.0449796	0.016536	0.014455	0.144209
ω	0.146014	0.0635611	0.118156	0.156251	0.0285737	0.229384	0.0504433	0.0673077	0.0465236	0.0213209	0.0121619	0.00327045	0.0186884	0.0383438
l	0.0485763	0.0303131	0.127099	0.174489	0.150751	0.113626	0.0385355	0.0635561	0.024861	0.0144253	0.0189311	0.00483407	0.0230009	0.167001
á	0.0221982	0.0154496	0.0737832	0.0985492	0.27725	0.183426	0.0489343	0.0563617	0.0242463	0.0189551	0.0253569	0.00367571	0.00261486	0.149199
p	0.103635	0.015991	0.0462957	0.0797412	0.180108	0.195958	0.0699316	0.0787425	0.0293839	0.0194529	0.0198328	0.0297859	0.0656556	0.0654864
o	0.00106551	0.00112982	0.00625095	0.0173004	0.808417	0.0222118	0.0171981	0.100671	0.00578102	0.00700045	0.00319106	0.000854139	0.000802988	0.00812656
o	0.00223869	0.0032696	0.0122043	0.0427122	0.669096	0.0836581	0.0370694	0.121838	0.0119592	0.0084622	0.0022433	0.00163507	0.0010089	0.00260543
l	0.00494395	0.00353065	0.0140777	0.013114	0.00301968	0.359472	0.254196	0.116573	0.13515	0.0363042	0.022316	0.0243458	0.00303696	0.00991959
í	0.023616	0.012809	0.0203187	0.0132013	0.004817	0.154907	0.273804	0.178793	0.104463	0.0671027	0.0455059	0.0226608	0.00527312	0.0727281
i	0.00889022	0.0030594	0.0101947	0.0106746	0.00358388	0.143338	0.19093	0.0797074	0.176198	0.0511621	0.0289335	0.244414	0.0157294	0.0331841
p	0.00450408	0.00906502	0.0118612	0.00934153	0.00605552	0.0197702	0.119873	0.213483	0.144107	0.186644	0.0939364	0.0323578	0.0838323	0.0651692
é	0.000305799	0.00181527	0.00442027	0.00385827	0.0260072	0.005526	0.0701956	0.375449	0.0644425	0.237632	0.0911971	0.0182463	0.0119957	0.0889091
n	0.000174352	0.000350753	0.00259131	0.00354412	0.0246206	0.0160515	0.0783917	0.546717	0.0753058	0.123575	0.0394282	0.0123983	0.00175951	0.0750915
d	0.00189837	0.0045339	0.00746331	0.0104397	0.0240265	0.0792559	0.271838	0.262716	0.0922112	0.0892454	0.0680217	0.0202117	0.00293981	0.0651981
á	0.00221613	0.00569459	0.00871591	0.010446	0.0310804	0.0790917	0.196153	0.200812	0.10068	0.113554	0.0840514	0.0168111	0.00805882	0.142636
l	0.000778906	0.000300887	0.00237071	0.00416063	0.000687809	0.0723447	0.199309	0.079441	0.223408	0.140242	0.0986318	0.15163	0.00603205	0.0206629
á	0.00285504	0.00145161	0.00485049	0.00693055	0.00205203	0.0156063	0.0737696	0.0668013	0.108405	0.242509	0.212427	0.125958	0.00538228	0.131002
m	0.00123651	0.000629253	0.00146562	0.00279234	0.000374413	0.0139403	0.0452829	0.00949096	0.0326848	0.0424184	0.0337097	0.737904	0.0719642	0.00610638
w	0.000144499	9.63245e-05	0.000147717	0.000137379	0.000104634	0.000642295	0.00451707	0.00237819	0.00631717	0.00894156	0.00784211	0.0159329	0.934882	0.0179165
á	0.000668898	0.000169203	0.000210606	0.000282617	0.000306318	0.000344185	0.00410961	0.00368057	0.00199454	0.00666095	0.00601275	0.00255933	0.966742	0.00625839
s	0.0167665	0.00318854	0.00361822	0.0021514	0.000139528	0.00478872	0.047931	0.00965908	0.025316	0.0281593	0.0836266	0.619983	0.130828	0.0238437
í	0.00336434	0.00355336	0.00293378	0.00242319	0.000484061	0.00512304	0.0546428	0.0245334	0.0222652	0.0902188	0.126599	0.043347	0.135033	0.485478
</S>	0.00231954	0.00164333	0.00438728	0.00442598	0.00093105	0.0289595	0.0675149	0.0342159	0.0980518	0.122378	0.20235	0.190515	0.0128123	0.229495
