 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
w	0.657376	0.163768	0.0133722	0.08487	0.0352164	0.0124116	0.0132394	0.0115058	0.00454032	0.000597397	0.00122468	0.00179534	6.404e-05	1.9248e-05
a	0.767579	0.0920455	0.00825392	0.0848199	0.012807	0.0108062	0.00869077	0.00311465	0.00595063	0.00105133	0.000797044	0.00323119	0.000834777	1.81643e-05
á	0.0454368	0.403227	0.384236	0.0980717	0.0098013	0.00620008	0.00818725	0.00983735	0.0150732	0.00557768	0.0054938	0.00502692	0.00169945	0.00213213
m	0.0125323	0.187045	0.505721	0.0968133	0.0603214	0.00562776	0.00865232	0.00868977	0.0106268	0.0426848	0.0240476	0.0144265	0.00529459	0.017517
i	0.00946175	0.256779	0.40435	0.164161	0.0274323	0.0291947	0.0308244	0.015746	0.0106623	0.00900713	0.011661	0.00431792	0.00426067	0.0221419
d	0.00591158	0.0771092	0.589597	0.139037	0.126805	0.0113921	0.0128013	0.00548653	0.0057106	0.00617044	0.00391938	0.00182381	0.0017383	0.0124977
i	0.000312127	0.0169594	0.850186	0.0495874	0.0221054	0.0024585	0.0043992	0.00222292	0.00278525	0.00674766	0.00386037	0.0022623	0.00210036	0.0340132
á	0.00118935	0.0219535	0.637682	0.207488	0.0347169	0.00537276	0.00656288	0.00509281	0.00406568	0.00626524	0.00638577	0.00314534	0.00264892	0.0574309
a	0.00292013	0.0257245	0.143426	0.430766	0.296889	0.0269776	0.0266146	0.0129552	0.0102631	0.00540862	0.0051021	0.00492074	0.00291562	0.00511795
y	0.00199698	0.0168611	0.0446717	0.297858	0.386444	0.0675518	0.0951553	0.0249767	0.0189294	0.019509	0.0119454	0.00575978	0.00533872	0.00300257
έ	0.00105926	0.0175255	0.179807	0.327445	0.184237	0.0580511	0.0940782	0.0296764	0.03452	0.0344121	0.00818212	0.00842971	0.00905677	0.01352
l	0.000652444	0.0114262	0.131291	0.20678	0.0805395	0.103019	0.103496	0.0358516	0.0518919	0.0355599	0.0261903	0.0284168	0.0439175	0.140967
i	0.00227233	0.0117624	0.0488662	0.342922	0.0862488	0.101515	0.14734	0.0760281	0.059842	0.0171206	0.0429968	0.025615	0.0110732	0.0263975
m	0.00268753	0.0199204	0.044284	0.147107	0.0636883	0.375308	0.170893	0.0806907	0.0401675	0.0178906	0.0144399	0.00564819	0.00451905	0.0127557
á	0.00379402	0.00373963	0.00169239	0.0191432	0.00946651	0.649677	0.0817849	0.0564011	0.0839182	0.00615562	0.0119817	0.00713957	0.002099	0.0630069
i	0.0111664	0.014899	0.00956416	0.0575809	0.0239804	0.155166	0.251627	0.181995	0.139484	0.066425	0.0302865	0.0173239	0.0279858	0.0125168
s	0.000762678	0.0040115	0.00893508	0.0116416	0.150256	0.0676629	0.215562	0.202006	0.126154	0.146118	0.0318154	0.00401569	0.0172747	0.0137843
á	0.000111497	0.00391226	0.0227195	0.0147084	0.01244	0.0212105	0.0977989	0.0884575	0.231667	0.422141	0.0299706	0.0100883	0.0293908	0.0153832
s	0.000972573	0.00135042	0.00385034	0.00809347	0.00645393	0.0384385	0.111976	0.153738	0.23919	0.202583	0.0408921	0.0290902	0.0592414	0.10413
i	0.000365332	0.00164189	0.00371695	0.0067367	0.00555844	0.0185135	0.097594	0.0990547	0.185748	0.480764	0.0489873	0.0143516	0.0138611	0.0231066
l	7.07648e-05	0.000681053	0.00234653	0.0102959	0.00545737	0.0706646	0.110577	0.259691	0.273749	0.149989	0.068891	0.0197308	0.00979617	0.0180608
a	0.00041757	0.000988524	0.00247033	0.00633052	0.00940174	0.0386164	0.0644509	0.121736	0.192419	0.284661	0.124106	0.0336137	0.0204675	0.10032
l	0.00141119	0.00255873	0.00329173	0.00496072	0.00262353	0.0201834	0.0192507	0.0518231	0.140604	0.406937	0.191128	0.0715893	0.0401697	0.0434688
á	0.0012953	0.00604707	0.00604629	0.0053935	0.0044276	0.00772464	0.0121073	0.0170517	0.0785674	0.574053	0.117686	0.0298518	0.0467748	0.0929732
o	0.000885267	0.00214757	0.00438777	0.00695309	0.0014553	0.0159208	0.0168517	0.0381551	0.135343	0.304978	0.181925	0.16992	0.0713442	0.049733
d	6.00142e-05	0.00259576	0.0253137	0.0128709	0.0214316	0.00745842	0.0121846	0.0218621	0.054717	0.23927	0.33644	0.110496	0.137967	0.0173325
i	0.000112451	0.00324843	0.0280587	0.0116444	0.00766142	0.00950799	0.00990085	0.0137314	0.050638	0.49873	0.135486	0.0609457	0.124141	0.0461933
m	3.36539e-05	0.000447689	0.00516816	0.00425118	0.003954	0.0085926	0.0134836	0.0358204	0.125338	0.313464	0.254679	0.151275	0.0319771	0.0515157
í	0.00123131	0.0030716	0.00449435	0.0185261	0.00376778	0.115075	0.0328594	0.081485	0.125411	0.0596707	0.170411	0.146139	0.0655924	0.172266
y	0.000177114	0.00135217	0.00202765	0.00455303	0.00263496	0.0131513	0.0105758	0.0298155	0.0523496	0.0421567	0.237092	0.234075	0.13818	0.231859
a	0.000565804	0.00316487	0.0164285	0.0182095	0.00221321	0.00911627	0.014216	0.0193444	0.0444771	0.0425122	0.144503	0.243089	0.359983	0.0821772
w	0.000623005	0.00138654	0.00375571	0.00703395	0.000634399	0.00668371	0.00355292	0.00589195	0.021631	0.0374538	0.0957205	0.286991	0.44723	0.0814116
a	0.00150282	0.000496247	0.000999631	0.0036187	0.0072127	0.00546152	0.012646	0.0290389	0.0533264	0.05123	0.204513	0.383414	0.155746	0.0907941
m	0.000147455	0.000105346	0.00021139	0.000448693	0.000502907	0.00324548	0.00238977	0.00739112	0.0148016	0.0251364	0.183059	0.275654	0.204656	0.282251
ó	0.000977677	0.00162738	0.00141784	0.00916838	0.00964984	0.172685	0.0170529	0.027943	0.0332863	0.00458865	0.12645	0.343853	0.158206	0.0930941
e	0.00044873	0.00145515	0.00463834	0.00674684	0.00410102	0.0171164	0.00673507	0.012498	0.0254811	0.020064	0.0754275	0.295762	0.457655	0.0718707
b	0.000174623	0.00190608	0.00486935	0.00345787	0.0111838	0.00740678	0.00554078	0.00816803	0.0114951	0.0177653	0.1005	0.145433	0.383662	0.298437
é	0.000205732	0.000884592	0.00110805	0.00431089	0.0125794	0.0063593	0.0106148	0.0154051	0.0220282	0.0194507	0.123093	0.176418	0.527748	0.079794
e	2.90089e-05	5.88129e-05	0.000183416	0.000332079	0.00263205	0.000318534	0.00125404	0.00267026	0.00602038	0.0300757	0.06163	0.0694039	0.526154	0.299237
y	0.000118489	0.000362296	0.00127034	0.00188815	0.00255028	0.00372149	0.00444182	0.00883175	0.0107859	0.00547447	0.0888603	0.186098	0.232789	0.452807
a	0.000523888	0.00394634	0.014086	0.0180202	0.00423641	0.0124943	0.0141674	0.0223982	0.0414573	0.0337796	0.104427	0.275255	0.233678	0.221531
