 	il	a	donné	de	la	viande	au	chien	</S>
w	0.876471	0.0930629	0.0121984	0.00410958	0.00405702	0.00322116	0.00642955	0.000226788	0.000224142
a	0.666947	0.100084	0.0183513	0.0306962	0.0317541	0.0296939	0.115982	0.00634537	0.000146062
á	0.100908	0.555016	0.2673	0.0402888	0.0135085	0.00342843	0.0111463	0.00170868	0.00669479
p	0.0214302	0.311318	0.517031	0.0809241	0.0230424	0.00606765	0.0118888	0.00203248	0.0262649
έ	0.00310678	0.0947173	0.517361	0.21531	0.102457	0.00374735	0.00455213	0.00181814	0.0569305
ε	0.0183443	0.115972	0.393807	0.275456	0.158151	0.011133	0.00759526	0.00257368	0.0169682
m	0.0285186	0.066335	0.132299	0.322266	0.295398	0.102306	0.0274921	0.0082937	0.0170912
b	0.0123424	0.0306327	0.0610066	0.362336	0.177711	0.154598	0.105182	0.0469049	0.0492865
v	0.00334477	0.00790737	0.0164781	0.193917	0.244358	0.463715	0.039664	0.0244735	0.00614286
á	0.00117798	0.00860083	0.0253785	0.151348	0.268594	0.439845	0.0161587	0.0823242	0.00657287
n	0.00456861	0.0133679	0.0357969	0.243016	0.34372	0.212118	0.0672294	0.055982	0.0242019
d	0.00532298	0.0066	0.0351961	0.146745	0.311426	0.301137	0.0472676	0.067243	0.0790618
é	0.00112838	0.000880489	0.00518752	0.0431413	0.137157	0.3933	0.0448079	0.211718	0.162679
n	0.00299596	0.0197853	0.0720433	0.114048	0.248925	0.327331	0.136286	0.0191842	0.0594013
y	0.00259102	0.00499084	0.0159554	0.0369974	0.117498	0.496238	0.113096	0.0717897	0.140844
a	0.000387773	0.00104734	0.00603587	0.0179144	0.0615072	0.531317	0.075844	0.188368	0.117579
m	0.00023402	0.00197611	0.0165809	0.0568753	0.196857	0.36104	0.115768	0.059454	0.191214
á	0.000734085	0.000479006	0.00171548	0.02147	0.136062	0.327759	0.247849	0.089657	0.174274
</S>	0.0110611	0.00724145	0.0124371	0.0215184	0.0551219	0.105006	0.395638	0.11251	0.279467
