 	je	voudrais	parler	au	chef	</S>
n	0.962257	0.0170508	0.00543832	0.0131211	0.00181704	0.000316025
g	0.99202	0.00408649	0.00140704	0.00230572	0.000153561	2.73122e-05
á	0.982384	0.0144319	0.00128367	0.00143151	0.000454439	1.42319e-05
l	0.411075	0.233423	0.0313636	0.0663127	0.0323585	0.225467
í	0.499783	0.243128	0.0344609	0.0526968	0.00632299	0.163608
i	0.144311	0.370417	0.205171	0.10343	0.0259416	0.150729
y	0.00572895	0.884503	0.0992691	0.00124458	0.00308289	0.00617148
é	0.00243502	0.712289	0.28056	0.000847369	0.00144324	0.00242522
n	0.0166666	0.592126	0.291592	0.0268963	0.00193451	0.0707847
g	0.0500468	0.541799	0.303839	0.0705382	0.00785698	0.0259202
á	0.432106	0.222599	0.209683	0.055682	0.0166463	0.0632836
o	0.0309714	0.0614203	0.200919	0.656543	0.0438074	0.00633855
m	0.00209468	0.0379393	0.748721	0.0676425	0.140361	0.00324094
ω	0.00287345	0.0628523	0.283274	0.194447	0.175638	0.280916
ώ	0.000242862	0.0793093	0.466174	0.0574286	0.263841	0.133004
l	0.00188267	0.06132	0.153013	0.353331	0.137823	0.29263
o	0.0118792	0.0819896	0.219311	0.0972144	0.161968	0.427639
k	0.00221023	0.0523396	0.0858101	0.232493	0.355694	0.271453
o	0.00050299	0.00181278	0.0522059	0.0250031	0.901062	0.0194134
n	0.000296838	0.00854774	0.158771	0.0184205	0.767925	0.0460385
d	0.000625281	0.0106757	0.128016	0.0120706	0.643863	0.204749
z	0.00179963	0.00269353	0.042794	0.00598136	0.836486	0.110246
i	0.00354237	0.00495083	0.0387279	0.0144502	0.892841	0.0454873
</S>	0.0183054	0.00696122	0.0245249	0.0567851	0.0486069	0.844817
