 	le	féticheur	lui	a	exigé	un	sacrifice	avant	de	lui	donner	les	attributs	de	la	sorcellerie	</S>
n	0.335052	0.59146	0.046717	0.00711751	0.00380623	0.0051347	0.00217144	0.000200592	0.002749	0.00257724	0.000599952	0.000332708	0.000110811	0.00107634	0.000752757	7.59609e-05	6.62974e-05
g	0.0866657	0.901587	0.00784456	0.00100505	0.000281319	0.000780923	0.000890116	8.17839e-05	0.000395354	0.000236153	2.59047e-05	3.47726e-05	1.09658e-05	6.0648e-05	4.69159e-05	5.09052e-05	2.46646e-06
a	0.0149867	0.979199	0.00214685	0.000837114	0.00122342	0.000559912	0.000466068	9.66062e-05	0.000206831	0.000154814	2.68559e-05	1.69289e-05	3.13445e-05	1.60917e-05	8.02278e-06	2.0128e-05	3.09956e-06
n	0.117112	0.668279	0.0860113	0.0356065	0.0344385	0.0134953	0.0140154	0.00463507	0.00436423	0.00193926	0.00077174	0.00118762	0.00147066	0.000661925	0.000697618	0.000815008	0.0144981
g	0.230242	0.49121	0.0800475	0.0498328	0.0277919	0.0269249	0.0254337	0.0075914	0.009969	0.0102286	0.0037194	0.00486313	0.00340512	0.00160971	0.000774092	0.000849571	0.0255073
a	0.101393	0.853772	0.0274605	0.00321084	0.00318014	0.00167703	0.00355487	0.000499913	0.000810332	0.00069078	0.000114725	0.000108799	0.000146947	8.3448e-05	9.62691e-05	0.000361154	0.00284006
á	0.0854772	0.0441157	0.564418	0.208113	0.0231149	0.0141854	0.0102333	0.00126792	0.00737063	0.00640716	0.00538056	0.0101438	0.00215223	0.00478084	0.00238913	0.000463132	0.00998721
b	0.0140321	0.00967571	0.0747877	0.301359	0.449777	0.0546223	0.0214337	0.0279434	0.00353932	0.0007631	0.0029809	0.00522707	0.0147539	0.00622728	0.0027387	0.0035667	0.00657229
έ	0.00450557	0.00148625	0.0177611	0.177895	0.647603	0.071374	0.0145563	0.0271515	0.00239535	0.00157263	0.00480065	0.00554218	0.0149396	0.00384073	0.000690278	0.00089278	0.00299293
m	0.0431967	0.0333758	0.0688273	0.204846	0.258247	0.116449	0.0398885	0.0299877	0.0220787	0.00812562	0.00619621	0.0298223	0.0591636	0.021435	0.00801939	0.00591366	0.0444277
