 	la	manière	dont	j'	ai	rêvé	de	lui	ma	fait	peur	</S>
e	0.727078	0.0880295	0.129307	0.034439	0.00783839	0.00408166	0.00273438	0.0015568	0.00171818	0.00201355	0.0002092	0.000994036
l	0.000146121	5.69768e-05	9.11951e-05	0.000402588	0.0363509	0.783328	0.156221	0.0100855	0.00489233	0.00692356	0.00104003	0.000461814
ώ	0.00184589	0.00379049	0.000686347	0.000626344	0.0160849	0.72428	0.193463	0.0129572	0.0064471	0.0221423	0.000637019	0.0170393
r	0.0011852	0.0252103	0.00114712	0.000388244	0.0153829	0.49309	0.381056	0.0205232	0.0102862	0.0482208	0.00107452	0.0024355
í	0.0116031	0.0384649	0.00136267	0.00180962	0.0390964	0.270113	0.451071	0.0747596	0.0422452	0.0264828	0.00118602	0.0418062
r	0.0109156	0.0409983	0.00899015	0.00859403	0.0882403	0.094216	0.20187	0.181621	0.131127	0.0945333	0.0564909	0.0824033
í	0.00748949	0.0130636	0.0027175	0.00283502	0.0256628	0.189766	0.252313	0.0858358	0.0712871	0.0417476	0.0130596	0.294223
y	0.186324	0.0877584	0.127937	0.0073329	0.0276727	0.0263272	0.0913867	0.163794	0.0403601	0.0670455	0.0261478	0.147915
é	0.0510155	0.214889	0.23189	0.00548401	0.0400327	0.165379	0.0370332	0.0319738	0.0198925	0.0247344	0.0169492	0.160727
é	0.0130601	0.0599495	0.227929	0.0530111	0.0977913	0.207178	0.12183	0.0627051	0.0286182	0.03048	0.00732538	0.0901215
l	0.00167099	0.00183211	0.00489117	0.00988317	0.0799497	0.427244	0.259831	0.0618312	0.015611	0.030808	0.00261073	0.103837
ώ	0.000228064	0.000259628	0.00117011	0.00749124	0.111022	0.665454	0.164479	0.0136111	0.00721563	0.013453	0.000776081	0.0148405
r	0.00146368	0.00761269	0.0502661	0.0277121	0.0774085	0.361355	0.135325	0.0863044	0.0512739	0.0326394	0.0183645	0.150275
í	0.0144178	0.026663	0.0501771	0.0487439	0.0705494	0.188016	0.254084	0.195337	0.0646993	0.0460779	0.00408006	0.0371544
n	0.00141556	0.00668492	0.214668	0.325985	0.0423533	0.0166831	0.0664966	0.181612	0.0848592	0.0255229	0.0211084	0.0126103
g	0.00253114	0.00513778	0.0973934	0.525534	0.125479	0.0550157	0.0241004	0.0430248	0.108457	0.00655861	0.00302883	0.00373877
á	0.000191296	0.00290975	0.204046	0.43884	0.0887667	0.154077	0.0079491	0.00858752	0.0853327	0.0022186	0.00481076	0.00226971
w	0.00105004	0.00152461	0.0106786	0.0355667	0.0401606	0.00762975	0.096914	0.337211	0.296135	0.100956	0.0621495	0.0100246
a	0.00149457	0.0025494	0.00762861	0.135757	0.0702289	0.0111006	0.0929239	0.376819	0.116396	0.136252	0.0273028	0.0215471
é	0.00066434	0.00159538	0.0044949	0.0475354	0.022551	0.0071243	0.0201856	0.267476	0.357757	0.176558	0.0530809	0.0409771
p	0.00271167	0.00123356	0.00147784	0.00253059	0.0620237	0.104451	0.0589186	0.0644277	0.189255	0.474332	0.005815	0.0328232
έ	0.000211607	0.000357251	8.17627e-05	0.000204271	0.0164431	0.0172033	0.163691	0.218562	0.075961	0.318636	0.013901	0.174748
ε	0.000353451	0.00101026	0.00110693	0.0089788	0.0202963	0.0156096	0.12445	0.233759	0.175936	0.145208	0.0311922	0.2421
n	0.00125993	0.00208826	0.00631826	0.0129567	0.0160507	0.00242495	0.02031	0.0791513	0.342956	0.239011	0.21309	0.0643826
g	0.00097952	0.00117869	0.0020135	0.00633915	0.00780552	0.00126518	0.00535688	0.0328221	0.777063	0.0666486	0.071488	0.0270395
á	0.000230166	0.00302593	0.014571	0.0391704	0.0326255	0.0273722	0.00535009	0.0207496	0.697119	0.050458	0.0859394	0.0233887
a	0.000478767	0.000947129	0.000503478	0.000572045	0.0018441	0.00064112	0.0153712	0.0718843	0.161776	0.379589	0.279737	0.0866558
m	0.00309778	0.00237869	0.000757761	0.000756206	0.00776497	0.0191236	0.033107	0.0226258	0.0882825	0.612313	0.117568	0.0922254
w	0.00962348	0.00201068	0.0014821	0.00267569	0.00929642	0.0107095	0.0115331	0.0269992	0.0555025	0.232091	0.434061	0.204015
a	0.000820722	9.38604e-05	0.000103014	0.000923384	0.00166005	0.000846183	0.00158487	0.00918411	0.0322724	0.0269238	0.891586	0.0340013
</S>	0.000126298	8.71673e-05	6.74562e-05	0.000305854	0.00225429	0.00149275	0.00827487	0.0154684	0.0205799	0.106279	0.285804	0.55926
