 	il	tomba	aveugle	à	la	suite	de	sa	blessure	</S>
w	0.717821	0.259073	0.004226	0.00309902	0.00454835	0.00217681	0.00483526	0.00350969	0.000649493	6.1644e-05
a	0.840964	0.108336	0.0145684	0.0152883	0.0106964	0.00104974	0.00289109	0.0059737	0.000143646	8.8501e-05
m	0.357049	0.356483	0.117811	0.0789551	0.0451967	0.00797898	0.0175048	0.0124382	0.00171443	0.00486943
í	0.0876029	0.286849	0.577509	0.0272558	0.0093705	0.00123406	0.00329384	0.00192596	2.06135e-05	0.00493859
s	0.256988	0.345447	0.244275	0.0712941	0.0311851	0.0089231	0.0152239	0.00834303	0.00231477	0.0160062
i	0.203466	0.280298	0.218588	0.0953538	0.0366078	0.00503897	0.0174013	0.0195789	0.00043644	0.123231
á	0.108093	0.228114	0.223772	0.127552	0.0392733	0.018988	0.0443026	0.0402046	0.00598806	0.163712
d	0.04801	0.0875585	0.0376707	0.502434	0.147315	0.0767347	0.0308903	0.0338521	0.00546975	0.0300645
í	0.00811942	0.0820962	0.181668	0.402945	0.0733589	0.00981161	0.0185392	0.0205694	0.000461862	0.202431
a	0.0194766	0.0637218	0.0244257	0.310362	0.176104	0.1199	0.0767804	0.0498262	0.026685	0.132718
w	0.00515628	0.0203846	0.0247663	0.378533	0.318413	0.202004	0.0253998	0.0114816	0.00848772	0.00537418
á	0.00385818	0.0388839	0.0156392	0.205482	0.248237	0.21196	0.117116	0.0568937	0.0290481	0.0728817
w	0.00850454	0.0425396	0.0457734	0.233185	0.203402	0.104294	0.0430039	0.0409059	0.026462	0.251931
a	0.0588662	0.144581	0.0330415	0.179689	0.215873	0.129796	0.120758	0.0689103	0.010199	0.0382862
m	0.00497269	0.00728069	0.0146007	0.180854	0.261629	0.290379	0.134668	0.0489223	0.0155835	0.0411086
b	0.0258385	0.0509651	0.0608444	0.121721	0.1487	0.119279	0.152093	0.0934483	0.00559096	0.22152
é	0.00998682	0.0635471	0.00386899	0.103773	0.291967	0.208381	0.208021	0.0729979	0.00856952	0.0288868
á	0.0105834	0.0332847	0.00614294	0.103552	0.166022	0.362009	0.165685	0.0599559	0.0145328	0.0782317
l	0.00409452	0.00665301	0.00663146	0.0589037	0.0796353	0.128664	0.290577	0.269992	0.081294	0.0735558
a	0.00762188	0.00748979	0.00475034	0.0396864	0.0416389	0.061567	0.165544	0.152712	0.0849152	0.434075
p	0.00338237	0.00327099	0.00434823	0.0311286	0.0517088	0.0799933	0.221451	0.199549	0.275459	0.129709
ó	0.00131235	0.00164937	0.000344246	0.0154553	0.0439205	0.13439	0.0507455	0.0483402	0.652545	0.0512975
r	0.000635707	0.000737383	0.000365407	0.016324	0.0349417	0.143169	0.0828372	0.0573568	0.546578	0.117055
á	0.00120186	0.000986177	0.000217619	0.0272958	0.08265	0.177028	0.17873	0.102586	0.222114	0.207191
y	0.0022327	0.00150743	0.000764498	0.0129055	0.0243054	0.031602	0.145323	0.197428	0.14541	0.438521
á	0.00578301	0.00384345	0.0020775	0.0237969	0.0349939	0.0312305	0.111584	0.232314	0.351871	0.202506
á	0.0212661	0.0147848	0.00884432	0.0212151	0.0254099	0.00869832	0.0531946	0.196549	0.556821	0.0932168
k	0.012664	0.0131329	0.0107566	0.0381511	0.0283503	0.0421726	0.104207	0.346228	0.128138	0.2762
ώ	0.000457192	0.000824893	6.22121e-05	0.0057287	0.0120561	0.0532407	0.0431339	0.102365	0.737253	0.0448786
s	4.02325e-05	9.12086e-05	1.06396e-05	0.000620868	0.00352474	0.0489131	0.0653721	0.0622011	0.706832	0.112394
ώ	0.000176051	0.000547447	0.000139981	0.00554287	0.0148966	0.0434945	0.147505	0.14237	0.398443	0.246886
w	0.000223465	0.000463993	0.000103907	0.00517424	0.0100737	0.0253819	0.104243	0.208554	0.116303	0.52948
a	0.00338375	0.00265641	0.000851464	0.0152471	0.0311948	0.043555	0.109335	0.268084	0.407356	0.118337
</S>	0.00375199	0.00418938	0.00299094	0.00882895	0.0101336	0.017176	0.0750367	0.161362	0.146465	0.570066
