 	aujourd'	hui	le	ciel	est	couvert	de	nuages	</S>
p	0.790313	0.191348	0.0135581	0.00267216	0.0008544	0.00018266	0.000691834	0.000342352	3.69966e-05
á	0.0640149	0.913084	0.00539293	0.0130075	0.000880296	0.000884672	0.00136706	0.00116467	0.000204287
b	0.00803116	0.972371	0.0106344	0.00350977	0.00138043	0.000363073	0.000207833	0.00235774	0.00114432
h	0.0164005	0.94057	0.0173983	0.0199149	0.00248925	0.000419771	0.000570881	0.000127239	0.00210932
a	0.0566517	0.838015	0.00862804	0.0809195	0.00163442	0.00114537	0.000601403	0.00187236	0.0105318
y	0.197992	0.137758	0.522572	0.0803346	0.0392141	0.00621215	0.00477416	0.000339165	0.0108037
é	0.305769	0.0096548	0.371568	0.0765632	0.0419302	0.0257711	0.0174207	0.071927	0.0793965
i	0.176954	0.00444403	0.416958	0.162433	0.0521991	0.0144847	0.00985796	0.0427477	0.119922
k	0.0059951	0.00730148	0.176641	0.411474	0.245486	0.108137	0.00702778	0.00169831	0.036239
o	0.00366002	0.00346182	0.0189244	0.800882	0.0934097	0.0605918	0.00547724	0.00306588	0.0105268
ó	0.00112453	0.00037778	0.015308	0.779263	0.129711	0.068728	0.00267512	0.000495087	0.0023178
í	0.0359446	0.00083059	0.140138	0.00481231	0.416728	0.144376	0.179221	0.0312446	0.046705
d	0.00587164	0.00160836	0.0538575	0.0115887	0.222698	0.298481	0.22373	0.0830108	0.0991534
í	0.000256312	2.87054e-05	0.00505952	0.000318249	0.0261061	0.0744441	0.117599	0.181331	0.594858
b	0.001961	5.01068e-05	0.0151557	0.00228421	0.0631681	0.0689557	0.196888	0.329753	0.321785
a	0.0590902	0.0554852	0.0485811	0.0118945	0.0771841	0.250406	0.25081	0.148496	0.0980535
m	0.013745	0.0078123	0.0263994	0.00681786	0.0436683	0.0710712	0.16697	0.33831	0.325206
í	0.0351616	0.00140564	0.0137936	0.000615643	0.0373205	0.109351	0.421892	0.200884	0.179576
y	0.011207	0.00172341	0.0265062	0.00734101	0.0384461	0.0459502	0.153027	0.220862	0.494937
í	0.0031266	0.000164101	0.0099289	0.000973371	0.00396673	0.0122192	0.0492396	0.838548	0.0818331
r	0.00267602	1.45154e-05	0.00317773	0.000370219	0.00129764	0.00197603	0.0267719	0.812955	0.150761
á	0.000839812	4.14143e-05	0.00350678	9.51857e-05	0.00154376	0.00726475	0.0480323	0.744114	0.194562
</S>	0.000808432	2.98064e-05	0.00639858	0.000658567	0.00997291	0.0209689	0.10734	0.344982	0.508841
