 	l'	avocat	est	devenu	mou	</S>
s	0.351201	0.445674	0.200384	0.00225141	0.000360076	0.000128922
a	0.348045	0.554274	0.0355263	0.00186388	0.00145467	0.0588361
b	0.0591152	0.9289	0.010822	0.000197409	0.000219654	0.000745686
o	0.0192172	0.939569	0.0347838	0.00127272	0.000982039	0.00417567
k	0.0442272	0.794455	0.132338	0.00345597	0.00176118	0.0237625
á	0.0761494	0.132992	0.442751	0.0152274	0.013255	0.319625
á	0.0320716	0.00697339	0.83051	0.0353002	0.00194625	0.0931985
m	0.0160089	0.00207085	0.385825	0.541157	0.0169371	0.0380004
i	0.0348378	0.00400862	0.235502	0.60155	0.0366248	0.0874772
s	0.00174528	0.000728121	0.0175682	0.859781	0.109657	0.0105212
á	0.00371389	0.00254764	0.0157122	0.904177	0.0529378	0.0209113
á	0.0256661	0.00221312	0.105767	0.41056	0.0492151	0.406579
o	0.0214507	0.00682538	0.0687864	0.43823	0.387763	0.076945
k	0.00394711	0.00511582	0.00143261	0.0339352	0.93767	0.0178991
ω	0.000174714	0.000739729	0.000608519	0.0184873	0.965299	0.0146913
ω	0.00011149	0.00213859	0.00572822	0.014024	0.916673	0.0613251
g	0.0175141	0.00165482	0.0230834	0.0356288	0.209176	0.712943
h	0.0452519	0.0114923	0.0306922	0.107197	0.475913	0.329454
ω	0.0346725	0.0543211	0.00697296	0.0102667	0.496057	0.39771
</S>	0.00239523	0.00185694	0.00710382	0.00471136	0.329048	0.654885
