 	voilà	un	bon	couteau	</S>
t	0.628978	0.19301	0.137734	0.0392729	0.00100484
a	0.699034	0.16925	0.0475435	0.0744605	0.00971198
á	0.244787	0.654175	0.0484181	0.00498479	0.0476351
i	0.061334	0.240529	0.325267	0.137043	0.235827
b	0.0218222	0.210324	0.138673	0.42617	0.203012
á	0.00686027	0.148178	0.0942155	0.590988	0.159758
á	0.00605154	0.0123371	0.027346	0.909048	0.0452171
l	0.0223854	0.0232139	0.406443	0.359167	0.18879
á	0.0161009	0.0369691	0.138203	0.148023	0.660704
i	0.0275133	0.013473	0.510866	0.208207	0.239941
b	0.00580773	0.0278539	0.0479871	0.628854	0.289498
v	0.00324103	0.0346837	0.234567	0.408284	0.319224
έ	0.00435667	0.0491858	0.201825	0.561988	0.182645
</S>	0.000412064	0.0071465	0.123292	0.0265647	0.842585
