 	la	femme	a	accouché	de	jumeaux	</S>
m	0.895809	0.101135	0.00191771	0.000318191	0.000398364	0.000339982	8.25332e-05
w	0.000772979	0.997645	0.00111813	0.000169487	0.000116551	2.05637e-06	0.000175508
á	0.113862	0.878754	0.00673475	0.000287394	0.000181683	2.69499e-05	0.000153694
s	0.714667	0.274289	0.00661951	0.000690666	0.00048692	1.68929e-05	0.00323019
í	0.52981	0.130508	0.119272	0.0299361	0.0414566	0.00175207	0.147265
á	0.252964	0.0435524	0.605198	0.036718	0.0226247	0.00038908	0.0385534
b	0.0167053	0.00191808	0.219594	0.694564	0.0494761	0.002954	0.0147892
ó	0.00540122	0.000569814	0.0276421	0.936757	0.00882768	0.00322265	0.0175795
r	0.0286426	6.18737e-05	0.0415333	0.843634	0.0520695	0.0116886	0.0223706
i	0.114922	0.000101133	0.0841557	0.612186	0.150581	0.00905245	0.0290018
a	0.0133058	0.000139043	0.0746163	0.288765	0.495401	0.0321929	0.0955802
k	0.0476473	0.00216444	0.010758	0.139624	0.505045	0.191818	0.102944
y	0.00889125	5.23236e-05	0.000964156	0.0133571	0.0522944	0.837387	0.0870534
é	0.0030361	1.33198e-05	0.00158179	0.00385215	0.0617062	0.845729	0.0840809
r	0.00592373	3.39537e-05	0.0111377	0.0549847	0.130617	0.690993	0.10631
a	0.00207353	0.000114371	0.00598219	0.0124341	0.170951	0.251306	0.557139
</S>	0.00777137	2.38366e-05	0.0118791	0.0134797	0.238926	0.0976966	0.630223
