 	le	guérisseur	soigne	le	malade	</S>
n	0.802576	0.193458	0.00321635	0.000359154	0.000333437	5.74863e-05
g	0.11969	0.88018	6.02745e-05	4.15661e-05	2.29725e-05	5.83955e-06
a	0.0284767	0.971417	3.79712e-05	1.05509e-05	5.66673e-05	1.2265e-06
n	0.245373	0.732964	0.0135664	0.00198827	0.000665046	0.00544316
g	0.113553	0.866976	0.00548023	0.00171734	0.000199483	0.0120734
a	0.102713	0.8073	0.057623	0.00515149	0.0013426	0.0258701
l	0.0282441	0.0156007	0.800654	0.111067	0.000436515	0.0439977
á	0.111711	0.0677597	0.373361	0.110441	0.0026329	0.334095
a	0.579336	0.00992562	0.123469	0.182339	0.0195563	0.085374
b	0.00152491	0.00456657	0.846903	0.128686	0.0106456	0.00767442
v	0.00162392	0.000271294	0.931441	0.0393447	0.0162496	0.011069
á	0.000572442	1.41702e-05	0.974211	0.0147605	0.00789593	0.00254621
á	0.00024279	4.79834e-05	0.484611	0.229998	0.0612696	0.22383
o	0.0110914	0.000849277	0.0205898	0.792624	0.111073	0.0637722
k	0.000300913	0.00061041	0.00429347	0.0250562	0.95397	0.0157688
ω	8.8641e-06	1.6537e-05	0.00508184	0.0206704	0.95962	0.0146021
n	6.96166e-06	2.62e-06	0.00633358	0.0140165	0.964037	0.0156032
í	0.00230218	0.000392932	0.0307177	0.0577411	0.764863	0.143983
</S>	0.00755437	2.56487e-05	0.00344782	0.162271	0.255695	0.571007
