 	l'	air	est	froid	</S>
o	0.955841	0.0411431	0.00280881	0.000125282	8.16643e-05
p	0.0340561	0.958749	0.00535762	0.00150498	0.000332612
ε	0.00206556	0.98077	0.000504763	0.0156481	0.0010118
p	0.0151039	0.964612	0.0107367	0.00542357	0.00412372
ε	0.457166	0.489422	0.0386495	0.00236364	0.0123991
ó	0.309417	0.114693	0.491934	0.00799773	0.0759583
d	0.125377	0.0234947	0.681286	0.137362	0.0324794
í	0.00783434	0.00202269	0.201946	0.0568573	0.73134
l	0.0150707	0.00278748	0.184288	0.603469	0.194385
a	0.00571733	0.00877449	0.20687	0.245392	0.533247
p	0.0231706	0.0203224	0.098226	0.684068	0.174213
y	0.00145778	0.00664912	0.00741071	0.944989	0.0394937
é	0.000915335	0.00873211	0.00644784	0.888675	0.0952295
b	0.000179016	0.00469619	0.0114729	0.817644	0.166008
h	0.000451747	0.00511758	0.014169	0.686552	0.29371
i	0.00500655	0.0105136	0.0155124	0.223844	0.745124
</S>	0.00773286	0.0095585	0.0801993	0.0656247	0.836885
